web_name,opponent,element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5
Cédric,19,2,1,0,1.0,0.2,1.2,0.8,0.0,2.5,0.0,0.5,1.0,0.2,2.5,1.2,0.8,0.0,2,1,0.8,1.1,0.6,1.2,21.8,22.0,25.0,26.8,30.0,16.2,38.9,16.0,94.0,103.9,123.0,106.4,92.7,34.8,114.0,36.6,113.4,23.3,151.8,17.8,83.8,95.9,100.0,111.2
Xhaka,19,3,0,1,4.4,5.7,20.84,19.89,16.29,18.07,0.0,0.5,4.25,5.42,16.0,18.05,18.15,18.0,2,1,0.8,1.1,0.6,1.2,21.8,22.0,25.0,26.8,30.0,16.2,38.9,16.0,94.0,103.9,123.0,106.4,92.7,34.8,114.0,36.6,113.4,23.3,151.8,17.8,83.8,95.9,100.0,111.2
Elneny,19,3,0,1,1.3,0.33,1.4,1.77,0.0,7.0,0.0,0.5,1.0,0.1,3.0,0.0,0.75,0.0,2,1,0.8,1.1,0.6,1.2,21.8,22.0,25.0,26.8,30.0,16.2,38.9,16.0,94.0,103.9,123.0,106.4,92.7,34.8,114.0,36.6,113.4,23.3,151.8,17.8,83.8,95.9,100.0,111.2
Holding,19,2,1,0,1.0,0.05,0.6,0.02,0.0,3.5,0.0,0.5,1.0,0.0,3.0,0.0,0.0,0.0,2,1,0.8,1.1,0.6,1.2,21.8,22.0,25.0,26.8,30.0,16.2,38.9,16.0,94.0,103.9,123.0,106.4,92.7,34.8,114.0,36.6,113.4,23.3,151.8,17.8,83.8,95.9,100.0,111.2
Partey,19,3,0,1,3.8,4.31,20.09,12.85,10.09,17.36,0.0,0.5,4.0,4.6,17.0,21.2,12.98,11.75,2,1,0.8,1.1,0.6,1.2,21.8,22.0,25.0,26.8,30.0,16.2,38.9,16.0,94.0,103.9,123.0,106.4,92.7,34.8,114.0,36.6,113.4,23.3,151.8,17.8,83.8,95.9,100.0,111.2
Ødegaard,19,3,0,1,5.9,8.81,27.09,28.32,32.54,22.23,0.0,0.5,7.75,10.77,26.5,34.5,36.67,36.5,2,1,0.8,1.1,0.6,1.2,21.8,22.0,25.0,26.8,30.0,16.2,38.9,16.0,94.0,103.9,123.0,106.4,92.7,34.8,114.0,36.6,113.4,23.3,151.8,17.8,83.8,95.9,100.0,111.2
Tierney,19,2,1,0,1.6,1.18,5.07,3.33,3.42,6.25,0.0,0.5,1.0,0.43,3.33,3.0,0.6,0.67,2,1,0.8,1.1,0.6,1.2,21.8,22.0,25.0,26.8,30.0,16.2,38.9,16.0,94.0,103.9,123.0,106.4,92.7,34.8,114.0,36.6,113.4,23.3,151.8,17.8,83.8,95.9,100.0,111.2
Pépé,19,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.8,1.1,0.6,1.2,21.8,22.0,25.0,26.8,30.0,16.2,38.9,16.0,94.0,103.9,123.0,106.4,92.7,34.8,114.0,36.6,113.4,23.3,151.8,17.8,83.8,95.9,100.0,111.2
White,19,2,1,0,4.7,3.36,17.3,13.84,2.5,21.36,0.0,0.5,6.25,4.58,27.0,19.75,22.0,4.0,2,1,0.8,1.1,0.6,1.2,21.8,22.0,25.0,26.8,30.0,16.2,38.9,16.0,94.0,103.9,123.0,106.4,92.7,34.8,114.0,36.6,113.4,23.3,151.8,17.8,83.8,95.9,100.0,111.2
Nketiah,19,4,0,1,1.0,1.62,1.9,3.16,11.42,1.92,0.0,0.5,1.0,2.05,1.5,1.8,6.6,12.0,2,1,0.8,1.1,0.6,1.2,21.8,22.0,25.0,26.8,30.0,16.2,38.9,16.0,94.0,103.9,123.0,106.4,92.7,34.8,114.0,36.6,113.4,23.3,151.8,17.8,83.8,95.9,100.0,111.2
