id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
527,0,0,0.0,0.0,0,113534,0,0,0,0,0.0,0,1,0.0,0.0,0,Matt,0.0,0,0,0.0,False,0.0,0,Transferred to Hibernian,2021-01-09T10:26:30.856796Z,40,0,0,0,113534.jpg,0.0,0,0,Macey,0.9,False,0.0,u,1,3,0.0,0,171821,0,150745,431,0.0,0.0,Macey,0,18,1,0,0.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
547,0,8,100.0,100.0,0,115918,0,0,-1,1,0.0,0,1,0.0,1.0,0,Rúnar Alex,0.0,0,0,1.7,False,16.6,15,0,2021-02-21T22:00:20.597889Z,44,0,0,0,115918.jpg,1.0,0,2,Rúnarsson,0.0,False,0.0,a,1,3,0.0,1,5459,14,5253,39,0.0,0.2,Rúnarsson,0,18,1,0,0.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.7,8.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
567,0,246,100.0,100.0,5,167199,0,0,-1,1,186.1,0,3,0.0,3.4,3,Thomas,1.2,17,0,55.8,False,270.8,1362,0,2021-02-06T17:30:27.330271Z,49,0,0,0,167199.jpg,1.9,0,0,Partey,0.3,False,0.0,a,1,3,99.0,42,122055,143,115041,548,0.2,8.6,Partey,5,18,0,1,104.0,11.0,6.0,22.0,14.0,0.7,6.0,311.0,52.0,0.0,2.0,3.0,0.6,2.54,11.18,12.31,8.46,4.5,2.0,2.4,10.0,12.93,7.98,3.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
645,3,141,100.0,100.0,2,184029,0,0,-3,3,255.2,1,3,0.0,3.8,3,Martin,1.4,12,1,51.7,False,117.6,751,0,2021-04-09T00:30:22.440274Z,57,0,0,0,184029.jpg,2.5,0,0,Ødegaard,0.7,False,0.0,a,1,3,145.0,30,261615,607,213804,8253,0.2,5.3,Ødegaard,0,18,0,1,90.0,2.0,4.0,12.0,9.0,0.69,3.0,190.0,63.0,2.0,1.0,2.0,0.67,4.31,11.75,9.8,21.27,12.08,2.33,4.43,11.67,7.6,29.37,7.33,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
689,0,0,100.0,0.0,0,439482,0,0,0,0,0.0,0,3,0.0,1.0,0,Miguel,0.0,0,0,0.0,False,0.0,0,0,0,45,0,0,0,439482.jpg,0.0,0,0,Azeez,0.0,False,0.0,a,1,3,0.0,0,301,56,137,25,0.0,0.0,Azeez,0,18,0,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
2,0,0,0.0,0.0,0,39476,0,0,-2,2,0.0,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,False,0.0,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,48,0,0,0,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,0.0,u,1,3,0.0,0,10266,0,19137,3,0.0,0.0,Sokratis,0,18,1,0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
70,0,216,100.0,100.0,3,131897,0,0,-4,4,10.7,0,1,0.0,4.2,0,Mathew,1.6,21,0,20.6,False,193.6,1260,0,2021-02-01T19:30:26.014607Z,41,0,0,0,131897.jpg,2.6,0,24,Ryan,5.8,False,0.0,a,1,3,2.0,37,512056,1225,1305145,3762,0.4,9.0,Ryan,1,18,1,0,0.0,2.0,19.0,14.0,14.0,0.42,2.0,180.0,90.0,0.0,3.0,2.0,0.4,1.47,15.43,13.83,0.76,0.14,4.0,1.4,16.5,7.8,5.2,1.0,4,17,0,1.7,1.2,2.0,1.8,21.6,35.1,102.2,107.5,141.6,85.9,12.8,15.9,92.2,37.7,29.2,79.2,25.6,38.4,129.7,114.3,139.6,102.0,9.4,19.2,113.4,34.7,43.6,78.0
11,17,421,75.0,100.0,7,98745,0,0,0,0,351.8,3,2,0.0,5.4,1,Héctor,2.2,24,1,94.7,False,362.8,2089,Muscle injury - 75% chance of playing,2021-05-13T16:00:25.174155Z,50,0,0,0,98745.jpg,3.8,0,0,Bellerín,3.7,False,0.0,d,1,3,232.0,94,1049934,532,1166654,15996,0.4,18.8,Bellerín,8,18,1,0,22.0,1.0,10.0,25.0,24.0,0.71,3.0,179.0,60.0,1.0,2.0,2.0,0.5,3.79,16.84,14.51,14.07,9.28,3.67,2.83,12.0,5.47,8.27,14.67,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
14,0,9,0.0,0.0,0,111457,0,0,-2,2,5.4,0,2,0.0,0.0,0,Sead,0.0,1,0,1.3,False,3.6,90,Joined Schalke on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-03T19:00:21.713564Z,48,0,0,0,111457.jpg,2.0,0,0,Kolasinac,0.1,False,0.0,u,1,3,4.0,2,5329,0,21571,9,0.0,0.4,Kolasinac,0,18,1,0,0.0,24.0,10.0,1.0,1.0,0.09,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.3,9.0,3.6,5.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
494,7,352,100.0,100.0,5,226597,0,0,-1,1,45.1,1,2,0.0,7.8,9,Gabriel,3.4,23,2,71.3,False,438.8,1816,0,2020-12-26T18:00:16.873188Z,49,0,0,0,226597.jpg,3.3,1,0,Magalhães,4.5,False,0.0,a,1,3,229.0,70,1050133,1249,1199383,2882,0.7,14.3,Gabriel,2,18,1,0,180.0,3.0,13.0,20.0,18.0,0.58,4.0,360.0,90.0,0.0,2.0,3.0,0.6,3.56,17.6,21.94,2.26,11.45,4.25,4.07,19.5,19.35,5.03,16.5,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
