web_name,opponent,element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5
Cédric,16,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Xhaka,16,3,0,1,5.0,6.42,24.42,22.5,17.27,20.27,6.0,7.0,6.0,6.67,21.5,27.6,17.98,21.25,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Elneny,16,3,0,1,2.0,0.8,4.2,3.8,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Holding,16,2,1,0,1.0,0.07,0.8,0.03,0.0,3.67,0.2,1.2,1.0,0.0,3.0,0.2,0.1,0.0,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Partey,16,3,0,1,3.5,4.01,18.82,12.99,8.25,17.12,4.2,5.2,4.25,4.8,21.25,24.8,18.88,4.25,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Ødegaard,16,3,0,1,4.8,7.78,22.36,26.53,28.8,20.3,3.5,4.5,3.5,7.1,17.5,16.65,25.72,28.5,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Tierney,16,2,1,0,1.7,1.34,5.4,3.89,4.1,6.8,1.0,2.0,1.0,0.62,3.25,2.55,1.25,2.25,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Pépé,16,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
White,16,2,1,0,4.3,3.25,18.2,12.33,2.09,20.0,4.5,5.5,4.5,4.57,21.0,26.45,16.17,3.25,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Nketiah,16,4,0,1,1.0,1.59,1.87,2.45,11.91,1.73,1.0,2.0,1.0,0.75,0.75,0.4,0.88,6.75,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Smith Rowe,16,3,0,1,1.0,1.7,3.95,9.18,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Saka,16,3,0,1,5.8,9.09,26.31,27.62,37.0,19.73,6.8,7.8,6.75,9.7,22.75,33.1,23.5,40.25,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Tomiyasu,16,2,1,0,1.5,1.02,6.98,2.67,0.6,8.5,2.5,3.5,2.5,1.7,16.25,13.05,3.42,0.5,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Ramsdale,16,1,1,0,3.6,1.82,18.07,0.0,0.0,17.18,3.8,4.8,3.75,2.05,17.75,20.35,0.0,0.0,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Gabriel,16,2,1,0,4.2,3.95,23.49,2.42,13.64,20.55,3.2,4.2,3.25,3.42,19.0,26.85,1.68,5.75,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Tavares,16,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Sambi,16,3,0,1,1.3,0.75,3.57,3.88,0.0,7.17,0.2,1.2,1.0,0.5,3.0,1.6,3.5,0.0,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Martinelli,16,3,0,1,5.5,9.3,24.73,26.56,41.73,18.36,5.2,6.2,5.25,7.4,17.25,23.95,17.88,32.25,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Pablo Marí,16,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Torreira,16,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
Nelson,16,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6
