web_name,predicted_points_2,predicted_points_3,predicted_points_4,predicted_points_5,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Darwin,4.47,4.83,4.41,4.03,4.44,9.0,9.0,297,100.0,0.0,447203,0,0,0,0,0,4,4.0,4.5,9,Darwin,False,0,0,90,447203.jpg,Núñez Ribeiro,24.3,False,0.0,a,12,14,9,250247,250247,55378,55378,1.0,1.0,39,1,1,0,1,0,0,0,0,0,0,1,31,53.2,20.6,112.0,18.6,6,3,52,5,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,9,2,7,1,0.0,2.0,0.0,2.0,26.0,31.4,92.2,72.5,148.0,85.0,39.0,20.1,142.8,36.2,23.0,147.0,26.0,31.4,92.2,72.5,148.0,85.0,39.0,20.1,142.8,36.2,23.0,147.0,0,1,39.0,0.0,1.0,1.0,0.0,0.0,1.0,39.0,39.0,0.0,1.0,0.0,0.0,18.6,31.0,53.2,20.6,112.0,9.0,18.6,31.0,53.2,20.6,112.0
Groß,3.73,4.61,4.57,4.58,4.37,15.0,15.0,104,100.0,0.0,60307,0,0,0,0,1,3,2.0,1.5,15,Pascal,True,0,0,55,60307.jpg,Groß,3.3,False,0.0,a,5,36,15,191091,191091,14865,14865,2.7,2.7,90,2,0,0,1,0,0,0,0,0,0,3,44,72.0,19.3,76.0,16.7,2,1,56,39,3,2,2,1,1.0,0.0,0.0,0.0,2.0,0.0,14,3,15,1,2.0,0.0,2.0,0.0,8.0,4.0,23.0,3.7,14.0,26.0,5.0,15.0,124.4,19.7,6.0,64.0,8.0,4.0,23.0,3.7,14.0,26.0,5.0,15.0,124.4,19.7,6.0,64.0,0,1,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,16.7,44.0,72.0,19.3,76.0,15.0,16.7,44.0,72.0,19.3,76.0
R.Sessegnon,3.48,3.89,4.24,4.24,3.96,7.0,7.0,436,100.0,0.0,184349,0,0,0,0,0,2,1.9,2.4,7,Ryan,False,0,0,45,184349.jpg,Sessegnon,1.6,False,0.0,a,18,6,7,74720,74720,10168,10168,1.6,1.6,65,1,0,0,1,0,0,0,1,0,0,0,19,38.4,3.0,53.0,9.4,24,7,150,45,11,2,20,4,0.0,0.0,0.0,0.0,0.0,0.0,17,4,6,0,1.0,0.0,1.0,0.0,9.0,14.7,32.0,47.1,67.0,44.0,11.0,23.2,137.8,33.6,59.0,66.0,9.0,14.7,32.0,47.1,67.0,44.0,11.0,23.2,137.8,33.6,59.0,66.0,1,0,65.0,0.0,0.0,1.0,1.0,1.0,1.0,65.0,65.0,0.0,0.0,1.0,1.0,9.4,19.0,38.4,3.0,53.0,7.0,9.4,19.0,38.4,3.0,53.0
Mitrović,4.02,4.11,3.84,3.85,3.95,13.0,13.0,210,100.0,0.0,128389,1,-1,1,-1,1,4,1.6,0.6,13,Aleksandar,True,0,0,66,128389.jpg,Mitrović,14.4,False,0.0,a,9,54,13,472276,472276,37059,37059,2.0,2.0,90,2,0,0,2,0,0,0,0,0,0,3,57,82.0,14.7,58.0,15.5,1,1,83,7,6,3,3,2,0.0,0.0,3.0,0.0,1.0,0.0,12,2,20,0,1.0,2.0,1.0,2.0,27.0,35.3,104.8,113.3,134.0,92.0,11.0,15.6,122.6,17.9,14.0,77.0,27.0,35.3,104.8,113.3,134.0,92.0,11.0,15.6,122.6,17.9,14.0,77.0,0,1,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,15.5,57.0,82.0,14.7,58.0,13.0,15.5,57.0,82.0,14.7,58.0
Haaland,3.9,3.56,3.96,4.36,3.94,13.0,13.0,318,100.0,0.0,223094,1,-1,1,-1,1,4,5.5,5.0,13,Erling,True,0,0,116,223094.jpg,Haaland,55.5,False,0.0,a,13,43,13,889073,889073,24951,24951,1.1,1.1,77,2,0,1,0,0,0,0,0,0,0,3,48,62.6,4.8,73.0,14.0,5,2,129,15,4,2,7,3,0.0,0.0,0.0,0.0,1.0,0.0,19,2,3,1,2.0,0.0,2.0,0.0,12.0,29.5,48.8,125.6,120.0,63.0,5.0,12.3,65.6,36.2,21.0,60.0,12.0,29.5,48.8,125.6,120.0,63.0,5.0,12.3,65.6,36.2,21.0,60.0,0,1,77.0,0.0,0.0,1.0,1.0,1.0,1.0,77.0,77.0,0.0,0.0,1.0,1.0,14.0,48.0,62.6,4.8,73.0,13.0,14.0,48.0,62.6,4.8,73.0
Kulusevski,3.39,3.78,4.12,4.15,3.86,13.0,13.0,446,100.0,0.0,445044,1,-1,1,-1,1,3,2.7,3.2,13,Dejan,True,0,0,81,445044.jpg,Kulusevski,11.3,False,0.0,a,18,6,13,326620,326620,34904,34904,1.6,1.6,85,1,1,0,1,0,0,0,0,0,0,3,45,65.8,40.3,47.0,15.3,4,2,15,13,17,8,4,2,2.0,0.0,0.0,0.0,0.0,0.0,17,4,6,0,1.0,0.0,1.0,0.0,9.0,14.7,32.0,47.1,67.0,44.0,11.0,23.2,137.8,33.6,59.0,66.0,9.0,14.7,32.0,47.1,67.0,44.0,11.0,23.2,137.8,33.6,59.0,66.0,0,1,85.0,0.0,0.0,1.0,1.0,1.0,1.0,85.0,85.0,0.0,0.0,1.0,1.0,15.3,45.0,65.8,40.3,47.0,13.0,15.3,45.0,65.8,40.3,47.0
Tarkowski,3.59,3.84,3.76,3.84,3.76,2.0,2.0,199,100.0,0.0,17761,0,0,0,0,0,2,1.9,1.4,2,James,False,0,0,45,17761.jpg,Tarkowski,0.9,False,0.0,a,8,11,2,5648,5648,3565,3565,0.4,0.4,90,0,0,0,1,0,0,0,0,0,0,0,12,30.4,13.7,34.0,7.8,38,12,90,29,29,6,31,7,0.0,0.0,0.0,0.0,0.0,0.0,6,2,2,0,0.0,2.0,0.0,2.0,25.0,20.6,115.0,9.5,81.0,80.0,36.0,16.4,129.0,26.2,8.0,131.0,25.0,20.6,115.0,9.5,81.0,80.0,36.0,16.4,129.0,26.2,8.0,131.0,1,0,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,7.8,12.0,30.4,13.7,34.0,2.0,7.8,12.0,30.4,13.7,34.0
Dalot,3.83,3.68,3.86,3.67,3.76,1.0,1.0,342,100.0,0.0,216051,0,0,0,0,0,2,2.4,2.4,1,Diogo,False,0,0,45,216051.jpg,Dalot Teixeira,4.3,False,0.0,a,14,1,1,15566,15566,30610,30610,0.2,0.2,90,0,0,0,2,0,0,0,0,0,0,0,10,17.8,27.6,56.0,10.1,89,41,31,6,7,1,17,2,0.0,0.0,0.0,0.0,0.0,0.0,5,2,4,0,2.0,2.0,2.0,2.0,25.0,31.9,119.8,110.6,89.0,100.0,13.0,20.8,110.0,53.3,44.0,89.0,25.0,31.9,119.8,110.6,89.0,100.0,13.0,20.8,110.0,53.3,44.0,89.0,1,0,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,10.1,10.0,17.8,27.6,56.0,1.0,10.1,10.0,17.8,27.6,56.0
Son,3.27,3.66,3.92,4.02,3.72,5.0,5.0,428,100.0,0.0,85971,0,0,0,0,0,3,3.7,4.2,5,Son,False,0,0,120,85971.jpg,Heung-min,22.2,False,0.0,a,18,6,5,30814,30814,166173,166173,0.4,0.4,90,0,1,0,1,0,0,0,0,0,0,0,23,36.2,52.5,56.0,14.5,29,13,4,4,9,5,6,4,1.0,0.0,3.0,0.0,3.0,0.0,17,4,6,0,1.0,0.0,1.0,0.0,9.0,14.7,32.0,47.1,67.0,44.0,11.0,23.2,137.8,33.6,59.0,66.0,9.0,14.7,32.0,47.1,67.0,44.0,11.0,23.2,137.8,33.6,59.0,66.0,0,1,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,14.5,23.0,36.2,52.5,56.0,5.0,14.5,23.0,36.2,52.5,56.0
Castagne,3.53,3.8,3.29,3.87,3.62,8.0,8.0,258,100.0,0.0,166477,0,0,0,0,0,2,1.4,1.9,8,Timothy,False,0,0,45,166477.jpg,Castagne,1.8,False,0.0,a,10,13,8,43600,43600,9193,9193,1.8,1.8,90,1,0,0,2,0,0,0,0,0,0,1,23,42.8,19.0,37.0,9.9,11,4,58,14,23,3,18,3,0.0,0.0,0.0,0.0,0.0,0.0,4,4,1,0,2.0,0.0,2.0,0.0,15.0,33.6,61.0,101.5,174.0,59.0,2.0,12.7,90.0,29.6,6.0,62.0,15.0,33.6,61.0,101.5,174.0,59.0,2.0,12.7,90.0,29.6,6.0,62.0,1,0,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,9.9,23.0,42.8,19.0,37.0,8.0,9.9,23.0,42.8,19.0,37.0
