web_name,predicted_points_6,predicted_points_7,predicted_points_8,predicted_points_9,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Antony,3.89,3.75,5.1,4.43,4.29,0.0,0.0,609,100.0,0.0,467169,0,0,0,0,0,3,2.6,3.1,0,Antony Matheus,False,0,0,75,467169.jpg,dos Santos,0.7,False,0.0,a,14,1,0,71217,71217,5655,5655,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,619,269,619,269,619,269,619,269,0.0,0.0,0.0,0.0,0.0,0.0,10,3,1,1,2.6,0.8,2.6,0.8,17.0,23.8,76.3,74.1,88.0,61.6,5.0,14.8,112.8,24.2,10.0,65.8,17.0,23.8,76.3,74.1,88.0,61.6,5.0,14.8,112.8,24.2,10.0,65.8,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forster,4.64,4.61,3.28,4.64,4.29,0.0,0.0,426,100.0,0.0,40383,0,0,0,0,0,1,1.0,0.5,0,Fraser,False,0,0,40,40383.jpg,Forster,4.7,False,0.0,a,18,6,0,25221,2337,115184,15833,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,394,32,371,13,319,10,397,32,0.0,0.0,0.0,0.0,0.0,0.0,19,2,9,1,1.6,1.4,1.6,1.4,24.8,39.5,112.1,108.5,175.0,85.4,16.6,14.2,90.8,26.7,24.4,82.6,24.8,39.5,112.1,108.5,175.0,85.4,16.6,14.2,90.8,26.7,24.4,82.6,1,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitrović,4.14,5.2,3.76,4.0,4.28,6.8,6.8,210,100.0,0.0,128389,1,-1,3,-3,1,4,5.8,6.3,9,Aleksandar,True,0,0,68,128389.jpg,Mitrović,23.0,False,0.0,a,9,54,34,1818012,370208,661343,85971,1.0,5.0,450,5,0,1,7,0,0,1,1,0,0,7,123,222.6,59.2,294.0,57.6,2,2,94,8,4,4,5,4,0.0,0.0,3.0,0.0,1.0,0.0,5,4,18,0,2.0,0.8,2.0,0.8,17.8,32.7,80.2,130.7,115.8,73.4,10.8,21.2,119.2,50.7,42.0,78.0,17.8,32.7,80.2,130.7,115.8,73.4,10.8,21.2,119.2,50.7,42.0,78.0,0,1,90.0,0.0,0.0,5.0,5.0,1.0,5.0,450.0,90.0,0.0,0.0,5.0,1.0,11.52,24.6,44.52,11.84,58.8,6.8,11.52,24.6,44.52,11.84,58.8
Barnes,3.86,5.07,3.99,4.21,4.28,3.7,2.2,264,100.0,100.0,201666,0,0,-1,1,0,3,2.2,1.7,2,Harvey,False,0,2022-08-05T13:30:06.644219Z,69,201666.jpg,Barnes,1.1,False,0.0,a,10,13,11,23030,7731,122858,4906,0.3,1.6,255,1,0,0,4,0,0,0,0,0,0,0,21,37.6,9.7,92.0,13.8,225,94,248,131,61,41,154,86,0.0,0.0,0.0,0.0,0.0,0.0,14,2,5,0,1.2,0.6,1.2,0.6,17.2,25.6,68.9,84.3,104.0,60.0,12.4,15.7,81.7,39.4,35.8,70.8,17.2,25.6,68.9,84.3,104.0,60.0,12.4,15.7,81.7,39.4,35.8,70.8,0,1,90.0,2.0,0.0,3.0,3.0,1.0,3.0,255.0,85.0,2.0,0.0,3.0,1.0,4.6,7.0,12.53,3.23,30.67,3.67,4.6,7.0,12.53,3.23,30.67
Pérez,4.39,4.18,4.25,4.31,4.28,3.5,1.4,260,100.0,0.0,168580,0,0,-1,1,0,3,1.4,0.9,0,Ayoze,False,0,0,49,168580.jpg,Pérez,0.1,False,0.0,a,10,13,7,5839,549,9232,1128,0.3,1.4,99,0,1,1,1,0,0,0,0,0,0,0,17,9.0,38.7,18.0,6.6,311,138,139,87,210,108,259,117,0.0,0.0,0.0,0.0,0.0,0.0,14,2,5,0,1.2,0.6,1.2,0.6,17.2,25.6,68.9,84.3,104.0,60.0,12.4,15.7,81.7,39.4,35.8,70.8,17.2,25.6,68.9,84.3,104.0,60.0,12.4,15.7,81.7,39.4,35.8,70.8,0,1,0.0,0.0,4.0,2.0,1.0,0.2,2.0,99.0,50.0,0.0,4.0,1.0,0.2,3.3,8.5,4.5,19.35,9.0,3.5,3.3,8.5,4.5,19.35,9.0
Sá,4.06,4.37,3.79,4.9,4.28,5.8,5.8,478,100.0,0.0,149065,0,0,0,0,1,1,5.8,6.3,6,José,False,0,0,50,149065.jpg,Malheiro de Sá,5.2,False,0.0,a,20,39,29,217064,40608,136489,17991,1.2,5.8,450,0,0,2,4,0,1,0,0,0,16,3,118,147.8,0.0,0.0,14.8,21,5,580,57,573,57,138,5,0.0,0.0,0.0,0.0,0.0,0.0,3,2,17,1,1.4,1.8,1.4,1.8,24.4,39.2,127.3,106.3,159.8,91.8,18.6,19.0,120.5,29.3,40.0,99.8,24.4,39.2,127.3,106.3,159.8,91.8,18.6,19.0,120.5,29.3,40.0,99.8,1,0,90.0,0.0,0.0,5.0,5.0,1.0,5.0,450.0,90.0,0.0,0.0,5.0,1.0,2.96,23.6,29.56,0.0,0.0,5.8,2.96,23.6,29.56,0.0,0.0
Fernandes,4.19,3.91,4.98,4.01,4.27,3.0,3.0,333,100.0,0.0,141746,0,0,-2,2,0,3,3.0,3.5,3,Bruno,False,0,0,98,141746.jpg,Borges Fernandes,2.2,False,0.0,a,14,1,15,68304,14505,187561,14587,0.3,1.5,449,1,0,2,7,0,0,0,2,0,0,0,64,106.0,131.3,147.0,38.5,60,26,17,15,25,19,22,16,2.0,0.0,2.0,0.0,2.0,0.0,10,3,1,1,2.6,0.8,2.6,0.8,17.0,23.8,76.3,74.1,88.0,61.6,5.0,14.8,112.8,24.2,10.0,65.8,17.0,23.8,76.3,74.1,88.0,61.6,5.0,14.8,112.8,24.2,10.0,65.8,0,1,90.0,0.0,0.0,5.0,5.0,1.0,5.0,449.0,90.0,0.0,0.0,5.0,1.0,7.7,12.8,21.2,26.26,29.4,3.0,7.7,12.8,21.2,26.26,29.4
Elliott,4.18,4.34,4.38,4.14,4.26,3.0,3.0,294,100.0,0.0,444884,0,0,0,0,0,3,4.0,4.0,2,Harvey,False,0,0,50,444884.jpg,Elliott,1.2,False,0.0,a,12,14,15,122880,39310,39213,11068,0.6,3.0,342,1,0,0,5,0,0,0,0,0,0,2,79,82.0,103.2,135.0,32.1,99,38,42,31,31,24,36,27,0.0,0.0,0.0,0.0,0.0,0.0,15,2,8,0,0.8,1.2,0.8,1.2,25.6,39.3,118.5,122.1,154.0,86.0,17.2,19.2,105.8,53.1,33.2,90.4,25.6,39.3,118.5,122.1,154.0,86.0,17.2,19.2,105.8,53.1,33.2,90.4,0,1,90.0,0.0,2.0,5.0,3.0,0.6,5.0,342.0,68.0,0.0,2.0,3.0,0.6,6.42,15.8,16.4,20.64,27.0,3.0,6.42,15.8,16.4,20.64,27.0
Almirón,4.17,5.67,3.01,4.17,4.26,3.4,3.4,369,100.0,0.0,179018,0,0,0,0,0,3,3.4,2.4,2,Miguel,False,0,0,50,179018.jpg,Almirón Rejala,1.7,False,0.0,a,15,4,17,147223,33545,111716,14960,0.7,3.4,418,1,0,2,5,0,0,0,0,0,0,0,62,70.4,50.7,152.0,27.4,139,59,113,77,23,17,48,37,0.0,0.0,0.0,0.0,0.0,0.0,12,2,7,1,1.4,1.8,1.4,1.8,28.4,41.9,134.0,135.8,151.2,114.0,16.6,19.8,103.6,55.1,39.4,93.2,28.4,41.9,134.0,135.8,151.2,114.0,16.6,19.8,103.6,55.1,39.4,93.2,0,1,83.0,0.0,0.0,5.0,5.0,1.0,5.0,418.0,84.0,0.0,0.0,5.0,1.0,5.48,12.4,14.08,10.14,30.4,3.4,5.48,12.4,14.08,10.14,30.4
Adams,3.82,4.18,4.59,4.38,4.24,4.5,3.6,411,100.0,0.0,200439,0,0,-1,1,1,4,3.6,3.1,2,Che,False,0,0,64,200439.jpg,Adams,1.0,False,0.0,a,17,20,18,86630,15935,75642,18087,0.6,2.8,301,2,0,0,4,0,0,0,0,0,0,3,71,84.6,65.2,117.0,26.8,97,8,79,7,40,11,49,8,0.0,0.0,0.0,0.0,0.0,0.0,6,2,20,0,0.4,0.8,0.4,0.8,20.4,32.5,90.5,94.9,139.2,66.2,26.6,15.0,97.6,33.6,17.8,111.0,20.4,32.5,90.5,94.9,139.2,66.2,26.6,15.0,97.6,33.6,17.8,111.0,0,1,90.0,0.0,2.0,4.0,3.0,0.6,4.0,301.0,75.0,0.0,2.0,3.0,0.6,6.7,17.75,21.15,16.3,29.25,4.5,6.7,17.75,21.15,16.3,29.25
