id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
541,4,259,100.0,100.0,7,223340,0,0,2,-2,309.9,131,82,0,3,4.6,3.1,2,Bukayo,3.6,17,1,87.8,165,85,False,326.0,217,88,1687,0,2020-02-02T17:00:24.409161Z,47,0,0,0,223340.jpg,2.8,0,0,Saka,5.9,False,0.0,a,1,3,242.0,163,93,70,918276,20838,490789,9151,0.8,14.9,Saka,6,10,0,1,84.0,3.0,11.0,25.0,17.0,0.61,4.0,249.0,62.0,0.0,2.0,3.0,0.6,3.51,10.36,13.04,12.4,9.68,4.5,4.3,13.25,16.6,10.52,16.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
576,0,13,0.0,0.0,1,209289,0,0,-2,2,6.3,430,196,0,3,0.0,0.0,0,Emile,0.0,0,0,1.6,477,200,False,9.8,465,194,96,Joined Huddersfield Town on loan until the end of the season on 10/1. - Expected back 01 Aug,2020-01-10T20:00:21.634861Z,43,0,0,0,209289.jpg,2.0,0,0,Smith Rowe,0.0,False,0.0,n,1,3,0.0,544,216,4,5929,13,4367,44,0.0,0.9,Smith Rowe,0,10,0,1,0.0,15.0,3.0,1.0,1.0,0.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.6,13.0,9.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
585,0,0,0.0,0.0,0,232233,0,0,-1,1,0.0,581,78,0,4,0.0,0.0,0,Tyreece,0.0,0,0,0.0,594,77,False,0.0,591,77,0,Joined Lincoln City on loan until the end of the season on 10/1. - Expected back 01 Aug,2020-01-16T10:30:19.626655Z,44,0,0,0,232233.jpg,0.0,0,0,John-Jules,0.0,False,0.0,n,1,3,0.0,565,76,0,887,37,758,31,0.0,0.0,John-Jules,0,10,0,1,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
636,0,0,100.0,0.0,0,209037,0,0,0,0,0.0,513,198,0,2,1.0,-0.5,0,Zech,0.0,0,0,0.0,533,197,False,0.0,530,197,0,0,0,40,0,0,0,209037.jpg,0.0,0,0,Medley,0.0,False,0.0,a,1,3,0.0,480,187,0,1956,123,787,90,0.0,0.0,Medley,0,10,1,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
646,0,0,100.0,0.0,0,113534,0,0,0,0,0.0,507,23,0,1,1.0,-0.5,0,Matt,0.0,0,0,0.0,527,44,False,0.0,524,44,0,0,0,40,0,0,0,113534.jpg,0.0,0,0,Macey,0.0,False,0.0,a,1,3,0.0,474,15,0,1516,146,505,84,0.0,0.0,Macey,0,10,1,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
647,0,0,100.0,0.0,0,232241,0,0,0,0,0.0,518,201,0,2,1.0,-0.5,0,Matthew,0.0,0,0,0.0,538,200,False,0.0,535,200,0,0,0,40,0,0,0,232241.jpg,0.0,0,0,Smith,0.0,False,0.0,a,1,3,0.0,486,191,0,915,81,346,58,0.0,0.0,Smith,0,10,1,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
106,10,484,100.0,100.0,8,41270,0,0,-3,3,105.7,267,76,2,2,3.3,1.8,2,David,2.3,39,2,97.5,149,37,False,676.2,52,18,2660,0,2020-06-28T16:30:14.772979Z,57,0,0,0,41270.jpg,3.0,2,0,Luiz Moreira Marinho,4.9,False,0.0,a,1,3,191.0,200,43,92,333346,7717,647493,1423,0.4,16.1,David Luiz,5,10,1,0,90.0,1.0,6.0,31.0,29.0,0.83,5.0,450.0,90.0,0.0,0.0,5.0,1.0,3.15,15.61,21.81,3.41,6.16,3.2,2.58,16.4,21.52,0.24,4.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
21,2,272,100.0,0.0,3,242166,0,0,-4,4,235.1,166,103,0,3,1.3,-0.2,0,Matteo,0.3,31,0,71.6,216,110,False,333.6,212,85,1744,0,0,41,0,0,0,242166.jpg,2.0,0,0,Guendouzi,7.1,False,0.0,a,1,3,146.0,236,123,48,1273202,10121,1193838,11086,0.1,11.7,Guendouzi,6,10,0,1,0.0,0.0,18.0,24.0,18.0,0.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.98,11.33,13.9,9.8,6.08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
617,1,31,0.0,0.0,1,92371,0,0,-6,6,1.7,452,170,0,2,0.0,0.0,0,Pablo,0.0,0,0,3.0,463,169,False,27.8,439,164,113,Ankle injury - Expected back 25 Sep,2020-06-17T22:00:17.468334Z,44,0,0,0,92371.jpg,4.0,0,0,Marí,0.0,False,0.0,i,1,3,0.0,554,211,8,13698,6,12313,55,0.0,1.8,Marí,0,10,1,0,0.0,7.0,4.0,2.0,1.0,0.2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.5,15.5,13.9,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
19,0,241,100.0,100.0,3,198849,0,0,-3,3,203.0,189,120,0,3,1.1,-0.4,0,Lucas,0.1,22,1,68.5,222,113,False,281.0,243,97,1438,0,2020-06-19T01:30:19.551092Z,47,0,0,0,198849.jpg,1.7,0,0,Torreira,1.0,False,0.0,a,1,3,199.0,195,105,45,100067,87,181034,167,0.0,9.6,Torreira,6,10,0,1,56.0,6.0,15.0,27.0,15.0,0.5,3.0,73.0,24.0,0.0,4.0,1.0,0.2,2.54,8.93,10.41,7.52,7.37,0.33,0.4,1.0,3.07,0.77,0.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
