id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
1,0,0,0.0,0.0,0,37605,0,0,-3,3,0.0,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,False,0.0,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,67,0,0,0,37605.jpg,0.0,0,0,Özil,0.5,False,0.0,u,1,3,0.0,0,3441,0,54560,61,0.0,0.0,Özil,0,4,0,1,0.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18,0,0.7,2.1,0.4,0.8,29.8,45.8,145.4,135.8,177.7,114.5,25.0,18.5,100.0,46.6,37.8,106.4,31.6,44.0,139.8,127.6,172.8,107.8,38.2,20.2,119.8,44.1,37.8,150.0
567,0,145,100.0,100.0,3,167199,0,0,-1,1,107.4,0,3,0.8,1.3,2,Thomas,0.8,9,0,32.6,False,149.0,781,0,2021-02-06T17:30:27.330271Z,49,0,0,0,167199.jpg,1.8,0,0,Partey,0.3,False,0.0,a,1,3,69.0,24,116263,542,110606,327,0.2,4.9,Partey,3,4,0,1,79.0,11.0,4.0,13.0,8.0,0.67,3.0,176.0,59.0,1.0,2.0,2.0,0.5,2.51,11.15,11.46,8.26,5.31,1.33,2.07,9.67,8.73,5.83,6.0,2,18,0,0.7,2.1,0.4,0.8,29.8,45.8,145.4,135.8,177.7,114.5,25.0,18.5,100.0,46.6,37.8,106.4,31.6,44.0,139.8,127.6,172.8,107.8,38.2,20.2,119.8,44.1,37.8,150.0
547,0,8,100.0,100.0,0,115918,0,0,-1,1,0.0,0,1,0.0,0.5,0,Rúnar Alex,0.0,0,0,1.7,False,16.6,15,0,2021-02-21T22:00:20.597889Z,44,0,0,0,115918.jpg,1.0,0,2,Rúnarsson,0.0,False,0.0,a,1,3,0.0,1,5037,94,4629,111,0.0,0.2,Rúnarsson,0,4,1,0,0.0,1.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.7,8.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18,0,0.7,2.1,0.4,0.8,29.8,45.8,145.4,135.8,177.7,114.5,25.0,18.5,100.0,46.6,37.8,106.4,31.6,44.0,139.8,127.6,172.8,107.8,38.2,20.2,119.8,44.1,37.8,150.0
527,0,0,0.0,0.0,0,113534,0,0,0,0,0.0,0,1,0.0,0.0,0,Matt,0.0,0,0,0.0,False,0.0,0,Transferred to Hibernian,2021-01-09T10:26:30.856796Z,40,0,0,0,113534.jpg,0.0,0,0,Macey,1.0,False,0.0,u,1,3,0.0,0,171821,0,141044,1303,0.0,0.0,Macey,0,4,1,0,0.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18,0,0.7,2.1,0.4,0.8,29.8,45.8,145.4,135.8,177.7,114.5,25.0,18.5,100.0,46.6,37.8,106.4,31.6,44.0,139.8,127.6,172.8,107.8,38.2,20.2,119.8,44.1,37.8,150.0
526,0,168,100.0,100.0,3,153256,0,0,-3,3,77.8,0,3,1.2,1.7,0,Mohamed Naser,1.2,14,0,22.7,False,121.8,1070,0,2020-11-16T22:00:27.131231Z,42,0,0,0,153256.jpg,1.9,0,0,El Sayed Elneny,1.1,False,0.0,a,1,3,29.0,28,288206,4772,277224,3471,0.3,6.7,Elneny,2,4,0,1,0.0,1.0,14.0,14.0,11.0,0.44,3.0,162.0,54.0,0.0,3.0,2.0,0.4,1.62,12.0,8.7,5.56,2.07,1.67,0.63,9.33,4.53,1.53,0.33,2,18,0,0.7,2.1,0.4,0.8,29.8,45.8,145.4,135.8,177.7,114.5,25.0,18.5,100.0,46.6,37.8,106.4,31.6,44.0,139.8,127.6,172.8,107.8,38.2,20.2,119.8,44.1,37.8,150.0
501,3,230,100.0,100.0,4,182539,0,0,-3,3,275.0,0,3,1.8,2.3,1,Daniel,1.8,14,0,58.7,False,250.4,1117,0,2021-01-18T22:00:23.859834Z,47,0,0,0,182539.jpg,2.1,0,0,Ceballos Fernández,0.7,False,0.0,a,1,3,61.0,40,140937,168,243739,427,0.4,8.5,Ceballos,3,4,0,1,10.0,3.0,12.0,18.0,11.0,0.48,3.0,102.0,34.0,0.0,4.0,1.0,0.2,3.26,12.78,13.91,15.28,3.39,2.33,1.47,7.67,6.6,5.13,3.33,2,18,0,0.7,2.1,0.4,0.8,29.8,45.8,145.4,135.8,177.7,114.5,25.0,18.5,100.0,46.6,37.8,106.4,31.6,44.0,139.8,127.6,172.8,107.8,38.2,20.2,119.8,44.1,37.8,150.0
494,6,258,100.0,100.0,3,226597,0,0,-1,1,24.1,1,2,0.2,0.7,0,Gabriel,0.2,17,2,52.4,False,336.2,1276,0,2020-12-26T18:00:16.873188Z,49,0,0,0,226597.jpg,3.4,1,0,Magalhães,4.5,False,0.0,a,1,3,163.0,51,1026214,483,1176031,4252,0.0,10.4,Gabriel,1,4,1,0,0.0,3.0,10.0,14.0,13.0,0.57,2.0,180.0,90.0,0.0,3.0,2.0,0.4,3.74,18.43,24.01,1.72,11.64,1.5,2.65,12.5,13.0,0.75,12.5,2,18,0,0.7,2.1,0.4,0.8,29.8,45.8,145.4,135.8,177.7,114.5,25.0,18.5,100.0,46.6,37.8,106.4,31.6,44.0,139.8,127.6,172.8,107.8,38.2,20.2,119.8,44.1,37.8,150.0
478,6,244,100.0,100.0,2,47431,0,0,-5,5,410.4,1,3,4.5,5.0,6,Willian,4.5,16,0,79.8,False,187.0,1177,0,2020-12-26T18:00:16.845067Z,75,0,0,0,47431.jpg,3.1,0,0,Borges Da Silva,2.8,False,0.0,a,1,3,197.0,62,791634,6595,1349990,2828,0.6,8.3,Willian,0,4,0,1,68.0,3.0,11.0,20.0,13.0,0.54,4.0,202.0,50.0,0.0,3.0,2.0,0.4,3.99,12.2,9.35,20.52,9.85,4.75,4.55,14.75,10.6,19.85,14.75,2,18,0,0.7,2.1,0.4,0.8,29.8,45.8,145.4,135.8,177.7,114.5,25.0,18.5,100.0,46.6,37.8,106.4,31.6,44.0,139.8,127.6,172.8,107.8,38.2,20.2,119.8,44.1,37.8,150.0
70,0,183,100.0,100.0,2,131897,0,0,-3,3,0.3,0,1,0.0,0.5,0,Mathew,0.0,20,0,17.8,False,178.0,1080,0,2021-02-01T19:30:26.014607Z,42,0,0,0,131897.jpg,2.4,0,23,Ryan,6.2,False,0.0,a,1,3,0.0,29,494213,1016,1258499,6752,0.0,6.9,Ryan,1,4,1,0,0.0,2.0,13.0,12.0,12.0,0.48,1.0,90.0,90.0,0.0,4.0,1.0,0.2,1.48,15.25,14.83,0.02,0.0,4.0,4.6,22.0,45.6,0.0,0.0,2,18,0,0.7,2.1,0.4,0.8,29.8,45.8,145.4,135.8,177.7,114.5,25.0,18.5,100.0,46.6,37.8,106.4,31.6,44.0,139.8,127.6,172.8,107.8,38.2,20.2,119.8,44.1,37.8,150.0
27,0,0,0.0,0.0,0,462424,0,0,-5,5,0.0,0,2,0.0,0.0,0,William,0.0,0,0,0.0,False,0.0,0,Joined Nice on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-04T23:00:20.315877Z,40,0,0,0,462424.jpg,0.0,0,0,Saliba,0.5,False,0.0,u,1,3,0.0,0,30961,0,226942,225,0.0,0.0,Saliba,0,4,1,0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18,0,0.7,2.1,0.4,0.8,29.8,45.8,145.4,135.8,177.7,114.5,25.0,18.5,100.0,46.6,37.8,106.4,31.6,44.0,139.8,127.6,172.8,107.8,38.2,20.2,119.8,44.1,37.8,150.0
