web_name,opponent_20,predicted_points_20,opponent_21,predicted_points_21,opponent_22,predicted_points_22,opponent_23,predicted_points_23,opponent_24,predicted_points_24,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
Lewis,MUN,11.46,WOL,6.02,TOT,5.75,ARS,14.33,NFO,6.43,8.8,1.8,2.7,573,100.0,0.0,477064,0,0,-1,1,0,2,6.9,3.2,1,Rico,False,,0,39,477064.jpg,Lewis,0.8,False,0,a,13,43,11,101911,53001,30014,9767,0.7,2.8,233,0,0,1,1,0,0,0,1,0,0,0,52,27.4,40.0,12.0,8.0,2,0.0,0.31990999999999997,0.31990999999999997,0.8263,371,140,285,92,356,127,368,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12357,0.12357,0.31917,0.39,685,232,122,42,293,105,204,75,0.77253,0.38627,6,1,0,45.0,0.0,16.0,6.0,2.0,0.11,3.0,198.0,66.0,0.0,3.0,2.0,0.4,1.33,8.67,4.57,6.67,2.0,2.67,2.17,14.33,5.87,12.4,3.33,4,14,0,1.4,1.0,2.0,0.8,21.0,31.6,95.5,91.0,129.9,79.2,12.0,13.7,86.4,27.8,22.3,70.3,19.8,28.3,91.4,70.7,121.0,74.2,12.2,15.7,110.2,28.6,17.2,75.4
Rodri,MUN,9.55,WOL,5.1,TOT,6.49,AVL,12.64,NFO,6.61,8.08,3.2,4.3,315,100.0,100.0,220566,0,0,-4,4,0,3,10.1,4.8,3,Rodrigo,False,,2022-10-02T21:00:07.266280Z,56,220566.jpg,Hernandez,1.6,False,0,a,13,43,51,176959,11943,332619,5046,0.8,9.1,1387,1,3,6,13,0,0,0,2,0,0,2,284,358.8,294.0,236.0,89.0,16,2.3768,2.0000400000000003,4.3768400000000005,10.3204,53,20,44,36,78,50,47,33,0.0,0.0,0.0,0.0,0.0,0.0,0.15423,0.0,0.12978,0.28401,0.66967,0.84,100,53,56,26,134,59,134,43,1.03821,0.38933,6,0,1,85.0,0.0,3.0,16.0,16.0,0.84,5.0,445.0,89.0,0.0,0.0,5.0,1.0,5.56,17.75,22.42,18.38,14.75,3.4,7.72,20.6,28.12,26.38,22.6,4,14,0,1.4,1.0,2.0,0.8,21.0,31.6,95.5,91.0,129.9,79.2,12.0,13.7,86.4,27.8,22.3,70.3,19.8,28.3,91.4,70.7,121.0,74.2,12.2,15.7,110.2,28.6,17.2,75.4
Akanji,TOT,10.58,WOL,5.22,TOT,5.24,ARS,12.27,NFO,6.36,7.93,3.2,1.7,610,100.0,0.0,211975,0,0,0,0,0,2,4.9,2.2,1,Manuel,False,,0,50,211975.jpg,Akanji,1.9,False,0,a,13,43,35,356063,32854,172198,19578,0.3,7.0,926,0,1,3,10,0,0,0,1,0,0,2,190,151.4,61.8,100.0,31.3,10,0.5101,0.20293,0.71303,7.9602,225,87,226,63,187,32,243,78,0.0,0.0,0.0,0.0,0.0,0.0,0.04958,0.0,0.01972,0.0693,0.77367,0.97,205,29,183,62,131,37,124,43,0.97192,0.29158,6,1,0,45.0,0.0,4.0,11.0,10.0,0.71,5.0,405.0,81.0,0.0,1.0,4.0,0.8,2.85,17.27,13.76,5.62,9.09,2.4,3.18,14.8,15.0,8.48,8.4,4,14,0,1.4,1.0,2.0,0.8,21.0,31.6,95.5,91.0,129.9,79.2,12.0,13.7,86.4,27.8,22.3,70.3,19.8,28.3,91.4,70.7,121.0,74.2,12.2,15.7,110.2,28.6,17.2,75.4
Gündogan,TOT,8.82,WOL,5.2,TOT,5.3,ARS,12.95,NFO,6.95,7.84,3.4,2.0,300,100.0,0.0,59859,0,0,-2,2,0,3,5.5,2.5,3,Ilkay,False,,0,73,59859.jpg,Gündogan,2.0,False,0,a,13,43,51,708049,8857,730638,5998,0.3,7.0,1073,2,2,5,10,0,0,0,0,0,0,3,215,248.4,368.8,315.0,92.9,12,2.6098,2.00628,4.61608,8.8435,124,54,27,21,48,30,40,27,4.0,0.0,2.0,0.0,5.0,0.0,0.2189,0.0,0.16828,0.38718,0.74177,0.84,31,16,174,76,114,52,122,41,1.00652,0.41938,6,0,1,90.0,0.0,7.0,15.0,12.0,0.63,5.0,363.0,73.0,0.0,1.0,4.0,0.8,6.19,14.33,16.56,24.59,21.0,2.6,4.58,9.2,12.8,16.3,17.2,4,14,0,1.4,1.0,2.0,0.8,21.0,31.6,95.5,91.0,129.9,79.2,12.0,13.7,86.4,27.8,22.3,70.3,19.8,28.3,91.4,70.7,121.0,74.2,12.2,15.7,110.2,28.6,17.2,75.4
Foden,MUN,9.59,WOL,5.2,TOT,4.65,AVL,12.65,NFO,6.47,7.71,4.6,1.0,314,100.0,0.0,209244,0,0,2,-2,2,3,3.5,1.5,1,Phil,False,,0,82,209244.jpg,Foden,14.9,False,0,a,13,43,79,4114831,90706,3343060,147650,0.1,9.6,984,7,4,2,11,0,0,0,1,0,0,6,292,409.6,392.5,454.0,125.7,12,3.7447,2.06967,5.814369999999999,8.4775,26,12,21,15,26,15,20,13,3.0,0.0,0.0,0.0,0.0,0.0,0.3425,0.0,0.1893,0.5318,0.77538,1.01,14,6,259,124,33,14,23,9,1.09756,0.18293,6,0,1,59.0,0.0,8.0,17.0,11.0,0.58,5.0,195.0,39.0,0.0,3.0,2.0,0.4,7.39,17.18,24.09,23.09,26.71,2.6,4.78,7.2,10.84,13.16,23.8,3,18,1,2.0,1.3,2.2,1.8,22.7,36.1,110.7,120.2,130.2,89.4,10.8,17.8,108.3,41.8,27.6,80.6,29.2,39.4,142.2,107.6,144.6,103.8,11.4,16.8,101.4,38.6,27.8,87.0
Cancelo,MUN,9.9,WOL,5.59,TOT,4.97,AVL,12.03,NFO,5.82,7.66,4.5,0.7,306,100.0,0.0,121145,-1,1,2,-2,4,2,2.9,1.2,1,João,False,,0,72,121145.jpg,Cancelo,44.8,False,0,a,13,43,72,3647121,72698,3523900,422473,0.1,10.0,1183,2,2,6,14,0,0,0,3,1,0,10,292,263.0,247.1,274.0,77.7,15,0.8242,1.43374,2.25794,11.5888,106,33,64,7,61,2,66,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0627,0.0,0.10908,0.17178,0.88165,1.07,36,2,305,99,36,11,4,2,1.14117,0.45647,6,1,0,45.0,0.0,6.0,16.0,13.0,0.68,4.0,177.0,44.0,0.0,4.0,1.0,0.2,4.86,18.25,16.44,15.44,17.12,0.25,3.48,2.0,3.75,8.82,23.75,3,18,1,2.0,1.3,2.2,1.8,22.7,36.1,110.7,120.2,130.2,89.4,10.8,17.8,108.3,41.8,27.6,80.6,29.2,39.4,142.2,107.6,144.6,103.8,11.4,16.8,101.4,38.6,27.8,87.0
Son,MCI,13.62,FUL,6.31,MCI,4.98,LEI,6.88,WHU,5.42,7.44,4.1,4.0,428,100.0,100.0,85971,0,0,-4,4,1,3,7.5,4.5,8,Son,False,,2022-11-02T00:00:07.969471Z,116,85971.jpg,Heung-min,6.4,False,0,a,18,6,65,1210502,63513,2810528,16596,0.3,5.6,1300,4,2,5,18,0,0,0,0,0,0,3,196,327.0,424.8,512.0,126.1,15,4.1985,2.02473,6.22323,16.0104,65,28,15,10,18,10,18,11,1.0,0.0,3.0,0.0,3.0,0.0,0.29067,0.0,0.14017,0.43084,1.10841,1.25,5,3,74,35,64,32,53,16,1.03846,0.34615,7,0,1,90.0,1.0,3.0,16.0,15.0,0.83,3.0,270.0,90.0,1.0,1.0,3.0,0.75,7.88,12.25,20.44,26.55,32.0,4.0,6.07,14.0,25.33,13.37,22.0,5,13,0,2.4,0.8,1.6,1.0,16.2,18.6,69.3,50.9,65.9,58.0,7.1,11.0,84.6,13.7,11.5,58.0,16.4,18.1,68.9,43.8,67.8,53.8,9.4,12.7,103.6,9.1,14.8,57.4
Laporte,MUN,10.28,WOL,5.44,TOT,4.51,ARS,10.99,NFO,5.14,7.27,2.2,0.0,309,100.0,75.0,146941,-1,1,-3,3,0,2,1.5,0.4,0,Aymeric,False,,2023-01-02T10:30:07.911178Z,57,146941.jpg,Laporte,0.5,False,0,a,13,43,9,59392,4622,84493,6468,0.0,1.6,285,0,0,1,5,0,0,0,0,0,0,0,56,50.8,51.0,40.0,14.1,3,0.1849,0.20567,0.39057,3.947,333,129,254,76,288,90,336,118,0.0,0.0,0.0,0.0,0.0,0.0,0.05839,0.0,0.06495,0.12334,1.24642,1.58,83,9,670,233,250,89,256,94,0.94737,0.31579,6,1,0,0.0,9.0,7.0,4.0,3.0,0.3,1.0,90.0,90.0,1.0,3.0,1.0,0.25,3.52,14.0,12.7,12.75,10.0,1.0,8.4,17.0,31.8,28.3,24.0,4,14,0,1.4,1.0,2.0,0.8,21.0,31.6,95.5,91.0,129.9,79.2,12.0,13.7,86.4,27.8,22.3,70.3,19.8,28.3,91.4,70.7,121.0,74.2,12.2,15.7,110.2,28.6,17.2,75.4
Nelson,TOT,5.73,MUN,5.24,EVE,7.86,MCI,9.42,AVL,7.91,7.23,10.0,0.0,23,0.0,0.0,200641,-1,1,-3,3,1,3,0.0,0.0,0,Reiss,False,Muscle injury - Expected back 04 Feb,2022-12-22T15:30:07.123983Z,47,200641.jpg,Nelson,0.0,False,0,i,1,3,20,12717,7,13978,332,0.0,4.3,64,2,1,1,0,0,0,0,0,0,0,3,53,90.8,31.0,79.0,20.1,0,0.6306,0.15378,0.78438,0.3883,289,126,310,161,213,122,297,137,0.0,0.0,0.0,0.0,0.0,0.0,0.88678,0.0,0.21625,1.10303,0.54605,0.0,304,185,607,248,1,1,544,212,0.0,1.40625,15,0,1,0.0,11.0,7.0,2.0,1.0,0.12,1.0,1.0,1.0,4.0,1.0,0.0,0.0,10.05,26.5,45.4,15.5,39.5,1.0,0.0,3.0,0.0,0.0,0.0,4,18,0,2.0,1.3,2.2,1.8,22.7,36.1,110.7,120.2,130.2,89.4,10.8,17.8,108.3,41.8,27.6,80.6,29.2,39.4,142.2,107.6,144.6,103.8,11.4,16.8,101.4,38.6,27.8,87.0
Doherty,ARS,12.31,FUL,4.64,MCI,5.55,LEI,5.89,WHU,6.94,7.07,3.1,5.3,429,100.0,0.0,87835,0,0,-4,4,1,2,10.1,5.8,14,Matt,False,,0,46,87835.jpg,Doherty,1.0,False,0,a,18,6,34,171552,50447,161180,7574,1.2,7.4,593,1,0,3,7,0,0,0,0,0,0,2,134,131.0,102.6,144.0,37.7,6,0.7526,0.26932,1.0219200000000002,7.1089,241,92,172,39,142,17,208,58,0.0,0.0,0.0,0.0,0.0,0.0,0.11422,0.0,0.04087,0.1551,1.07892,1.06,315,53,30,10,146,44,180,67,0.91062,0.45531,7,1,0,77.0,0.0,13.0,11.0,6.0,0.32,5.0,301.0,60.0,0.0,2.0,3.0,0.6,3.43,12.18,11.91,9.33,13.09,3.6,5.12,14.0,17.6,14.7,19.0,5,13,0,2.4,0.8,1.6,1.0,16.2,18.6,69.3,50.9,65.9,58.0,7.1,11.0,84.6,13.7,11.5,58.0,16.4,18.1,68.9,43.8,67.8,53.8,9.4,12.7,103.6,9.1,14.8,57.4
