id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
1,0,0,100.0,0.0,0,69140,0,0,-1,1,0.0,0,2,0.0,-0.5,0,Shkodran,0.0,0,0,0.0,False,0.0,0,0,0,54,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.4,False,0.0,a,1,3,0.0,0,3705,303,19294,3730,0.0,0.0,Mustafi,0,10,1,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,1,1.0,1.0,1.0,1.0,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3
2,0,0,0.0,0.0,0,98745,0,0,0,0,0.0,0,2,0.0,0.0,0,Héctor,0.0,0,0,0.0,False,0.0,0,Knee injury - Expected back 30 Sep,2019-06-25T11:30:06.897107Z,55,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.1,False,0.0,i,1,3,0.0,0,637,122,4007,760,0.0,0.0,Bellerín,0,10,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,1,1.0,1.0,1.0,1.0,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3
3,0,2,100.0,100.0,0,111457,0,0,-1,1,0.3,0,2,0.3,-0.2,0,Sead,0.3,0,0,0.3,False,2.2,19,0,2019-08-09T17:00:13.224645Z,54,0,0,0,111457.jpg,1.0,0,0,Kolasinac,0.8,False,0.0,a,1,3,0.0,1,2912,832,49742,6939,0.1,0.2,Kolasinac,0,10,1,0,0,1.0,2.0,1.0,0.0,0.0,1.0,19.0,19.0,1.0,2.0,0.0,0.0,0.3,2.0,2.2,0.3,0.0,1.0,0.3,2.0,2.2,0.3,0.0,2,15,1,1.0,1.0,1.0,1.0,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3
4,3,62,100.0,0.0,1,154043,1,-1,1,-1,41.7,1,2,5.0,4.5,1,Ainsley,5.0,4,0,12.6,False,77.2,270,0,0,51,0,0,0,154043.jpg,5.0,0,0,Maitland-Niles,5.9,False,0.0,a,1,3,7.0,15,325683,71986,123313,42907,1.0,2.9,Maitland-Niles,0,10,1,0,90,0.0,0.0,3.0,3.0,1.0,3.0,270.0,90.0,0.0,0.0,3.0,1.0,4.2,20.67,25.73,13.9,2.33,5.0,4.2,20.67,25.73,13.9,2.33,2,15,1,1.0,1.0,1.0,1.0,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3
5,2,64,100.0,0.0,1,39476,0,0,0,0,12.1,0,2,3.7,3.2,1,Sokratis,3.7,4,0,9.2,False,77.6,270,0,0,50,0,0,0,39476.jpg,3.7,0,0,Papastathopoulos,1.9,False,0.0,a,1,3,2.0,11,37659,8254,36862,11087,0.7,2.2,Sokratis,0,10,1,0,90,0.0,0.0,3.0,3.0,1.0,3.0,270.0,90.0,0.0,0.0,3.0,1.0,3.07,21.33,25.87,4.03,0.67,3.67,3.07,21.33,25.87,4.03,0.67,2,15,1,1.0,1.0,1.0,1.0,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3
6,1,54,100.0,0.0,1,38411,0,0,0,0,40.8,0,2,3.3,2.8,1,Nacho,3.3,4,0,10.0,False,47.2,270,0,0,50,0,0,0,38411.jpg,3.3,0,0,Monreal,1.2,False,0.0,a,1,3,12.0,10,26772,5896,25647,8350,0.7,2.0,Monreal,0,10,1,0,90,0.0,0.0,3.0,3.0,1.0,3.0,270.0,90.0,0.0,0.0,3.0,1.0,3.33,18.0,15.73,13.6,4.0,3.33,3.33,18.0,15.73,13.6,4.0,2,15,1,1.0,1.0,1.0,1.0,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3
7,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,0.0,u,1,3,0.0,0,148,35,10060,1040,0.0,0.0,Koscielny,0,10,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,1,1.0,1.0,1.0,1.0,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3
8,0,0,0.0,0.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Groin Injury - Expected back 30 Sep,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,0.0,i,1,3,0.0,0,124,40,2692,372,0.0,0.0,Mavropanos,0,10,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,1,1.0,1.0,1.0,1.0,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3
9,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,0.0,u,1,3,0.0,0,83,21,1658,221,0.0,0.0,Jenkinson,0,10,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,1,1.0,1.0,1.0,1.0,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3
10,0,0,0.0,0.0,0,156074,0,0,0,0,0.0,0,2,0.0,0.0,0,Rob,0.0,0,0,0.0,False,0.0,0,Lack of match fitness - Unknown return date,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.1,False,0.0,i,1,3,0.0,0,416,126,2379,493,0.0,0.0,Holding,0,10,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,1,1.0,1.0,1.0,1.0,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3,18.7,25.7,85.2,80.6,91.7,73.0,14.3,19.5,119.1,32.2,42.7,78.3
