web_name,opponent,element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5
Kane,1,4,0,1,7.1,11.77,37.03,21.94,58.67,26.89,8.3,16.1,8.8,10.08,32.8,38.28,17.66,44.8,4,1,2.1,0.7,2.0,0.6,16.8,7.0,16.8,11.2,22.0,12.5,21.2,13.3,74.9,88.2,67.0,87.6,63.6,22.9,62.8,28.2,82.0,13.2,83.0,16.8,59.6,59.9,57.6,72.2
Shaw,13,2,1,0,4.8,4.2,18.05,18.75,5.15,21.23,10.7,20.4,7.4,4.16,27.6,21.6,16.04,4.0,5,1,2.4,0.8,1.6,1.0,16.2,7.1,16.4,9.4,18.6,11.0,18.1,12.7,69.3,84.6,68.9,103.6,50.9,13.7,43.8,9.1,65.9,11.5,67.8,14.8,58.0,58.0,53.8,57.4
Mahrez,18,3,0,1,3.5,5.81,13.57,23.28,21.17,13.67,6.7,14.9,6.67,10.87,27.0,28.8,46.13,33.67,3,1,2.0,1.3,2.2,1.8,22.7,10.8,29.2,11.4,36.1,17.8,39.4,16.8,110.7,108.3,142.2,101.4,120.2,41.8,107.6,38.6,130.2,27.6,144.6,27.8,89.4,80.6,103.8,87.0
Haaland,14,4,0,1,9.0,12.92,49.06,12.64,67.44,36.88,7.0,15.5,5.4,8.86,21.0,28.84,11.98,47.8,4,0,1.4,1.0,2.0,0.8,21.0,12.0,19.8,12.2,31.6,13.7,28.3,15.7,95.5,86.4,91.4,110.2,91.0,27.8,70.7,28.6,129.9,22.3,121.0,17.2,79.2,70.3,74.2,75.4
Son,13,3,0,1,4.1,7.88,20.44,26.55,32.0,12.25,4.0,7.5,4.0,6.07,14.0,25.33,13.37,22.0,5,0,2.4,0.8,1.6,1.0,16.2,7.1,16.4,9.4,18.6,11.0,18.1,12.7,69.3,84.6,68.9,103.6,50.9,13.7,43.8,9.1,65.9,11.5,67.8,14.8,58.0,58.0,53.8,57.4
Ederson,14,1,1,0,4.1,1.79,17.14,0.77,0.0,19.24,4.0,9.5,3.2,1.6,15.2,16.08,0.02,0.0,4,0,1.4,1.0,2.0,0.8,21.0,12.0,19.8,12.2,31.6,13.7,28.3,15.7,95.5,86.4,91.4,110.2,91.0,27.8,70.7,28.6,129.9,22.3,121.0,17.2,79.2,70.3,74.2,75.4
Rashford,13,3,0,1,5.2,7.4,22.52,12.08,39.35,14.06,9.0,17.0,6.2,8.88,16.2,30.0,9.56,49.2,5,1,2.4,0.8,1.6,1.0,16.2,7.1,16.4,9.4,18.6,11.0,18.1,12.7,69.3,84.6,68.9,103.6,50.9,13.7,43.8,9.1,65.9,11.5,67.8,14.8,58.0,58.0,53.8,57.4
Aké,14,2,1,0,3.5,2.64,13.75,6.28,6.27,16.27,4.0,9.5,3.5,3.15,16.5,14.5,12.4,4.75,4,0,1.4,1.0,2.0,0.8,21.0,12.0,19.8,12.2,31.6,13.7,28.3,15.7,95.5,86.4,91.4,110.2,91.0,27.8,70.7,28.6,129.9,22.3,121.0,17.2,79.2,70.3,74.2,75.4
Wan-Bissaka,7,2,1,0,5.5,2.9,11.3,13.08,4.5,20.0,7.0,13.0,7.0,3.77,25.33,14.07,17.43,6.0,3,0,0.9,1.3,0.8,1.8,23.6,19.0,29.2,26.8,33.5,16.1,34.2,16.5,101.4,92.7,117.9,103.2,101.5,37.5,95.3,32.4,132.9,30.5,128.4,29.4,83.6,89.6,96.6,113.8
Doherty,1,2,1,0,3.1,3.43,11.91,9.33,13.09,12.18,5.3,10.1,3.6,5.12,14.0,17.6,14.7,19.0,4,1,2.1,0.7,2.0,0.6,16.8,7.0,16.8,11.2,22.0,12.5,21.2,13.3,74.9,88.2,67.0,87.6,63.6,22.9,62.8,28.2,82.0,13.2,83.0,16.8,59.6,59.9,57.6,72.2
Grealish,18,3,0,1,3.8,6.0,13.33,23.79,23.27,14.91,5.0,11.5,4.25,6.12,15.0,13.95,15.4,32.75,3,1,2.0,1.3,2.2,1.8,22.7,10.8,29.2,11.4,36.1,17.8,39.4,16.8,110.7,108.3,142.2,101.4,120.2,41.8,107.6,38.6,130.2,27.6,144.6,27.8,89.4,80.6,103.8,87.0
