id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
1,2,229,100.0,100.0,4,69140,0,0,-4,4,44.4,336,113,0,2,2.7,3.2,1,Shkodran,2.7,15,0,41.9,314,107,False,242.0,261,105,1115,0,2020-07-01T22:00:25.971699Z,51,0,0,0,69140.jpg,3.0,0,0,Mustafi,0.4,False,0.0,a,1,3,131.0,239,60,42,23154,441,44062,411,0.5,8.2,Mustafi,2,9,1,0,90.0,2.0,21.0,14.0,11.0,0.34,6.0,495.0,82.0,0.0,1.0,4.0,0.8,2.99,16.36,17.29,3.17,9.36,2.67,2.02,14.17,11.3,4.83,4.0,3,19,0,1.2,1.7,1.0,1.8,26.2,39.4,130.7,113.2,150.5,103.7,19.3,19.6,113.1,48.5,33.7,97.4,27.4,37.5,129.8,112.8,132.6,104.8,27.0,18.9,119.0,50.0,19.2,119.2
2,4,194,100.0,100.0,4,98745,0,0,-2,2,61.2,315,102,0,2,3.0,3.5,2,Héctor,3.0,16,1,33.1,338,120,False,178.8,310,120,1073,0,2019-12-09T20:00:21.228098Z,53,0,0,0,98745.jpg,3.1,0,0,Bellerín,1.1,False,0.0,a,1,3,89.0,284,85,43,196858,1127,144786,2695,0.6,8.1,Bellerín,2,9,1,0,90.0,13.0,10.0,14.0,11.0,0.52,6.0,450.0,75.0,0.0,1.0,4.0,0.8,2.36,13.86,12.77,4.37,6.36,3.0,2.27,13.0,10.2,3.92,8.5,3,19,0,1.2,1.7,1.0,1.8,26.2,39.4,130.7,113.2,150.5,103.7,19.3,19.6,113.1,48.5,33.7,97.4,27.4,37.5,129.8,112.8,132.6,104.8,27.0,18.9,119.0,50.0,19.2,119.2
3,1,301,100.0,100.0,4,111457,0,0,-3,3,165.9,209,52,0,2,2.7,3.2,2,Sead,2.7,22,0,47.5,293,99,False,245.0,260,104,1483,0,2020-02-23T18:30:13.672943Z,52,0,0,0,111457.jpg,2.3,0,0,Kolasinac,0.5,False,0.0,a,1,3,67.0,307,100,51,62457,240,132650,307,0.5,9.8,Kolasinac,3,9,1,0,90.0,13.0,5.0,22.0,16.0,0.76,5.0,380.0,76.0,0.0,1.0,4.0,0.8,2.16,13.68,11.14,7.54,3.05,3.2,1.26,15.8,11.0,1.72,0.0,3,19,0,1.2,1.7,1.0,1.8,26.2,39.4,130.7,113.2,150.5,103.7,19.3,19.6,113.1,48.5,33.7,97.4,27.4,37.5,129.8,112.8,132.6,104.8,27.0,18.9,119.0,50.0,19.2,119.2
4,3,226,100.0,100.0,3,154043,0,0,-5,5,159.5,219,54,1,2,0.5,1.0,1,Ainsley,0.5,20,0,47.0,296,100,False,279.2,240,95,1278,0,2019-09-22T18:00:10.824841Z,45,0,0,0,154043.jpg,2.2,1,0,Maitland-Niles,2.2,False,0.0,a,1,3,37.0,356,130,39,608343,270,649643,905,0.1,8.7,Maitland-Niles,4,9,1,0,1.0,0.0,21.0,18.0,13.0,0.38,4.0,68.0,17.0,0.0,5.0,0.0,0.0,2.61,12.56,15.51,8.86,2.06,0.75,0.53,2.5,4.35,1.02,0.0,3,19,0,1.2,1.7,1.0,1.8,26.2,39.4,130.7,113.2,150.5,103.7,19.3,19.6,113.1,48.5,33.7,97.4,27.4,37.5,129.8,112.8,132.6,104.8,27.0,18.9,119.0,50.0,19.2,119.2
5,5,305,100.0,100.0,4,39476,0,0,-2,2,36.8,350,119,1,2,0.0,0.5,0,Sokratis,0.0,25,2,58.5,247,75,False,436.2,143,54,1696,0,2020-06-18T18:00:15.974146Z,48,0,0,0,39476.jpg,3.0,0,0,Papastathopoulos,1.3,False,0.0,a,1,3,110.0,260,73,57,180929,129,227756,929,0.0,11.9,Sokratis,6,9,1,0,0.0,4.0,11.0,19.0,19.0,0.63,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.08,16.05,22.96,1.94,5.79,0.0,0.0,0.0,0.0,0.0,0.0,3,19,0,1.2,1.7,1.0,1.8,26.2,39.4,130.7,113.2,150.5,103.7,19.3,19.6,113.1,48.5,33.7,97.4,27.4,37.5,129.8,112.8,132.6,104.8,27.0,18.9,119.0,50.0,19.2,119.2
6,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,343,117,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,410,149,False,47.2,413,154,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,0.0,u,1,3,12.0,403,147,10,28230,3,89221,12,0.0,2.0,Monreal,0,9,1,0,0.0,31.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.33,18.0,15.73,13.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,19,0,1.2,1.7,1.0,1.8,26.2,39.4,130.7,113.2,150.5,103.7,19.3,19.6,113.1,48.5,33.7,97.4,27.4,37.5,129.8,112.8,132.6,104.8,27.0,18.9,119.0,50.0,19.2,119.2
7,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,630,217,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,636,217,False,0.0,634,217,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,0.0,u,1,3,0.0,626,216,0,732,5,12856,7,0.0,0.0,Koscielny,0,9,1,0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,19,0,1.2,1.7,1.0,1.8,26.2,39.4,130.7,113.2,150.5,103.7,19.3,19.6,113.1,48.5,33.7,97.4,27.4,37.5,129.8,112.8,132.6,104.8,27.0,18.9,119.0,50.0,19.2,119.2
8,0,0,0.0,0.0,0,233963,0,0,-2,2,0.0,567,213,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,581,213,False,0.0,578,213,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Aug,2020-01-13T14:30:21.309535Z,43,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,0.0,n,1,3,0.0,545,206,0,1158,2,5028,7,0.0,0.0,Mavropanos,0,9,1,0,0.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,19,0,1.2,1.7,1.0,1.8,26.2,39.4,130.7,113.2,150.5,103.7,19.3,19.6,113.1,48.5,33.7,97.4,27.4,37.5,129.8,112.8,132.6,104.8,27.0,18.9,119.0,50.0,19.2,119.2
9,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,582,214,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,594,214,False,0.0,591,214,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,0.0,u,1,3,0.0,563,208,0,488,3,2677,4,0.0,0.0,Jenkinson,0,9,1,0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,19,0,1.2,1.7,1.0,1.8,26.2,39.4,130.7,113.2,150.5,103.7,19.3,19.6,113.1,48.5,33.7,97.4,27.4,37.5,129.8,112.8,132.6,104.8,27.0,18.9,119.0,50.0,19.2,119.2
10,2,60,100.0,100.0,1,156074,0,0,-1,1,2.4,441,163,0,2,1.7,2.2,0,Rob,1.7,5,0,7.7,425,155,False,68.2,392,149,310,0,2019-12-09T10:00:19.335279Z,44,0,0,0,156074.jpg,2.4,0,0,Holding,0.2,False,0.0,a,1,3,6.0,421,154,12,22217,153,20120,754,0.4,2.7,Holding,0,9,1,0,0.0,9.0,22.0,5.0,3.0,0.12,3.0,225.0,75.0,0.0,3.0,2.0,0.4,1.54,12.0,13.64,0.48,1.2,3.33,2.03,15.67,18.27,0.67,1.33,3,19,0,1.2,1.7,1.0,1.8,26.2,39.4,130.7,113.2,150.5,103.7,19.3,19.6,113.1,48.5,33.7,97.4,27.4,37.5,129.8,112.8,132.6,104.8,27.0,18.9,119.0,50.0,19.2,119.2
