web_name,opponent_18,predicted_points_18,opponent_19,predicted_points_19,opponent_20,predicted_points_20,opponent_21,predicted_points_21,opponent_22,predicted_points_22,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Salah,LEI,8.25,BRE,6.81,BHA,7.68,CHE,8.95,WOL,7.5,7.84,6.3,12.0,283,100.0,0.0,118748,0,0,-2,2,3,3,13.0,13.0,12,Mohamed,True,,0,128,118748.jpg,Salah,33.6,False,0,a,12,14,94,3234245,86278,5616337,6110,0.9,7.3,1327,7,5,4,17,0,0,0,0,0,0,10,214,401.0,408.1,768.0,157.9,15,7.9515,2.42539,10.37689,19.924,19,8,14,9,5,1,4,2,0.0,0.0,0.0,0.0,2.0,0.0,0.53929,0.0,0.1645,0.70378,1.35129,1.15,1,1,9,4,8,4,9,4,1.01733,0.27129,2,3,10,1,1.5,1.6,1.6,0.8,26.6,36.2,119.3,106.6,136.1,97.3,14.0,14.5,85.2,36.1,23.5,80.8,22.8,40.5,89.6,136.7,179.0,83.6,19.0,18.2,94.7,60.4,26.2,99.0,0,1,90.0,0.0,2.0,15.0,15.0,0.88,5.0,450.0,90.0,0.0,0.0,5.0,1.0,10.53,14.27,26.73,27.21,51.2,7.6,11.96,19.2,36.36,15.7,67.4
Haaland,EVE,7.54,CHE,6.06,MUN,10.5,WOL,8.1,TOT,5.1,7.46,9.7,13.0,318,100.0,100.0,223094,0,0,7,-7,6,4,14.0,14.0,13,Erling,True,,2022-10-25T22:30:07.174496Z,122,223094.jpg,Haaland,84.3,False,0,a,13,43,136,5337660,31144,1656866,2701,1.1,11.1,1126,20,3,5,14,0,0,0,2,0,0,22,568,755.2,187.7,1034.0,197.8,13,12.9596,2.14356,15.10316,9.8449,1,1,80,7,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.03585,0.0,0.17133,1.20718,0.78689,1.12,3,1,6,2,2,1,1,1,1.03908,0.39964,11,2,8,1,0.7,1.1,0.8,1.4,23.9,39.1,107.6,122.7,161.9,80.9,19.2,18.3,91.3,52.1,39.1,89.5,27.2,43.8,118.8,136.2,184.6,87.2,22.8,15.9,97.4,37.3,23.4,99.6,0,1,90.0,1.0,3.0,14.0,13.0,0.81,4.0,285.0,71.0,1.0,1.0,3.0,0.75,14.13,40.57,53.94,13.41,73.86,8.0,12.25,34.5,45.2,14.25,63.0
Mitrović,SOU,6.11,LEI,11.82,NEW,4.97,TOT,5.43,CHE,5.97,6.86,5.8,15.0,210,100.0,75.0,128389,1,-1,4,-4,2,4,15.0,11.2,15,Aleksandar,False,,2022-12-23T14:30:07.717235Z,69,128389.jpg,Mitrović,22.2,False,0,a,9,54,76,5559660,428893,4473637,12301,2.2,11.0,1103,10,2,4,17,0,0,1,4,0,0,11,267,426.8,173.2,858.0,145.3,13,8.5778,0.84885,9.42665,19.2924,14,4,90,10,4,4,6,4,0.0,0.0,3.0,0.0,1.0,0.0,0.69991,0.0,0.06926,0.76917,1.57418,1.39,40,19,1,1,14,5,16,5,1.06074,0.32638,7,2,17,1,0.8,1.8,0.8,2.4,26.1,38.1,128.2,105.4,148.3,93.7,21.4,17.9,111.7,39.8,27.5,98.6,31.0,38.4,148.9,100.2,134.6,113.2,23.4,19.5,128.4,49.7,16.0,108.2,0,1,84.0,4.0,1.0,13.0,12.0,0.92,3.0,264.0,88.0,2.0,0.0,3.0,1.0,11.18,20.54,32.83,13.32,66.0,7.33,14.2,23.67,29.4,23.33,91.33
Grealish,EVE,6.89,CHE,6.18,TOT,9.77,WOL,6.31,TOT,4.99,6.83,4.0,9.0,305,100.0,100.0,114283,0,0,-2,2,0,3,10.0,10.0,9,Jack,False,,2022-08-22T07:00:05.758441Z,68,114283.jpg,Grealish,1.1,False,0,a,13,43,36,132147,3394,405458,835,1.3,5.3,618,1,3,4,3,0,0,0,0,0,0,2,136,122.4,241.0,208.0,56.7,7,1.6063,1.73632,3.3426199999999997,3.4422,235,102,54,43,77,48,96,63,0.0,0.0,0.0,0.0,0.0,0.0,0.23393,0.0,0.25286,0.48679,0.50129,0.44,44,22,19,10,62,31,163,53,1.01942,0.58252,11,2,8,1,0.7,1.1,0.8,1.4,23.9,39.1,107.6,122.7,161.9,80.9,19.2,18.3,91.3,52.1,39.1,89.5,27.2,43.8,118.8,136.2,184.6,87.2,22.8,15.9,97.4,37.3,23.4,99.6,0,1,72.0,3.0,7.0,9.0,7.0,0.5,4.0,301.0,75.0,0.0,1.0,4.0,0.8,6.3,15.11,13.6,26.78,23.11,4.75,5.7,13.75,10.5,24.6,22.75
Sterling,NFO,4.88,MCI,9.79,CRY,6.71,LIV,6.48,FUL,5.12,6.6,3.9,6.0,304,100.0,0.0,103955,0,0,-3,3,1,3,7.0,6.5,6,Raheem,False,,0,97,103955.jpg,Sterling,4.3,False,0,a,6,8,51,1227793,4432,1525035,5217,0.6,5.3,1036,3,2,4,13,0,0,0,3,0,0,4,122,203.2,297.2,358.0,85.8,12,3.0996,2.02211,5.12171,14.7365,142,60,36,30,37,22,37,26,5.0,0.0,0.0,0.0,0.0,0.0,0.26927,0.0,0.17567,0.44494,1.2802,1.13,8,5,58,25,69,34,78,23,1.04247,0.34749,3,2,16,0,0.6,1.9,0.8,2.0,28.5,44.2,135.0,137.8,169.2,103.5,22.4,15.0,88.5,35.8,25.8,95.6,33.6,48.1,149.0,142.0,190.8,113.6,17.8,15.7,91.4,38.7,26.8,90.4,0,1,87.0,0.0,5.0,13.0,12.0,0.71,4.0,317.0,79.0,0.0,1.0,4.0,0.8,6.6,9.38,15.63,22.86,27.54,2.75,4.55,8.0,10.1,24.28,11.25
Willian,SOU,5.58,CHE,11.23,NEW,4.91,TOT,4.83,CHE,5.74,6.46,3.8,6.0,614,100.0,100.0,47431,0,0,0,0,0,3,6.0,6.0,6,Willian,False,,2022-10-01T18:30:07.093457Z,55,47431.jpg,Borges da Silva,0.2,False,0,a,9,54,34,49574,1465,38868,539,1.1,6.2,644,1,2,3,6,0,0,0,0,0,0,4,128,125.0,227.5,204.0,55.6,7,1.9133,0.6248100000000001,2.5381099999999996,10.3189,230,97,59,48,78,49,98,65,2.0,0.0,0.0,0.0,0.0,0.0,0.26739,0.0,0.08732,0.3547,1.44208,0.84,105,55,51,22,82,38,382,135,0.97826,0.41925,7,2,17,1,0.8,1.8,0.8,2.4,26.1,38.1,128.2,105.4,148.3,93.7,21.4,17.9,111.7,39.8,27.5,98.6,31.0,38.4,148.9,100.2,134.6,113.2,23.4,19.5,128.4,49.7,16.0,108.2,0,1,81.0,2.0,3.0,9.0,7.0,0.7,5.0,428.0,86.0,0.0,0.0,5.0,1.0,6.18,14.22,13.89,25.28,22.67,4.6,6.6,17.2,14.96,23.8,27.4
Kane,AVL,5.36,CRY,6.38,ARS,9.94,FUL,5.47,MCI,4.89,6.41,6.8,7.0,427,100.0,100.0,78830,0,0,1,-1,1,4,7.5,7.5,7,Harry,True,,2022-10-08T20:30:07.678681Z,116,78830.jpg,Kane,28.6,False,0,a,18,6,109,3693260,53326,3332156,28919,0.6,9.4,1426,13,3,5,22,0,0,1,4,0,0,22,414,586.8,346.9,962.0,189.6,16,9.836,1.31992,11.15592,18.529,2,2,24,1,2,2,2,2,0.0,0.0,1.0,0.0,1.0,0.0,0.62079,0.0,0.0833,0.70409,1.16943,1.39,4,2,32,5,5,2,12,3,1.00982,0.31557,4,2,2,1,1.0,1.5,2.0,1.8,23.4,31.7,99.2,88.3,130.2,77.9,18.6,14.5,90.6,31.2,23.1,89.3,25.4,36.0,107.8,102.8,149.8,86.0,15.6,15.9,91.9,43.8,23.2,86.0,0,1,90.0,0.0,1.0,16.0,16.0,0.94,5.0,450.0,90.0,0.0,0.0,5.0,1.0,11.85,25.88,36.67,21.68,60.12,7.0,10.18,24.6,32.0,17.92,51.8
Mount,NFO,4.45,MCI,9.52,CRY,6.24,LIV,5.94,FUL,5.4,6.31,4.2,10.0,142,100.0,0.0,184341,0,0,-5,5,2,3,11.0,10.5,10,Mason,False,,0,75,184341.jpg,Mount,7.4,False,0,a,6,8,63,1695011,58445,1858107,9765,1.3,8.4,1119,3,3,5,16,0,0,0,2,0,0,8,218,289.4,335.6,309.0,93.7,14,1.6235,1.55663,3.18013,17.865,64,26,27,21,43,26,30,21,3.0,0.0,3.0,0.0,2.0,0.0,0.13058,0.0,0.1252,0.25577,1.43686,1.29,28,14,13,7,51,26,44,13,1.12601,0.40214,3,2,16,0,0.6,1.9,0.8,2.0,28.5,44.2,135.0,137.8,169.2,103.5,22.4,15.0,88.5,35.8,25.8,95.6,33.6,48.1,149.0,142.0,190.8,113.6,17.8,15.7,91.4,38.7,26.8,90.4,0,1,90.0,0.0,4.0,15.0,13.0,0.76,5.0,419.0,84.0,0.0,0.0,5.0,1.0,6.25,14.53,19.29,22.37,20.6,3.6,4.82,12.2,16.44,18.36,13.4
Foden,EVE,6.91,CHE,4.14,TOT,9.12,WOL,5.67,TOT,4.55,6.08,5.1,1.0,314,100.0,0.0,209244,0,0,3,-3,2,3,2.0,2.0,1,Phil,False,,0,83,209244.jpg,Foden,18.3,False,0,a,13,43,77,3987416,17752,2839801,74324,0.1,9.3,922,7,4,2,11,0,0,0,1,0,0,6,291,406.2,377.2,442.0,122.7,11,3.7061,2.04623,5.752330000000001,8.1857,17,6,18,13,21,13,15,9,3.0,0.0,0.0,0.0,0.0,0.0,0.36177,0.0,0.19974,0.56151,0.79904,1.07,14,6,284,138,23,12,22,9,1.07375,0.19523,11,2,8,1,0.7,1.1,0.8,1.4,23.9,39.1,107.6,122.7,161.9,80.9,19.2,18.3,91.3,52.1,39.1,89.5,27.2,43.8,118.8,136.2,184.6,87.2,22.8,15.9,97.4,37.3,23.4,99.6,0,1,17.0,0.0,7.0,15.0,10.0,0.59,5.0,174.0,35.0,0.0,4.0,1.0,0.2,8.18,19.4,27.08,25.15,29.47,2.6,4.34,8.0,10.48,10.56,22.2
Martinelli,BHA,6.09,NEW,6.94,TOT,5.13,MUN,5.7,EVE,6.26,6.02,5.7,8.0,19,100.0,0.0,444145,0,0,8,-8,2,3,8.5,8.5,8,Gabriel,False,,0,68,444145.jpg,Martinelli Silva,47.7,False,0,a,1,3,85,5262445,49160,2683972,25985,1.2,12.5,1270,6,4,7,12,0,0,0,1,0,0,7,275,361.2,336.3,561.0,125.8,15,3.1008,2.78125,5.88205,12.7281,32,13,26,20,11,4,13,7,1.0,0.0,2.0,0.0,2.0,0.0,0.21974,0.0,0.1971,0.41684,0.90199,0.85,47,24,28,16,15,7,4,1,1.06299,0.49606,19,3,5,0,1.5,1.2,2.4,1.8,21.0,26.3,95.1,73.0,95.7,76.6,12.4,12.0,77.1,23.7,19.0,68.2,27.6,35.9,129.1,94.9,134.8,102.8,5.4,11.3,78.2,23.6,11.4,53.6,0,1,87.0,0.0,2.0,15.0,15.0,0.88,5.0,399.0,80.0,0.0,0.0,5.0,1.0,8.39,18.33,24.08,22.42,37.4,5.4,5.34,16.4,19.92,9.98,23.6
