id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
1,100.0,0.0,80201,0,0,-1,1,0,1,2.3,0.8,1,Bernd,1.3,False,0,0,49,80201.jpg,1.3,Leno,1.9,False,0.0,a,1,3,4,33208,25417,70727,22561,0.3,0.8,Leno,270,0,0,0,9,0,0,0,0,0,9,0,48,79.0,0.0,0.0,7.9,41,6,489,51,462,49,161,7,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,90.0,0.0,0.0,3.0,3.0,1.0,3.0,270.0,90.0,0.0,0.0,3.0,1.0,2.63,16.0,26.33,0.0,0.0,1.33,2.63,16.0,26.33,0.0,0.0,2,15,1,0.3,3.3,0.3,3.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3
2,0.0,100.0,115918,0,0,0,0,0,1,0.0,-0.5,0,Rúnar Alex,0.0,False,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,115918.jpg,0.0,Rúnarsson,1.3,False,0.0,u,1,3,0,19017,8732,28102,15928,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,354,34,343,17,288,14,364,34,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,1,0.3,3.3,0.3,3.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3
3,0.0,50.0,47431,0,0,-2,2,0,3,0.0,-0.2,0,Willian,0.0,False,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,47431.jpg,0.0,Borges Da Silva,0.1,False,0.0,u,1,3,0,914,50,16993,3043,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,584,238,584,239,581,238,585,239,0.0,0.0,0.0,0.0,0.0,0.0,12,0,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,1,0.3,3.3,0.3,3.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3
4,100.0,100.0,54694,0,0,-1,1,0,4,1.7,0.2,1,Pierre-Emerick,0.7,False,0,2021-08-13T14:30:14.477664Z,99,54694.jpg,1.0,Aubameyang,1.7,False,0.0,a,1,3,2,70410,57587,158463,28528,0.1,0.2,Aubameyang,87,0,0,0,4,0,0,0,0,0,0,0,5,5.0,2.7,19.0,2.6,286,31,253,35,144,31,271,34,0.0,0.0,0.0,0.0,1.0,0.0,12,0,1,58.0,1.0,1.0,2.0,1.0,0.5,2.0,87.0,44.0,1.0,1.0,1.0,0.5,1.3,2.5,2.5,1.35,9.5,1.0,1.3,2.5,2.5,1.35,9.5,2,15,1,0.3,3.3,0.3,3.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3
5,100.0,0.0,58822,0,0,-1,1,0,2,1.0,-0.5,-1,Cédric,0.0,False,0,0,44,58822.jpg,0.0,Soares,0.2,False,0.0,a,1,3,0,6227,4147,10670,4574,0.0,0.0,Cédric,180,0,0,0,7,0,0,0,1,0,0,0,16,21.4,21.8,0.0,4.3,202,84,143,35,324,121,227,80,0.0,0.0,5.0,0.0,0.0,0.0,12,1,0,90.0,0.0,1.0,2.0,2.0,0.67,2.0,180.0,90.0,0.0,1.0,2.0,0.67,2.15,8.0,10.7,10.9,0.0,0.0,2.15,8.0,10.7,10.9,0.0,2,15,1,0.3,3.3,0.3,3.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3
6,100.0,100.0,59966,0,0,-1,1,0,4,1.3,-0.2,1,Alexandre,0.3,False,0,2021-08-13T14:30:14.582063Z,84,59966.jpg,1.0,Lacazette,1.2,False,0.0,a,1,3,1,10961,9046,116841,11548,0.0,0.1,Lacazette,31,0,0,0,1,0,0,0,0,0,0,0,-1,1.0,0.3,0.0,0.1,327,42,312,46,592,81,345,47,0.0,0.0,3.0,0.0,2.0,0.0,12,0,1,31.0,2.0,1.0,1.0,0.0,0.0,1.0,31.0,31.0,2.0,1.0,0.0,0.0,0.1,-1.0,1.0,0.3,0.0,1.0,0.1,-1.0,1.0,0.3,0.0,2,15,1,0.3,3.3,0.3,3.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3
7,0.0,0.0,84450,-1,1,-1,1,0,3,0.0,0.2,-2,Granit,0.7,False,Suspended until 26 Sep,2021-08-28T14:30:16.120624Z,49,84450.jpg,0.7,Xhaka,0.6,False,0.0,s,1,3,2,14089,462,51659,24186,0.1,0.4,Xhaka,214,0,0,0,9,0,0,0,0,1,0,0,20,33.2,51.0,9.0,9.3,175,65,61,37,190,103,131,69,0.0,0.0,4.0,0.0,0.0,0.0,12,0,1,34.0,1.0,0.0,3.0,2.0,1.0,3.0,214.0,71.0,1.0,0.0,2.0,1.0,3.1,6.67,11.07,17.0,3.0,0.67,3.1,6.67,11.07,17.0,3.0,2,15,1,0.3,3.3,0.3,3.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3
8,100.0,0.0,92371,0,0,0,0,0,2,1.3,-0.2,0,Pablo,0.3,False,0,0,45,92371.jpg,0.5,Marí,0.2,False,0.0,a,1,3,1,3732,1321,6552,2340,0.1,0.2,Marí,180,0,0,0,4,0,0,0,1,0,0,0,35,55.4,12.3,11.0,7.9,95,33,195,60,178,45,158,52,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,0.0,0.0,1.0,2.0,2.0,0.67,2.0,180.0,90.0,0.0,1.0,2.0,0.67,3.95,17.5,27.7,6.15,5.5,0.5,3.95,17.5,27.7,6.15,5.5,2,15,1,0.3,3.3,0.3,3.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3
9,0.0,100.0,98745,0,0,-2,2,0,2,0.0,-0.5,0,Héctor,0.0,False,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,98745.jpg,0.0,Bellerín,0.5,False,0.0,u,1,3,0,3737,738,50951,12953,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,492,185,486,184,456,174,497,184,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,1,0.3,3.3,0.3,3.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3
10,100.0,0.0,101184,0,0,-1,1,0,2,1.3,-0.2,0,Calum,0.3,False,0,0,44,101184.jpg,0.5,Chambers,0.3,False,0.0,a,1,3,1,5531,2992,14194,4931,0.1,0.2,Chambers,170,0,0,0,7,0,0,0,0,0,0,0,27,45.4,17.2,12.0,7.5,134,55,161,44,168,40,166,55,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,90.0,0.0,1.0,2.0,2.0,0.67,2.0,170.0,85.0,0.0,1.0,2.0,0.67,3.75,13.5,22.7,8.6,6.0,0.5,3.75,13.5,22.7,8.6,6.0,2,15,1,0.3,3.3,0.3,3.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3,39.0,44.7,168.2,114.5,165.3,131.3,30.0,18.9,96.0,54.6,38.0,114.3
