id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
11,100.0,0.0,111457,0,0,0,0,0,2,1.7,2.7,0,Sead,0.0,False,0,0,45,111457.jpg,0.0,Kolasinac,0.1,False,0.0,a,1,3,0,215,215,1675,1675,0.0,0.0,Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,331,128,326,126,268,103,343,128,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
12,100.0,0.0,153256,0,0,0,0,0,3,1.0,2.0,0,Mohamed Naser,0.0,False,0,0,45,153256.jpg,0.0,El Sayed Elneny,0.7,False,0.0,a,1,3,0,3115,3115,6890,6890,0.0,0.0,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,341,130,337,137,279,111,353,136,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
13,100.0,0.0,154043,0,0,0,0,0,3,1.9,2.9,0,Ainsley,0.0,False,0,0,55,154043.jpg,0.0,Maitland-Niles,0.1,False,0.0,a,1,3,0,229,229,1326,1326,0.0,0.0,Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,500,202,504,205,493,201,506,204,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
14,100.0,0.0,156074,-1,1,-1,1,0,2,1.6,2.6,0,Rob,0.0,False,0,0,44,156074.jpg,0.0,Holding,1.7,False,0.0,a,1,3,0,796,796,29823,29823,0.0,0.0,Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,300,114,291,111,226,82,313,115,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
15,0.0,0.0,167199,0,0,0,0,0,3,0.0,0.0,0,Thomas,0.0,False,Ankle injury - Expected back 11 Sep,2021-08-04T10:30:07.806099Z,50,167199.jpg,0.0,Partey,0.1,False,0.0,i,1,3,0,149,149,1303,1303,0.0,0.0,Partey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,450,178,454,183,424,170,459,182,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
16,100.0,0.0,192895,0,0,0,0,0,2,2.2,3.2,1,Kieran,1.0,False,0,0,50,192895.jpg,1.0,Tierney,7.4,False,0.0,a,1,3,1,14372,14372,60765,60765,0.2,0.2,Tierney,90,0,0,0,2,0,0,0,0,0,0,0,17,26.8,87.0,41.0,15.5,57,14,1,1,23,5,4,1,2.0,0.0,0.0,0.0,0.0,0.0,3,1,0,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,15.5,17.0,26.8,87.0,41.0,1.0,15.5,17.0,26.8,87.0,41.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
17,100.0,0.0,195735,-1,1,-1,1,0,3,2.5,3.5,2,Nicolas,2.0,False,0,0,74,195735.jpg,2.0,Pépé,2.6,False,0.0,a,1,3,2,4332,4332,74530,74530,0.3,0.3,Pépé,90,0,0,0,2,0,0,0,0,0,0,0,9,7.6,43.9,51.0,10.3,182,74,10,6,17,8,21,12,1.0,0.0,1.0,0.0,3.0,0.0,3,0,1,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,10.3,9.0,7.6,43.9,51.0,2.0,10.3,9.0,7.6,43.9,51.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
18,100.0,0.0,198849,0,0,0,0,0,3,1.0,2.0,0,Lucas,0.0,False,0,0,45,198849.jpg,0.0,Torreira,0.5,False,0.0,a,1,3,0,3451,3451,5473,5473,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,359,136,358,143,306,120,371,142,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
20,0.0,0.0,205533,0,0,0,0,0,4,0.0,0.0,0,Edward,0.0,False,Ankle injury - Expected back 11 Sep,2021-08-08T18:00:05.173437Z,55,205533.jpg,0.0,Nketiah,0.1,False,0.0,i,1,3,0,340,340,2352,2352,0.0,0.0,Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,509,55,512,59,501,53,515,59,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
21,100.0,0.0,209289,0,0,0,0,0,3,1.9,2.9,2,Emile,2.0,False,0,0,55,209289.jpg,2.0,Smith Rowe,6.6,False,0.0,a,1,3,2,21833,21833,62267,62267,0.4,0.4,Smith Rowe,90,0,0,0,2,0,0,0,0,0,0,0,13,13.0,35.3,25.0,7.3,141,53,18,11,47,27,40,23,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,7.3,13.0,13.0,35.3,25.0,2.0,7.3,13.0,13.0,35.3,25.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
22,100.0,0.0,223340,-1,1,-1,1,0,3,2.2,3.2,1,Bukayo,1.0,False,0,0,64,223340.jpg,1.0,Saka,12.0,False,0.0,a,1,3,1,15450,15450,210114,210114,0.2,0.2,Saka,31,0,0,0,1,0,0,0,0,0,0,0,4,6.6,12.3,12.0,3.1,194,81,97,62,90,52,134,72,3.0,0.0,6.0,0.0,0.0,0.0,3,0,1,31.0,0.0,1.0,1.0,0.0,0.0,1.0,31.0,31.0,0.0,1.0,0.0,0.0,3.1,4.0,6.6,12.3,12.0,1.0,3.1,4.0,6.6,12.3,12.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
23,0.0,0.0,226597,0,0,0,0,0,2,0.0,0.0,0,Gabriel,0.0,False,Knee injury - Expected back 11 Sep,2021-08-04T10:30:07.822243Z,50,226597.jpg,0.0,Magalhães,0.1,False,0.0,i,1,3,0,111,111,1713,1713,0.0,0.0,Gabriel,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,463,179,467,179,444,174,473,179,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
24,0.0,0.0,233963,0,0,0,0,0,2,0.0,0.0,0,Konstantinos,0.0,False,Season long loan to Stuttgart,2021-07-02T08:43:27.623007Z,45,233963.jpg,0.0,Mavropanos,0.0,False,0.0,u,1,3,0,0,0,19,19,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,392,157,390,157,345,139,402,157,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
25,0.0,0.0,242166,0,0,0,0,0,3,0.0,0.0,0,Mattéo,0.0,False,Season long loan to Marseille,2021-07-08T07:32:22.717852Z,45,242166.jpg,0.0,Guendouzi,0.0,False,0.0,u,1,3,0,0,0,47,47,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,397,149,395,154,350,135,407,153,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
26,100.0,0.0,444145,0,0,0,0,0,3,1.9,2.9,2,Gabriel Teodoro,2.0,False,0,0,55,444145.jpg,2.0,Martinelli Silva,0.4,False,0.0,a,1,3,2,2374,2374,5443,5443,0.4,0.4,Martinelli,70,0,0,0,1,0,0,0,0,0,0,0,7,2.2,22.4,11.0,3.6,241,107,48,31,94,54,124,69,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,70.0,0.0,0.0,1.0,1.0,1.0,1.0,70.0,70.0,0.0,0.0,1.0,1.0,3.6,7.0,2.2,22.4,11.0,2.0,3.6,7.0,2.2,22.4,11.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
