web_name,opponent,element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5
Cédric,,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xhaka,,3,0,1,4.3,6.25,22.2,23.23,17.0,18.83,4.8,5.3,4.8,6.82,20.2,23.32,24.88,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elneny,,3,0,1,2.0,0.8,4.2,3.8,0.0,15.0,0.4,0.0,2.0,0.8,15.0,4.2,3.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holding,,2,1,0,1.0,0.1,1.1,0.0,0.0,4.0,0.4,0.9,1.0,0.1,4.0,1.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partey,,3,0,1,2.7,3.73,13.73,7.17,16.33,13.0,1.0,0.0,2.5,3.3,11.0,9.3,4.3,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ødegaard,,3,0,1,5.7,8.23,26.17,27.07,29.0,22.17,6.2,6.7,6.2,9.18,24.8,30.72,30.82,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tierney,,2,1,0,1.4,1.56,6.04,3.96,5.8,5.6,1.2,1.7,1.5,1.8,6.25,6.05,4.9,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pépé,,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,,2,1,0,3.8,2.15,12.97,7.22,1.33,18.17,3.6,4.1,3.6,1.72,16.8,9.28,6.26,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nketiah,,4,0,1,1.0,2.37,3.17,3.8,17.0,2.33,1.0,1.5,1.0,2.58,2.0,3.36,2.5,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith Rowe,,3,0,1,1.0,1.7,3.95,9.18,4.5,4.5,0.8,1.0,1.0,1.7,4.5,3.95,9.18,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saka,,3,0,1,4.7,8.25,19.07,28.0,35.5,16.33,4.4,4.9,4.4,9.0,17.6,22.52,32.08,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomiyasu,,2,1,0,0.8,0.64,3.36,2.46,0.8,3.6,0.8,1.3,0.8,0.64,3.6,3.36,2.46,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramsdale,,1,1,0,3.2,1.67,16.6,0.0,0.0,15.67,2.6,3.1,2.6,1.62,13.8,16.12,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel,,2,1,0,4.5,4.67,22.47,3.13,21.0,20.5,4.0,4.5,4.0,5.06,19.4,22.12,3.64,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tavares,,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambi,,3,0,1,1.5,0.92,4.55,4.72,0.0,9.0,1.0,1.5,1.67,1.23,11.0,6.07,6.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinelli,,3,0,1,6.0,11.12,27.3,32.68,51.17,21.0,5.6,6.1,5.6,11.5,20.6,25.12,36.18,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Marí,,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
