web_name,opponent_11,predicted_points_11,opponent_12,predicted_points_12,opponent_13,predicted_points_13,opponent_14,predicted_points_14,opponent_15,predicted_points_15,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Chamberlain,MCI,2.34,WHU,2.24,NFO,1.85,LEE,2.64,TOT,2.77,2.37,0.0,0.0,278,50.0,0.0,81880,0,0,-1,1,0,3,0.0,0.0,0,Alex,False,Lack of match fitness - 50% chance of playing,2022-10-11T23:00:06.633516Z,49,81880.jpg,Oxlade-Chamberlain,0.0,False,0,d,12,14,0,213,14,902,29,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,604,253,599,254,591,246,607,253,0.0,0.0,0.0,0.0,0.0,0.0,1,5,13,1,3.3,0.9,2.8,0.8,16.7,17.5,70.3,44.9,61.2,62.2,3.2,10.8,80.6,17.1,9.6,55.1,16.4,16.9,70.3,41.1,57.6,62.0,1.8,8.4,68.2,10.2,5.0,46.4,0,1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arthur,MCI,2.34,WHU,2.24,NFO,1.85,LEE,2.64,TOT,2.77,2.37,0.0,0.0,620,0.0,0.0,204043,0,0,-1,1,0,3,0.0,0.0,0,Arthur Henrique,False,Muscle injury - Unknown return date,2022-10-07T11:00:07.432007Z,49,204043.jpg,Ramos de Oliveira Melo,0.0,False,0,i,12,14,0,8143,21,6437,938,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,610,258,606,259,599,252,613,258,0.0,0.0,0.0,0.0,0.0,0.0,1,5,13,1,3.3,0.9,2.8,0.8,16.7,17.5,70.3,44.9,61.2,62.2,3.2,10.8,80.6,17.1,9.6,55.1,16.4,16.9,70.3,41.1,57.6,62.0,1.8,8.4,68.2,10.2,5.0,46.4,0,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomiyasu,LEE,3.11,0,0.0,SOU,2.96,NFO,2.8,CHE,2.92,2.36,0.9,1.0,14,100.0,100.0,223723,0,0,-3,3,0,2,1.5,0.5,1,Takehiro,False,,2022-08-04T15:00:05.298873Z,42,223723.jpg,Tomiyasu,0.7,False,0,a,1,3,7,34683,5506,141768,3345,0.2,1.7,162,0,0,0,3,0,0,0,1,0,0,0,40,39.4,18.6,4.0,6.1,283,108,266,85,321,113,320,111,0.0,0.0,0.0,0.0,0.0,0.0,12,2,11,0,1.1,1.2,0.6,1.4,21.1,30.3,106.4,88.0,108.7,79.1,10.8,12.0,72.9,24.9,21.7,57.6,19.4,25.9,94.7,64.4,99.8,72.8,8.4,7.8,49.2,16.6,11.6,42.2,1,0,90.0,1.0,8.0,8.0,1.0,0.11,4.0,105.0,26.0,0.0,4.0,1.0,0.2,0.76,5.0,4.92,2.33,0.5,1.0,0.85,6.25,6.8,1.78,0.0
Arter,WOL,2.21,BHA,2.61,LIV,2.59,ARS,2.23,BRE,2.14,2.36,0.0,0.0,378,100.0,0.0,48615,0,0,-2,2,0,3,-0.5,-0.5,0,Harry,False,,0,43,48615.jpg,Arter,0.3,False,0,a,16,17,0,23408,1749,27153,1741,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,501,188,485,191,433,163,503,187,0.0,0.0,0.0,0.0,0.0,0.0,2,2,20,0,0.3,1.2,0.2,1.6,23.9,34.9,109.3,105.6,134.9,83.7,24.4,14.4,85.5,34.2,23.8,102.7,27.4,37.4,128.1,116.3,130.6,101.2,22.2,13.8,73.4,34.8,29.8,94.4,0,1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hammond,WOL,2.21,BHA,2.61,LIV,2.59,ARS,2.23,BRE,2.14,2.36,0.0,0.0,553,100.0,0.0,475492,0,0,-1,1,0,3,-0.5,-0.5,0,Oliver,False,,0,44,475492.jpg,Hammond,0.0,False,0,a,16,17,0,2377,88,3771,142,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,537,205,529,208,505,194,542,206,0.0,0.0,0.0,0.0,0.0,0.0,2,2,20,0,0.3,1.2,0.2,1.6,23.9,34.9,109.3,105.6,134.9,83.7,24.4,14.4,85.5,34.2,23.8,102.7,27.4,37.4,128.1,116.3,130.6,101.2,22.2,13.8,73.4,34.8,29.8,94.4,0,1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cafú,WOL,2.22,BHA,2.55,LIV,2.46,ARS,2.34,BRE,2.23,2.36,1.0,0.0,383,100.0,0.0,166325,0,0,-2,2,0,3,-0.5,-0.5,0,Carlos,False,,0,43,166325.jpg,Ribeiro Dias,0.6,False,0,a,16,17,1,57275,5180,53429,4921,0.0,0.2,6,0,0,0,0,0,0,0,0,0,0,0,3,2.4,0.1,0.0,0.3,394,171,392,186,451,168,404,174,0.0,0.0,0.0,0.0,0.0,0.0,2,2,20,0,0.3,1.2,0.2,1.6,23.9,34.9,109.3,105.6,134.9,83.7,24.4,14.4,85.5,34.2,23.8,102.7,27.4,37.4,128.1,116.3,130.6,101.2,22.2,13.8,73.4,34.8,29.8,94.4,0,1,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.3,3.0,2.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor,WOL,2.38,BHA,2.78,LIV,2.3,ARS,2.29,BRE,2.0,2.35,0.0,0.0,380,100.0,0.0,57647,0,0,-2,2,1,4,-0.5,-0.5,0,Lyle,False,,0,43,57647.jpg,Taylor,5.5,False,0,a,16,17,0,351013,18204,886548,24165,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,503,51,487,52,435,54,505,54,0.0,0.0,0.0,0.0,0.0,0.0,2,2,20,0,0.3,1.2,0.2,1.6,23.9,34.9,109.3,105.6,134.9,83.7,24.4,14.4,85.5,34.2,23.8,102.7,27.4,37.4,128.1,116.3,130.6,101.2,22.2,13.8,73.4,34.8,29.8,94.4,0,1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forshaw,ARS,2.07,LEI,1.95,FUL,2.43,LIV,2.54,BOU,2.75,2.35,1.0,0.0,224,0.0,0.0,80179,-1,1,-1,1,0,3,0.0,0.0,0,Adam,False,Ankle injury - Expected back 05 Nov,2022-09-30T14:00:06.888569Z,44,80179.jpg,Forshaw,0.0,False,0,i,11,2,3,3743,16,6696,312,0.0,0.7,47,0,0,0,0,0,0,0,0,0,0,0,12,4.8,15.0,0.0,2.0,381,164,284,147,469,175,367,162,3.0,0.0,3.0,0.0,0.0,0.0,7,3,1,1,2.3,1.0,2.0,1.2,18.7,23.3,86.2,65.5,81.1,66.0,5.5,12.5,92.5,23.4,8.8,59.0,20.4,22.7,96.2,57.0,74.2,70.4,6.0,10.3,72.3,22.6,7.6,52.2,0,1,0.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.67,4.0,1.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilson-Esbrand,LIV,2.64,0,0.0,BHA,3.21,LEI,2.58,FUL,3.28,2.34,0.0,0.0,322,100.0,0.0,447880,-1,1,-2,2,0,2,0.0,1.0,0,Josh,False,,0,38,447880.jpg,Wilson-Esbrand,0.6,False,0,a,13,43,0,66279,4863,79078,6396,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,423,161,401,153,345,129,424,160,0.0,0.0,0.0,0.0,0.0,0.0,17,5,12,0,2.0,1.2,1.0,1.2,22.2,26.1,105.0,59.9,96.4,78.6,6.5,11.7,95.4,14.6,6.6,58.9,20.4,25.2,91.8,54.2,106.6,66.0,8.6,8.3,69.8,6.6,6.4,53.2,1,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mbete,LIV,2.64,0,0.0,BHA,3.21,LEI,2.58,FUL,3.28,2.34,0.0,0.0,320,0.0,0.0,439510,0,0,-1,1,0,2,0.0,0.0,0,Luke,False,Season-long loan to Huddersfield Town,2022-08-25T14:30:06.307078Z,39,439510.jpg,Mbete-Tabu,0.2,False,0,u,13,43,0,47144,0,50355,1920,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,443,173,421,165,366,142,444,172,0.0,0.0,0.0,0.0,0.0,0.0,17,5,12,0,2.0,1.2,1.0,1.2,22.2,26.1,105.0,59.9,96.4,78.6,6.5,11.7,95.4,14.6,6.6,58.9,20.4,25.2,91.8,54.2,106.6,66.0,8.6,8.3,69.8,6.6,6.4,53.2,1,0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
