web_name,opponent_36,predicted_points_36,opponent_37,predicted_points_37,opponent_38,predicted_points_38,opponent_39,predicted_points_39,opponent_40,predicted_points_40,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,X_points
Dier,AVL,4.75,BRE,2.59,LEE,3.12,0.0,0.0,0,0.0,2.09,2.9,0.4,430,100.0,0.0,93264,0,0,0,0,0,2,0.4,0.4,1,Eric,False,0,0,50,93264.jpg,Dier,5.3,False,0,a,18,6,96,1665047,1348,1570577,10652,0.1,19.2,2816,2,1,9,52,0,0,0,3,0,0,5,569,653.2,112.3,235.0,100.1,31,1.76,0.55,2.31,43.12,43,9,259,72,148,18,114,19,0.0,0.0,3.0,0.0,0.0,0.0,0.06,0.0,0.02,0.08,1.38,1.66,187,20,345,112,168,57,74,26,0.99,0.29,7,1,0,2.0,0.0,5.0,33.0,30.0,0.86,5.0,362.0,72.0,0.0,1.0,4.0,0.8,3.03,17.24,19.79,3.4,7.12,0.4,1.54,9.4,11.8,1.82,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davies,AVL,4.54,BRE,3.51,LEE,2.42,0.0,0.0,0,0.0,2.09,3.4,1.2,432,100.0,100.0,115556,0,0,-3,3,1,2,1.2,1.2,5,Ben,False,0,2023-03-18T19:00:08.934558Z,47,115556.jpg,Davies,1.0,False,0,a,18,6,95,373651,1558,377799,911,0.3,20.2,2021,2,3,9,28,0,0,0,4,0,0,3,434,385.6,255.6,170.0,81.2,23,1.01,1.28,2.29,23.3,159,58,131,26,190,32,162,39,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.06,0.1,1.04,1.25,306,51,250,80,109,28,182,63,1.02,0.4,7,1,0,90.0,5.0,8.0,27.0,22.0,0.73,3.0,193.0,64.0,1.0,2.0,2.0,0.5,3.01,16.07,14.28,9.47,6.3,2.0,1.43,9.33,7.53,5.67,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holding,BHA,3.29,NFO,3.52,WOL,3.64,0.0,0.0,0,0.0,2.09,1.5,1.8,5,100.0,0.0,156074,0,0,-3,3,0,2,2.3,1.8,0,Rob,False,0,0,42,156074.jpg,Holding,0.2,False,0,a,1,3,21,21841,444,25275,847,0.4,5.0,562,1,0,0,13,0,0,0,0,0,0,0,120,152.0,10.3,54.0,21.6,6,0.32,0.15,0.47,11.14,326,130,444,158,332,113,394,145,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.07,1.78,2.08,591,163,185,49,398,141,367,139,0.96,0.0,15,1,0,0.0,0.0,29.0,14.0,6.0,0.17,4.0,275.0,69.0,0.0,2.0,3.0,0.6,1.54,8.57,10.86,0.74,3.86,2.25,3.42,13.75,22.1,1.08,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jansson,WHU,4.16,TOT,2.54,MCI,3.77,0.0,0.0,0,0.0,2.09,2.4,0.0,78,0.0,0.0,61810,0,0,-3,3,0,2,0.0,0.0,0,Pontus,False,Hamstring injury - Expected back 01 Jul,2023-04-08T22:30:07.950041Z,42,61810.jpg,Jansson,0.3,False,0,i,4,94,29,43121,12,209399,178,0.0,6.9,722,1,0,2,14,0,0,0,0,0,0,0,147,176.2,2.5,53.0,23.4,9,0.34,0.11,0.45,13.51,307,123,464,168,339,115,382,140,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.05,1.68,1.75,581,156,513,203,243,91,318,115,1.12,0.25,12,1,0,0.0,21.0,7.0,12.0,7.0,0.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.95,12.25,14.68,0.21,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison,NEW,3.15,WHU,4.62,TOT,2.62,0.0,0.0,0,0.0,2.08,3.7,3.2,233,100.0,100.0,221399,0,0,-3,3,2,3,2.7,2.2,2,Jack,False,0,2022-12-22T16:00:08.108670Z,57,221399.jpg,Harrison,2.1,False,0,a,11,2,122,1141214,2442,1106581,12116,0.6,21.4,2496,4,8,6,50,1,0,0,2,0,0,14,369,546.6,769.5,448.0,176.2,31,5.2,4.71,9.91,45.21,80,35,19,16,65,42,36,25,4.0,0.0,5.0,0.0,0.0,0.0,0.19,0.0,0.17,0.36,1.63,1.8,85,46,95,42,79,34,128,44,1.12,0.22,13,0,1,64.0,1.0,7.0,33.0,27.0,0.79,5.0,399.0,80.0,0.0,0.0,5.0,1.0,5.34,11.18,16.56,23.32,13.58,3.2,4.46,13.0,14.8,25.88,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Moura,AVL,3.64,BRE,3.18,LEE,3.56,0.0,0.0,0,0.0,2.08,0.8,0.2,431,100.0,100.0,95715,0,0,-2,2,0,3,0.2,0.2,0,Lucas,False,0,2023-04-03T22:00:08.635129Z,58,95715.jpg,Rodrigues Moura da Silva,0.2,False,0,a,18,6,10,14199,72,43435,65,0.0,1.7,120,0,0,0,4,0,0,0,0,1,0,0,34,29.0,43.4,30.0,10.2,0,0.09,0.37,0.46,2.0,455,202,370,191,389,188,442,199,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.28,0.35,1.5,3.0,76,40,391,179,535,249,388,136,0.0,0.0,7,0,1,0.0,14.0,21.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.78,2.62,2.23,3.34,2.31,1.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gyabi,NEW,3.27,WHU,4.29,TOT,2.84,0.0,0.0,0,0.0,2.08,1.0,0.0,247,100.0,0.0,470294,0,0,-3,3,0,3,-0.5,-1.0,0,Darko,False,0,0,42,470294.jpg,Gyabi,0.1,False,0,a,11,2,1,23151,54,23056,324,0.0,0.2,7,0,0,0,0,0,0,0,0,0,0,0,7,4.4,0.5,20.0,2.5,0,0.06,0.0,0.06,0.27,504,228,489,236,415,201,485,218,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.77,3.47,0.0,616,320,529,191,475,206,441,160,0.0,0.0,13,0,1,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,7.0,4.4,0.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Praet,LIV,3.97,NEW,3.21,WHU,3.2,0.0,0.0,0,0.0,2.08,1.5,1.0,549,100.0,100.0,106837,0,0,-2,2,0,3,0.5,1.0,1,Dennis,False,0,2023-03-30T14:30:09.598766Z,48,106837.jpg,Praet,0.0,False,0,a,10,13,34,1939,4,3229,9,0.2,7.1,635,1,1,2,10,0,0,0,1,0,0,0,115,96.4,66.9,64.0,22.7,6,1.04,0.43,1.47,11.82,379,160,325,172,320,158,386,170,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.06,0.21,1.68,1.42,267,158,271,129,408,177,615,249,0.85,0.28,9,0,1,45.0,6.0,24.0,22.0,4.0,0.14,5.0,97.0,19.0,0.0,5.0,0.0,0.0,1.03,5.23,4.38,3.04,2.91,1.0,0.98,2.6,1.76,3.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fábio Vieira,BHA,3.95,NFO,3.01,WOL,3.43,0.0,0.0,0,0.0,2.08,1.9,0.4,25,100.0,100.0,438098,0,0,-4,4,1,3,0.9,0.4,0,Fábio,False,0,2022-08-04T15:00:05.309562Z,56,438098.jpg,Ferreira Vieira,0.1,False,0,a,1,3,38,20673,27,31822,68,0.1,6.8,465,1,2,2,5,0,0,0,0,0,0,2,128,110.6,168.5,121.0,39.6,3,0.86,1.38,2.24,4.99,365,150,192,122,236,130,311,140,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.27,0.44,0.97,0.97,98,51,351,168,348,144,408,146,0.58,0.39,15,0,1,0.0,2.0,29.0,19.0,4.0,0.12,2.0,61.0,30.0,0.0,4.0,1.0,0.2,2.08,6.74,5.82,8.87,6.37,1.0,2.25,3.5,1.5,17.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lanzini,BRE,2.48,LEE,2.58,LEI,5.3,0.0,0.0,0,0.0,2.07,1.0,0.0,460,100.0,100.0,86934,0,0,-5,5,0,3,0.0,0.0,0,Manuel,False,0,2023-01-08T00:00:08.784909Z,50,86934.jpg,Lanzini,0.1,False,0,a,19,21,7,14682,26,35733,44,0.0,1.4,143,0,0,0,3,0,0,0,0,0,0,0,20,7.0,7.6,16.0,2.9,1,0.06,0.08,0.14,1.91,489,218,450,217,426,209,482,217,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.05,0.09,1.2,1.89,186,107,719,306,514,235,423,151,0.63,0.0,14,0,1,0.0,1.0,33.0,7.0,1.0,0.03,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.41,2.86,1.0,1.09,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
