web_name,opponent_35,predicted_points_35,opponent_36,predicted_points_36,opponent_37,predicted_points_37,opponent_38,predicted_points_38,opponent_39,predicted_points_39,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
Mahrez,LEE,6.1,EVE,6.12,CHE,13.79,BRE,5.79,0,0.0,6.36,4.1,3.0,303,100.0,0.0,103025,0,0,-7,7,2,3,4.0,8.0,11,Riyad,False,0,0,73,103025.jpg,Mahrez,4.5,False,0.0,a,13,43,103,2184572,22235,2313675,9611,0.4,14.1,1480,5,9,4,20,0,0,0,2,0,0,9,391,439.2,633.7,466.0,153.7,17,5.13,4.39,9.52,12.28,129,56,29,23,62,40,52,36,1.0,0.0,2.0,0.0,2.0,0.0,0.31,0.0,0.27,0.58,0.75,1.22,30,14,96,45,53,22,82,25,1.03,0.24,19,0,1,172.0,0.0,20.0,25.0,14.0,0.41,5.0,335.0,67.0,0.0,2.0,3.0,0.6,6.15,15.64,17.57,25.35,18.64,3.0,5.16,12.6,14.44,26.72,10.4,2,9,0,1.3,1.4,1.0,1.2,26.8,38.7,123.6,117.1,146.4,97.5,18.2,16.8,99.8,38.0,30.7,94.2,25.7,30.7,104.2,107.0,95.8,86.8,22.2,17.6,105.0,43.2,27.2,100.8
Haaland,LEE,6.14,EVE,5.53,CHE,14.51,BRE,5.13,0,0.0,6.26,8.3,10.8,318,100.0,100.0,223094,0,0,9,-9,11,4,11.8,23.6,16,Erling,True,0,2023-03-21T11:00:07.837535Z,124,223094.jpg,Haaland,83.2,False,0.0,a,13,43,257,7702206,50698,4118886,4131,0.9,20.7,2494,35,8,12,24,0,0,0,5,0,0,39,1009,1342.4,342.5,1680.0,336.2,30,26.08,2.85,28.93,20.51,1,1,96,8,1,1,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.94,0.0,0.1,1.04,0.74,0.87,2,1,1,1,2,1,1,1,1.08,0.43,19,0,1,180.0,3.0,5.0,31.0,26.0,0.84,5.0,383.0,77.0,0.0,2.0,3.0,0.6,10.85,32.55,43.3,11.05,54.19,10.8,13.02,41.2,57.68,18.34,54.0,2,19,1,1.1,1.5,1.8,1.8,24.9,34.9,115.9,114.0,119.0,99.1,20.5,18.1,110.0,40.0,31.1,99.8,30.5,49.0,160.0,175.4,155.0,130.8,17.7,23.0,131.1,53.1,46.0,106.5
Foden,LEE,6.52,EVE,6.08,BHA,13.09,BRE,5.61,0,0.0,6.26,4.4,2.2,314,100.0,100.0,209244,0,0,0,0,3,3,3.2,6.4,7,Phil,False,0,2023-03-26T21:00:08.998209Z,80,209244.jpg,Foden,8.1,False,0.0,a,13,43,120,4507956,13881,4479741,7040,0.3,15.0,1422,10,6,3,13,0,0,0,1,0,0,12,424,610.2,569.3,637.0,181.6,17,4.9,3.46,8.36,12.49,52,22,37,29,34,20,32,22,3.0,0.0,4.0,0.0,0.0,0.0,0.31,0.0,0.22,0.53,0.79,0.82,18,8,154,73,32,17,45,13,1.08,0.19,19,0,1,20.0,5.0,13.0,25.0,16.0,0.55,2.0,23.0,12.0,1.0,4.0,0.0,0.0,7.26,16.96,24.41,22.77,25.48,5.5,4.9,15.5,29.0,6.95,13.0,2,19,1,1.1,1.5,1.8,1.8,24.9,34.9,115.9,114.0,119.0,99.1,20.5,18.1,110.0,40.0,31.1,99.8,30.5,49.0,160.0,175.4,155.0,130.8,17.7,23.0,131.1,53.1,46.0,106.5
Grealish,LEE,7.16,EVE,5.73,CHE,13.28,BRE,5.01,0,0.0,6.24,4.4,5.4,305,100.0,100.0,114283,0,0,3,-3,2,3,6.4,12.8,7,Jack,False,0,2022-08-22T07:00:05.758441Z,73,114283.jpg,Grealish,16.1,False,0.0,a,13,43,120,2540633,66891,1125382,57138,0.7,16.4,2039,5,10,10,16,0,0,0,4,0,0,9,490,514.8,720.5,683.0,191.5,23,4.5,6.74,11.24,14.46,90,37,22,19,31,17,24,16,4.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.5,0.64,0.71,31,15,21,12,31,16,21,8,1.02,0.44,19,0,1,180.0,3.0,10.0,27.0,21.0,0.68,5.0,429.0,86.0,0.0,1.0,4.0,0.8,7.09,18.15,19.07,26.69,25.3,5.4,9.06,22.4,25.72,33.32,31.6,2,9,0,1.3,1.4,1.0,1.2,26.8,38.7,123.6,117.1,146.4,97.5,18.2,16.8,99.8,38.0,30.7,94.2,25.7,30.7,104.2,107.0,95.8,86.8,22.2,17.6,105.0,43.2,27.2,100.8
March,EVE,5.41,NEW,9.7,MCI,10.09,AVL,4.93,0,0.0,6.03,4.6,3.8,107,100.0,100.0,109345,0,0,3,-3,4,3,3.8,7.6,2,Solly,False,0,2023-02-27T17:00:08.310286Z,53,109345.jpg,March,14.5,False,0.0,a,5,36,146,2965740,53876,1376475,50656,0.7,27.5,2687,6,10,10,39,0,0,0,2,0,0,16,551,776.4,937.3,925.0,264.0,31,6.85,5.77,12.62,36.58,19,8,10,8,15,6,9,7,2.0,0.0,2.0,0.0,0.0,0.0,0.23,0.0,0.19,0.42,1.23,1.31,139,73,62,30,24,10,28,9,1.04,0.33,14,0,1,82.0,1.0,4.0,31.0,29.0,0.88,4.0,352.0,88.0,0.0,1.0,4.0,0.8,8.52,17.77,25.05,30.24,29.84,4.75,9.8,24.0,25.9,54.57,17.5,2,20,1,0.8,1.5,1.2,1.6,25.0,35.9,115.1,113.8,130.5,88.4,21.4,17.0,100.0,38.8,30.9,96.9,12.6,23.2,61.1,89.3,81.8,46.4,8.8,14.7,91.7,33.6,22.0,61.4
Martinelli,NEW,7.81,BHA,7.02,NFO,7.54,WOL,6.36,0,0.0,5.75,5.6,5.8,19,100.0,0.0,444145,-1,1,7,-7,4,3,5.8,6.3,1,Gabriel,True,0,0,67,444145.jpg,Martinelli Silva,39.7,False,0.0,a,1,3,191,7780475,27017,6002276,107268,0.9,28.5,2691,15,8,13,33,0,0,0,3,0,0,18,621,830.2,815.5,1261.0,290.6,32,8.8,6.9,15.7,34.88,15,7,16,13,5,3,6,4,4.0,0.0,3.0,0.0,3.0,0.0,0.29,0.0,0.23,0.52,1.17,1.1,47,24,14,8,11,5,4,2,1.07,0.43,6,0,1,31.0,0.0,4.0,34.0,30.0,0.88,5.0,348.0,70.0,0.0,1.0,4.0,0.8,8.55,18.26,24.42,23.99,37.09,5.8,8.82,20.0,30.52,34.72,22.8,3,6,1,0.9,1.2,0.5,2.0,22.6,31.4,106.8,97.0,110.7,78.4,19.8,15.5,100.2,29.4,25.0,90.8,31.0,41.9,146.2,130.8,141.5,105.8,25.2,13.0,86.6,21.0,22.2,98.8
Mitoma,EVE,5.72,ARS,9.77,SOU,8.33,AVL,4.73,0,0.0,5.71,4.4,2.0,124,100.0,100.0,451340,0,0,6,-6,4,3,2.0,4.0,4,Kaoru,False,0,2022-10-15T09:30:07.136345Z,56,451340.jpg,Mitoma,27.8,False,0.0,a,5,36,120,4492498,47476,1410920,70211,0.4,21.4,1838,7,7,7,24,0,0,0,0,0,0,11,409,517.2,440.1,705.0,166.0,19,5.56,4.35,9.91,26.29,88,36,62,51,30,16,40,27,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.21,0.48,1.29,1.18,101,52,165,78,29,14,10,5,0.93,0.34,14,0,1,124.0,3.0,14.0,27.0,17.0,0.55,5.0,394.0,79.0,0.0,1.0,4.0,0.8,6.15,15.15,19.16,16.3,26.11,2.0,6.1,1.8,8.48,18.12,35.0,2,20,1,0.8,1.5,1.2,1.6,25.0,35.9,115.1,113.8,130.5,88.4,21.4,17.0,100.0,38.8,30.9,96.9,12.6,23.2,61.1,89.3,81.8,46.4,8.8,14.7,91.7,33.6,22.0,61.4
Antony,WHU,5.12,WOL,5.22,BOU,10.71,FUL,7.09,0,0.0,5.63,3.3,3.8,609,100.0,100.0,467169,0,0,-2,2,1,3,3.8,7.6,3,Antony Matheus,False,0,2023-02-07T15:00:07.718574Z,73,467169.jpg,dos Santos,3.0,False,0.0,a,14,1,70,1635467,1519,1430777,8336,0.5,9.6,1527,4,1,10,20,0,0,0,5,0,0,4,209,279.6,324.2,550.0,115.0,19,5.46,1.94,7.4,21.99,220,94,101,75,45,27,90,63,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.11,0.43,1.3,1.18,32,16,64,32,127,53,110,36,1.12,0.59,2,0,1,89.0,3.0,8.0,20.0,18.0,0.69,4.0,308.0,77.0,0.0,1.0,4.0,0.8,5.75,10.45,13.98,16.21,27.5,5.0,8.68,15.0,20.65,28.0,38.0,2,2,1,1.4,1.2,1.4,0.4,24.0,33.8,110.7,104.7,124.0,81.6,15.1,15.5,102.5,30.1,21.9,83.5,22.0,38.1,109.8,134.4,138.4,60.6,15.2,18.4,123.8,40.4,20.0,87.8
Jesus,NEW,6.99,BHA,5.77,NFO,8.05,WOL,6.88,0,0.0,5.54,4.9,5.0,28,100.0,100.0,205651,0,0,1,-1,1,4,5.0,5.5,7,Gabriel,False,0,2022-12-04T08:30:06.137006Z,81,205651.jpg,Fernando de Jesus,27.9,False,0.0,a,1,3,108,3582837,23563,8216018,27702,0.6,13.3,1722,10,6,7,21,0,0,0,5,0,0,14,348,572.2,359.3,1149.0,208.0,20,13.57,2.36,15.93,19.81,68,6,85,7,8,5,18,5,0.0,0.0,0.0,0.0,2.0,0.0,0.71,0.0,0.12,0.83,1.04,1.1,15,9,31,9,20,7,9,4,1.05,0.37,6,0,1,90.0,10.0,4.0,22.0,20.0,0.83,5.0,405.0,81.0,0.0,0.0,5.0,1.0,9.45,15.82,26.01,16.33,52.23,5.0,7.26,16.2,23.44,12.2,36.8,3,6,1,0.9,1.2,0.5,2.0,22.6,31.4,106.8,97.0,110.7,78.4,19.8,15.5,100.2,29.4,25.0,90.8,31.0,41.9,146.2,130.8,141.5,105.8,25.2,13.0,86.6,21.0,22.2,98.8
Gündogan,LEE,5.4,EVE,5.25,CHE,11.45,BRE,5.53,0,0.0,5.53,3.5,1.4,300,100.0,0.0,59859,0,0,-2,2,0,3,2.4,4.8,2,Ilkay,False,0,0,73,59859.jpg,Gündogan,2.2,False,0.0,a,13,43,98,834110,2858,840980,5359,0.2,13.4,2094,4,5,9,18,0,0,0,0,0,0,3,402,419.4,567.0,530.0,151.4,24,6.52,3.56,10.08,15.77,135,59,38,30,48,28,54,37,6.0,0.0,3.0,0.0,0.0,0.0,0.28,0.0,0.15,0.43,0.68,0.77,29,13,232,116,106,46,127,43,1.03,0.39,19,0,1,90.0,0.0,11.0,28.0,23.0,0.68,3.0,251.0,84.0,0.0,2.0,3.0,0.6,5.41,14.36,14.98,20.25,18.93,2.33,4.0,13.67,9.8,13.5,16.67,2,9,0,1.3,1.4,1.0,1.2,26.8,38.7,123.6,117.1,146.4,97.5,18.2,16.8,99.8,38.0,30.7,94.2,25.7,30.7,104.2,107.0,95.8,86.8,22.2,17.6,105.0,43.2,27.2,100.8
