web_name,opponent_15,predicted_points_15,opponent_16,predicted_points_16,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Reguilón,LIV,3.42,LEE,2.78,3.1,0.0,0.0,438,0.0,0.0,199249,0,0,-3,3,0,2,0.0,0.0,0,Sergio,False,Season-long loan to Atletico Madrid,2022-08-31T07:21:07.922198Z,42,199249.jpg,Reguilón,0.4,False,0.0,u,18,6,0,17585,0,202489,628,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,524,212,511,208,469,193,528,211,0.0,0.0,0.0,0.0,0.0,0.0,551,169,479,191,534,210,285,100,3,4,12,1,1.6,1.1,1.0,1.2,21.3,29.2,107.7,72.9,111.9,77.6,9.9,13.0,102.2,18.0,9.4,69.1,23.6,40.0,130.2,98.7,170.8,87.6,16.0,15.0,111.5,23.1,14.4,90.0,1,0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodák,MCI,2.86,MUN,3.35,3.1,3.5,0.0,213,100.0,0.0,155529,0,0,-1,1,0,1,-1.0,0.0,0,Marek,False,0,0,44,155529.jpg,Rodák,0.2,False,0.0,a,9,54,7,13045,307,19476,383,0.0,1.6,180,0,0,1,2,0,0,0,0,0,2,0,33,19.0,0.0,0.0,1.9,353,24,537,57,513,48,390,24,0.0,0.0,0.0,0.0,0.0,0.0,435,25,515,67,96,18,354,46,8,5,13,0,2.6,0.8,1.6,0.4,16.1,18.7,69.5,53.4,65.2,59.5,6.3,10.4,77.8,15.4,10.3,58.2,14.6,18.9,61.0,66.8,61.8,52.4,11.4,10.2,79.8,9.8,13.0,66.4,1,0,0.0,0.0,12.0,2.0,2.0,0.14,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.95,16.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stacey,LEE,2.76,EVE,3.44,3.1,0.6,0.4,65,100.0,0.0,154131,0,0,-2,2,0,2,-0.1,-0.6,0,Jack,False,0,0,43,154131.jpg,Stacey,0.0,False,0.0,a,3,91,3,1720,49,4526,167,0.1,0.7,113,0,0,0,4,0,0,0,1,0,0,0,20,18.2,5.6,0.0,2.4,357,134,352,130,486,203,382,138,0.0,0.0,0.0,0.0,0.0,0.0,501,141,327,113,448,162,512,187,18,2,11,0,1.1,1.4,1.0,1.8,23.9,33.1,114.7,94.1,122.7,86.9,14.4,13.4,83.1,29.3,21.6,70.4,32.0,41.0,143.7,114.2,152.6,109.4,20.4,15.7,101.2,32.6,22.4,91.4,1,0,0.0,0.0,13.0,5.0,1.0,0.07,2.0,19.0,10.0,0.0,5.0,0.0,0.0,0.48,4.0,3.64,1.12,0.0,1.0,0.4,3.0,3.3,0.5,0.0
Crama,NFO,3.86,MCI,2.35,3.1,0.0,0.0,646,100.0,0.0,592661,0,0,0,0,0,2,0.5,0.0,0,Tristan,False,0,0,40,592661.jpg,Crama,0.0,False,0.0,a,4,94,0,308,129,97,72,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,519,208,505,204,457,185,524,208,0.0,0.0,0.0,0.0,0.0,0.0,618,210,470,185,530,207,621,229,20,2,16,0,0.6,2.0,0.4,1.4,28.3,45.8,137.2,144.7,176.0,104.9,23.9,15.3,86.9,38.7,27.3,98.3,28.0,49.1,119.8,166.8,205.0,94.8,25.8,15.1,81.8,39.9,28.6,102.6,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernández,SOU,3.15,CHE,3.04,3.1,0.0,0.0,351,0.0,0.0,57145,0,0,-1,1,0,2,0.0,0.0,0,Federico,False,Transferred to Elche,2022-09-02T11:04:42.629119Z,44,57145.jpg,Fernández,0.0,False,0.0,u,15,4,0,638,0,5559,43,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,539,216,532,216,507,211,544,216,0.0,0.0,0.0,0.0,0.0,0.0,424,103,508,207,550,216,565,207,2,2,17,0,0.8,1.4,0.6,1.4,23.8,37.8,117.5,109.7,151.2,84.2,21.4,17.3,107.5,34.8,30.0,98.3,25.4,44.8,122.8,139.8,186.2,89.6,24.8,19.7,117.2,53.3,25.6,112.0,1,0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodon,LIV,3.42,LEE,2.78,3.1,0.0,0.0,442,0.0,0.0,214225,0,0,0,0,0,2,0.0,0.0,0,Joe,False,Joined Rennes on loan - Expected back 01 Jul,2022-08-02T11:00:06.051540Z,40,214225.jpg,Rodon,0.0,False,0.0,u,18,6,0,0,0,7047,79,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,489,189,473,183,424,163,492,187,0.0,0.0,0.0,0.0,0.0,0.0,583,186,437,163,500,188,520,191,3,4,12,1,1.6,1.1,1.0,1.2,21.3,29.2,107.7,72.9,111.9,77.6,9.9,13.0,102.2,18.0,9.4,69.1,23.6,40.0,130.2,98.7,170.8,87.6,16.0,15.0,111.5,23.1,14.4,90.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,SOU,3.15,CHE,3.04,3.1,0.0,0.0,352,0.0,0.0,58845,0,0,0,0,0,2,0.0,0.0,0,Ciaran,False,Joined Sheffield United on loan - Expected back 01 Jul,2022-07-13T23:30:04.924214Z,45,58845.jpg,Clark,0.0,False,0.0,u,15,4,0,0,0,236,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,563,223,557,223,538,220,568,223,0.0,0.0,0.0,0.0,0.0,0.0,322,61,542,219,573,223,640,233,2,2,17,0,0.8,1.4,0.6,1.4,23.8,37.8,117.5,109.7,151.2,84.2,21.4,17.3,107.5,34.8,30.0,98.3,25.4,44.8,122.8,139.8,186.2,89.6,24.8,19.7,117.2,53.3,25.6,112.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goode,NFO,3.86,MCI,2.35,3.1,0.0,0.0,96,100.0,0.0,213687,0,0,-1,1,0,2,0.5,0.0,0,Charlie,False,0,0,39,213687.jpg,Goode,0.6,False,0.0,a,4,94,0,46891,925,54299,1962,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,459,175,441,169,391,148,462,173,0.0,0.0,0.0,0.0,0.0,0.0,637,221,405,148,469,173,228,86,20,2,16,0,0.6,2.0,0.4,1.4,28.3,45.8,137.2,144.7,176.0,104.9,23.9,15.3,86.9,38.7,27.3,98.3,28.0,49.1,119.8,166.8,205.0,94.8,25.8,15.1,81.8,39.9,28.6,102.6,1,0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manquillo,SOU,3.15,CHE,3.04,3.1,0.0,0.0,363,100.0,100.0,109528,0,0,-3,3,0,2,0.0,0.0,0,Javier,False,0,2022-10-21T12:30:07.911046Z,42,109528.jpg,Manquillo Gaitán,0.1,False,0.0,a,15,4,0,1910,175,6082,207,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,523,211,510,207,466,191,527,210,0.0,0.0,0.0,0.0,0.0,0.0,546,165,477,190,533,209,490,178,2,2,17,0,0.8,1.4,0.6,1.4,23.8,37.8,117.5,109.7,151.2,84.2,21.4,17.3,107.5,34.8,30.0,98.3,25.4,44.8,122.8,139.8,186.2,89.6,24.8,19.7,117.2,53.3,25.6,112.0,1,0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kovacic,ARS,3.26,NEW,2.92,3.09,1.9,2.4,132,75.0,100.0,91651,0,0,-1,1,0,3,1.8,2.9,1,Mateo,False,Calf injury - 75% chance of playing,2022-11-02T23:00:07.596478Z,49,91651.jpg,Kovacic,0.3,False,0.0,d,6,8,17,37714,1109,87597,2573,0.5,3.5,528,0,1,2,7,0,0,0,2,0,0,0,85,90.2,134.8,41.0,26.7,252,110,102,75,242,131,210,110,0.0,0.0,0.0,0.0,0.0,0.0,221,130,159,61,275,112,289,102,5,3,1,1,2.1,0.8,2.0,0.6,16.9,22.3,77.8,63.9,81.6,60.4,5.6,12.2,88.4,21.0,11.9,55.5,15.4,21.9,72.1,60.9,86.2,55.8,5.8,11.6,81.4,16.4,18.2,52.0,0,1,90.0,2.0,6.0,9.0,6.0,0.5,5.0,307.0,61.0,0.0,1.0,4.0,0.8,2.97,9.44,10.02,14.98,4.56,2.4,3.84,10.2,12.8,19.9,5.6
