web_name,opponent_15,predicted_points_15,opponent_16,predicted_points_16,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Trossard,WOL,6.88,AVL,7.99,7.44,6.1,4.2,111,100.0,0.0,116216,1,-1,4,-4,2,3,4.2,3.7,7,Leandro,True,0,0,69,116216.jpg,Trossard,23.4,False,0.0,a,5,36,73,3303906,553188,1115943,13830,0.6,10.6,1004,7,2,4,15,0,0,0,1,0,0,5,225,345.4,277.2,586.0,120.9,16,4,30,23,6,2,7,3,0.0,0.0,2.0,0.0,4.0,0.0,39,19,59,19,7,4,16,7,6,2,20,0,0.4,1.4,0.6,2.0,24.9,34.5,116.5,101.1,128.4,86.6,23.0,14.2,87.8,30.6,22.8,95.5,30.8,38.2,148.9,109.0,124.6,110.0,22.2,16.2,97.3,33.8,30.4,90.6,0,1,86.0,0.0,2.0,12.0,12.0,0.86,5.0,424.0,85.0,0.0,0.0,5.0,1.0,10.08,18.75,28.78,23.1,48.83,4.2,10.28,13.4,22.4,21.14,59.2
Kane,LIV,6.54,LEE,7.81,7.18,6.4,5.4,427,100.0,100.0,78830,1,-1,1,-1,1,4,4.9,6.4,1,Harry,True,0,2022-10-08T20:30:07.678681Z,116,78830.jpg,Kane,25.3,False,0.0,a,18,6,83,2562516,150936,2560822,127528,0.5,7.2,1156,10,2,5,15,0,0,1,4,0,0,17,320,475.2,306.7,832.0,161.4,2,2,18,1,2,2,2,2,0.0,0.0,1.0,0.0,1.0,0.0,5,2,23,2,5,2,13,4,3,4,12,1,1.6,1.1,1.0,1.2,21.3,29.2,107.7,72.9,111.9,77.6,9.9,13.0,102.2,18.0,9.4,69.1,23.6,40.0,130.2,98.7,170.8,87.6,16.0,15.0,111.5,23.1,14.4,90.0,0,1,90.0,0.0,1.0,13.0,13.0,0.93,5.0,449.0,90.0,0.0,0.0,5.0,1.0,12.42,24.62,36.55,23.59,64.0,5.4,12.36,18.8,28.76,22.4,72.4
Salah,TOT,5.87,SOU,7.94,6.9,5.4,4.4,283,100.0,0.0,118748,0,0,-2,2,1,3,4.9,5.4,7,Mohamed,False,0,0,128,118748.jpg,Salah,30.6,False,0.0,a,12,14,65,2190289,42973,4903872,149748,0.3,5.1,1057,4,4,4,14,0,0,0,0,0,0,5,142,265.8,355.4,595.0,121.8,50,20,11,8,5,1,6,2,0.0,0.0,0.0,0.0,2.0,0.0,1,1,50,16,20,9,8,3,11,4,18,0,1.9,1.1,1.4,1.2,20.4,34.9,99.4,124.7,125.0,84.3,10.6,18.1,110.8,43.0,27.5,78.3,24.0,38.1,116.7,128.9,134.8,95.2,13.8,17.9,109.7,40.1,29.2,85.6,0,1,90.0,0.0,2.0,12.0,12.0,0.86,5.0,427.0,85.0,0.0,0.0,5.0,1.0,10.15,11.83,22.15,29.62,49.58,4.4,8.14,9.2,16.84,11.56,52.8
Haaland,FUL,5.79,BRE,6.95,6.37,10.6,5.2,318,75.0,75.0,223094,-1,1,6,-6,5,4,4.7,4.7,0,Erling,True,Knock - 75% chance of playing,2022-10-25T22:30:07.174496Z,121,223094.jpg,Haaland,80.2,False,0.0,d,13,43,117,4683540,91911,1453438,176919,0.4,9.7,920,17,3,5,11,0,0,0,0,0,0,18,485,640.8,142.4,840.0,162.4,1,1,91,11,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,3,1,25,3,2,1,1,1,10,2,9,1,1.6,1.6,1.8,1.4,25.4,39.2,124.5,103.3,164.3,91.7,14.1,15.4,84.7,34.6,34.8,76.0,26.4,38.5,130.9,99.7,154.4,97.8,12.8,16.0,91.4,37.0,32.0,75.0,0,1,0.0,1.0,2.0,11.0,11.0,0.85,3.0,259.0,86.0,1.0,1.0,3.0,0.75,14.76,44.09,58.25,12.95,76.36,7.0,13.93,25.33,39.4,15.53,84.33
Trippier,SOU,5.96,CHE,6.49,6.22,5.9,7.0,357,100.0,100.0,77794,1,-1,9,-9,1,2,7.0,7.0,11,Kieran,True,0,2022-08-30T14:30:06.751009Z,59,77794.jpg,Trippier,62.7,False,0.0,a,15,4,77,5481446,175980,1112272,6359,1.2,13.1,1155,1,3,7,9,0,0,0,2,0,0,12,352,337.6,568.6,63.0,97.0,18,2,2,1,192,35,16,1,1.0,0.0,1.0,0.0,0.0,0.0,69,6,4,1,10,1,2,1,2,2,17,0,0.8,1.4,0.6,1.4,23.8,37.8,117.5,109.7,151.2,84.2,21.4,17.3,107.5,34.8,30.0,98.3,25.4,44.8,122.8,139.8,186.2,89.6,24.8,19.7,117.2,53.3,25.6,112.0,1,0,90.0,0.0,1.0,13.0,13.0,0.93,5.0,443.0,89.0,0.0,0.0,5.0,1.0,7.46,27.08,25.97,43.74,4.85,7.0,8.82,31.8,30.16,53.58,4.4
Jesus,CHE,5.43,WOL,6.94,6.18,5.4,4.5,28,100.0,0.0,205651,0,0,0,0,1,4,4.5,5.5,9,Gabriel,False,0,0,80,205651.jpg,Fernando de Jesus,59.0,False,0.0,a,1,3,65,2471691,153545,3842729,122843,0.6,8.1,1040,5,6,5,11,0,0,0,4,0,0,7,208,355.4,248.0,779.0,138.3,13,6,34,2,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,18,10,42,6,19,8,3,2,16,4,6,0,1.2,1.1,1.4,1.0,19.1,28.0,93.5,78.7,108.3,67.9,12.1,13.6,83.2,31.9,20.9,66.8,19.2,34.7,88.9,104.9,154.4,63.8,16.2,15.6,96.0,46.8,13.2,84.4,0,1,90.0,0.0,2.0,12.0,12.0,0.86,4.0,351.0,88.0,0.0,1.0,4.0,0.8,11.52,17.33,29.62,20.67,64.92,4.5,9.4,9.5,19.25,19.0,55.75
Martinelli,CHE,5.84,WOL,6.2,6.02,5.7,6.2,19,100.0,0.0,444145,0,0,8,-8,2,3,6.2,7.2,8,Gabriel,True,0,0,68,444145.jpg,Martinelli Silva,49.4,False,0.0,a,1,3,68,4601774,124135,1870476,57244,0.9,10.0,1003,5,3,5,11,0,0,0,1,0,0,6,226,309.4,306.1,502.0,111.7,25,10,19,15,9,4,9,4,1.0,0.0,2.0,0.0,2.0,0.0,45,23,10,5,13,5,5,1,16,4,6,0,1.2,1.1,1.4,1.0,19.1,28.0,93.5,78.7,108.3,67.9,12.1,13.6,83.2,31.9,20.9,66.8,19.2,34.7,88.9,104.9,154.4,63.8,16.2,15.6,96.0,46.8,13.2,84.4,0,1,62.0,0.0,2.0,12.0,12.0,0.86,4.0,312.0,78.0,0.0,1.0,4.0,0.8,9.31,18.83,25.78,25.51,41.83,6.25,7.2,18.0,26.7,14.55,31.0
De Bruyne,FUL,6.15,BRE,5.88,6.02,6.8,7.0,301,100.0,0.0,61366,1,-1,5,-5,2,3,8.0,8.0,11,Kevin,True,0,0,125,61366.jpg,De Bruyne,35.1,False,0.0,a,13,43,81,3863182,339782,2240135,9439,0.6,6.5,950,3,9,5,9,0,0,0,0,0,0,11,307,398.0,572.0,303.0,127.3,5,1,1,1,35,21,4,1,1.0,0.0,1.0,0.0,3.0,0.0,2,2,6,3,4,2,6,2,10,2,9,1,1.6,1.6,1.8,1.4,25.4,39.2,124.5,103.3,164.3,91.7,14.1,15.4,84.7,34.6,34.8,76.0,26.4,38.5,130.9,99.7,154.4,97.8,12.8,16.0,91.4,37.0,32.0,75.0,0,1,90.0,0.0,3.0,12.0,11.0,0.79,4.0,339.0,85.0,0.0,1.0,4.0,0.8,10.61,25.58,33.17,47.67,25.25,7.0,10.2,27.0,32.2,43.7,26.0
Saka,CHE,6.1,WOL,5.79,5.94,5.7,7.2,13,100.0,100.0,223340,0,0,0,0,2,3,7.2,8.2,4,Bukayo,False,0,2022-10-30T20:30:06.843169Z,80,223340.jpg,Saka,16.5,False,0.0,a,1,3,68,1628642,50379,2053971,165149,0.9,8.5,994,4,6,4,11,0,0,0,2,0,0,5,232,311.0,344.6,417.0,107.2,22,8,12,9,16,9,11,6,2.0,0.0,0.0,0.0,1.0,0.0,19,9,3,2,14,6,23,10,16,4,6,0,1.2,1.1,1.4,1.0,19.1,28.0,93.5,78.7,108.3,67.9,12.1,13.6,83.2,31.9,20.9,66.8,19.2,34.7,88.9,104.9,154.4,63.8,16.2,15.6,96.0,46.8,13.2,84.4,0,1,26.0,1.0,2.0,12.0,11.0,0.85,4.0,287.0,72.0,1.0,1.0,3.0,0.75,8.93,19.33,25.92,28.72,34.75,7.25,8.4,22.25,33.2,16.45,34.25
Zaha,WHU,5.18,NFO,6.44,5.81,4.7,3.8,160,100.0,100.0,82403,-1,1,5,-5,0,3,3.8,3.8,2,Wilfried,False,0,2022-08-26T23:30:05.969506Z,75,82403.jpg,Zaha,20.7,False,0.0,a,7,31,52,3259817,34753,1980847,253587,0.5,6.9,967,5,1,3,12,0,0,1,3,0,0,4,140,292.8,174.9,410.0,87.7,33,13,67,52,17,10,23,16,0.0,0.0,0.0,0.0,1.0,0.0,28,14,75,25,36,18,18,8,17,3,19,0,0.8,0.9,1.2,0.8,20.1,28.5,84.4,89.3,112.1,77.5,21.9,16.7,105.7,38.3,22.7,95.4,19.2,33.9,96.4,99.6,144.6,77.6,22.0,16.8,120.6,35.2,12.4,98.0,0,1,90.0,1.0,2.0,11.0,11.0,0.85,5.0,436.0,87.0,0.0,0.0,5.0,1.0,7.97,12.73,26.62,15.9,37.27,3.8,6.3,8.2,18.56,13.08,31.6
Cancelo,FUL,6.08,BRE,5.51,5.8,5.9,7.0,306,100.0,0.0,121145,0,0,4,-4,4,2,8.0,8.0,6,João,True,0,0,74,121145.jpg,Cancelo,56.9,False,0.0,a,13,43,71,2983296,125707,1598639,18941,0.9,9.6,1006,2,2,6,11,0,0,0,2,0,0,10,284,248.0,211.8,179.0,63.8,59,14,48,7,69,4,51,5,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2,11,2,4,2,10,2,9,1,1.6,1.6,1.8,1.4,25.4,39.2,124.5,103.3,164.3,91.7,14.1,15.4,84.7,34.6,34.8,76.0,26.4,38.5,130.9,99.7,154.4,97.8,12.8,16.0,91.4,37.0,32.0,75.0,1,0,90.0,0.0,2.0,12.0,12.0,0.86,4.0,339.0,85.0,0.0,1.0,4.0,0.8,5.32,23.67,20.67,17.65,14.92,7.0,6.38,25.25,24.9,19.48,19.5
Nelson,CHE,4.72,WOL,6.75,5.74,19.0,4.8,23,100.0,100.0,200641,0,0,-2,2,1,3,4.8,5.8,19,Reiss,False,0,2022-08-12T14:00:05.551075Z,48,200641.jpg,Nelson,0.1,False,0.0,a,1,3,19,9290,8721,3655,816,1.0,4.0,63,2,1,1,0,0,0,0,0,0,0,3,50,90.8,31.0,79.0,20.1,249,108,266,144,169,104,250,120,0.0,0.0,0.0,0.0,0.0,0.0,270,165,31,11,1,1,429,159,16,4,6,0,1.2,1.1,1.4,1.0,19.1,28.0,93.5,78.7,108.3,67.9,12.1,13.6,83.2,31.9,20.9,66.8,19.2,34.7,88.9,104.9,154.4,63.8,16.2,15.6,96.0,46.8,13.2,84.4,0,1,63.0,7.0,6.0,1.0,1.0,0.14,1.0,63.0,63.0,0.0,4.0,1.0,0.2,20.1,50.0,90.8,31.0,79.0,19.0,20.1,50.0,90.8,31.0,79.0
Almirón,SOU,5.04,CHE,6.09,5.56,6.1,8.4,369,100.0,0.0,179018,2,-2,7,-7,3,3,8.4,8.4,12,Miguel,True,0,0,57,179018.jpg,Almirón Rejala,25.9,False,0.0,a,15,4,79,2944594,694779,345753,7498,1.5,13.9,1085,7,1,6,9,0,0,0,0,0,0,9,250,321.8,157.9,510.0,99.2,20,7,78,60,8,3,15,9,6.0,0.0,0.0,0.0,0.0,0.0,86,43,1,1,6,3,12,5,2,2,17,0,0.8,1.4,0.6,1.4,23.8,37.8,117.5,109.7,151.2,84.2,21.4,17.3,107.5,34.8,30.0,98.3,25.4,44.8,122.8,139.8,186.2,89.6,24.8,19.7,117.2,53.3,25.6,112.0,0,1,85.0,0.0,1.0,13.0,13.0,0.93,5.0,420.0,84.0,0.0,0.0,5.0,1.0,7.63,19.23,24.75,12.15,39.23,8.4,8.74,24.8,32.56,13.86,40.8
Foden,FUL,5.05,BRE,5.97,5.51,5.5,3.8,314,100.0,0.0,209244,0,0,5,-5,2,3,4.8,4.8,1,Phil,False,0,0,85,209244.jpg,Foden,26.7,False,0.0,a,13,43,66,3423634,86908,1354353,257448,0.4,7.8,789,6,4,2,8,0,0,0,1,0,0,4,256,355.4,326.7,335.0,101.8,14,3,15,12,27,16,14,8,3.0,0.0,0.0,0.0,0.0,0.0,13,6,76,26,17,8,10,4,10,2,9,1,1.6,1.6,1.8,1.4,25.4,39.2,124.5,103.3,164.3,91.7,14.1,15.4,84.7,34.6,34.8,76.0,26.4,38.5,130.9,99.7,154.4,97.8,12.8,16.0,91.4,37.0,32.0,75.0,0,1,13.0,0.0,5.0,12.0,9.0,0.64,4.0,188.0,47.0,0.0,3.0,2.0,0.4,8.48,21.33,29.62,27.22,27.92,3.75,7.2,15.25,23.7,28.92,19.25
Rashford,AVL,5.66,FUL,5.3,5.48,4.8,3.4,335,100.0,100.0,176297,1,-1,2,-2,1,3,3.4,3.4,8,Marcus,False,0,2022-09-15T22:00:06.254533Z,67,176297.jpg,Rashford,18.2,False,0.0,a,14,1,58,2913652,240080,2190996,36444,0.5,8.7,946,4,2,5,13,0,0,0,1,0,0,6,158,232.8,157.6,423.0,81.4,68,27,79,61,15,8,25,18,0.0,0.0,2.0,0.0,4.0,0.0,48,24,93,36,34,17,22,9,19,2,2,0,0.8,1.4,1.0,2.0,23.9,32.0,100.8,89.5,129.9,80.1,19.9,14.2,90.0,29.2,22.9,91.7,31.0,39.1,125.7,114.0,151.8,100.8,21.8,13.4,92.9,30.2,11.2,99.2,0,1,90.0,2.0,1.0,12.0,11.0,0.92,5.0,368.0,74.0,0.0,1.0,4.0,0.8,6.78,13.17,19.4,13.13,35.25,3.4,6.72,8.4,13.36,11.86,42.0
Mount,ARS,5.43,NEW,5.44,5.44,4.1,6.8,142,100.0,0.0,184341,0,0,-3,3,2,3,6.8,7.3,2,Mason,False,0,0,77,184341.jpg,Mount,9.0,False,0.0,a,6,8,49,1319387,25943,1307704,148582,0.9,6.4,880,2,3,4,14,0,0,0,2,0,0,6,171,221.2,283.1,281.0,78.9,77,31,27,22,39,24,28,20,3.0,0.0,3.0,0.0,2.0,0.0,24,12,7,4,63,29,40,14,5,3,1,1,2.1,0.8,2.0,0.6,16.9,22.3,77.8,63.9,81.6,60.4,5.6,12.2,88.4,21.0,11.9,55.5,15.4,21.9,72.1,60.9,86.2,55.8,5.8,11.6,81.4,16.4,18.2,52.0,0,1,90.0,0.0,4.0,12.0,10.0,0.71,5.0,402.0,80.0,0.0,0.0,5.0,1.0,6.58,14.25,18.43,23.59,23.42,6.8,7.62,21.2,27.56,24.94,23.4
Bernardo,FUL,4.95,BRE,5.53,5.24,5.1,4.2,311,100.0,0.0,165809,0,0,-1,1,1,3,5.2,5.2,3,Bernardo,False,0,0,69,165809.jpg,Veiga de Carvalho e Silva,9.1,False,0.0,a,13,43,61,1568677,33982,1502713,43150,0.6,8.8,887,2,6,5,10,0,0,0,0,0,0,6,217,256.6,239.8,204.0,70.1,55,23,36,28,61,37,36,25,5.0,0.0,0.0,0.0,0.0,0.0,41,20,60,20,24,12,39,13,10,2,9,1,1.6,1.6,1.8,1.4,25.4,39.2,124.5,103.3,164.3,91.7,14.1,15.4,84.7,34.6,34.8,76.0,26.4,38.5,130.9,99.7,154.4,97.8,12.8,16.0,91.4,37.0,32.0,75.0,0,1,90.0,0.0,4.0,12.0,10.0,0.71,4.0,347.0,87.0,0.0,1.0,4.0,0.8,5.84,18.08,21.38,19.98,17.0,4.25,3.57,13.5,14.15,10.88,10.75
Ødegaard,CHE,5.14,WOL,5.23,5.18,5.3,5.5,7,100.0,100.0,184029,0,0,-1,1,2,3,5.5,6.5,10,Martin,False,0,2022-09-18T20:00:06.315087Z,64,184029.jpg,Ødegaard,13.0,False,0.0,a,1,3,58,1740534,34824,1944583,36278,0.9,9.1,900,4,2,4,10,0,0,0,2,0,0,8,236,273.0,331.6,349.0,95.5,44,17,14,11,25,14,17,10,4.0,0.0,1.0,0.0,0.0,0.0,57,27,17,9,21,10,31,12,16,4,6,0,1.2,1.1,1.4,1.0,19.1,28.0,93.5,78.7,108.3,67.9,12.1,13.6,83.2,31.9,20.9,66.8,19.2,34.7,88.9,104.9,154.4,63.8,16.2,15.6,96.0,46.8,13.2,84.4,0,1,90.0,0.0,3.0,11.0,11.0,0.79,4.0,325.0,81.0,0.0,1.0,4.0,0.8,8.68,21.45,24.82,30.15,31.73,5.5,10.48,23.5,27.3,38.1,39.25
Eze,WHU,5.76,NFO,4.61,5.18,4.3,5.6,169,100.0,0.0,232413,0,0,2,-2,1,3,5.6,5.6,3,Eberechi,False,0,0,57,232413.jpg,Eze,4.5,False,0.0,a,7,31,52,734794,21373,399428,55734,1.0,9.1,973,2,2,4,14,0,0,0,0,0,0,8,204,200.0,315.4,177.0,69.3,93,40,17,14,70,43,40,27,1.0,0.0,1.0,0.0,0.0,0.0,92,48,15,8,49,22,71,23,17,3,19,0,0.8,0.9,1.2,0.8,20.1,28.5,84.4,89.3,112.1,77.5,21.9,16.7,105.7,38.3,22.7,95.4,19.2,33.9,96.4,99.6,144.6,77.6,22.0,16.8,120.6,35.2,12.4,98.0,0,1,62.0,0.0,2.0,12.0,12.0,0.86,5.0,421.0,84.0,0.0,0.0,5.0,1.0,5.78,17.0,16.67,26.28,14.75,5.6,7.62,19.6,22.52,33.92,19.8
Firmino,TOT,4.47,SOU,5.86,5.16,5.5,2.8,279,100.0,100.0,92217,0,0,1,-1,2,4,3.3,3.8,2,Roberto,False,0,2022-08-16T00:30:06.283883Z,81,92217.jpg,Firmino,8.2,False,0.0,a,12,14,61,1499521,57814,879415,115611,0.3,7.5,781,6,3,3,11,0,0,0,0,0,0,9,256,362.2,232.4,570.0,116.6,12,5,37,3,7,5,8,5,0.0,0.0,0.0,0.0,0.0,0.0,16,9,138,14,15,6,47,8,11,4,18,0,1.9,1.1,1.4,1.2,20.4,34.9,99.4,124.7,125.0,84.3,10.6,18.1,110.8,43.0,27.5,78.3,24.0,38.1,116.7,128.9,134.8,95.2,13.8,17.9,109.7,40.1,29.2,85.6,0,1,90.0,1.0,3.0,11.0,10.0,0.77,5.0,364.0,73.0,0.0,0.0,5.0,1.0,10.6,23.27,32.93,21.13,51.82,2.8,7.64,12.6,16.76,22.1,37.6
Bruno Guimarães,SOU,4.81,CHE,5.5,5.15,4.2,5.8,374,100.0,100.0,208706,0,0,-3,3,1,3,5.8,5.8,3,Bruno,False,0,2022-09-26T17:30:07.905928Z,57,208706.jpg,Guimarães Rodriguez Moura,5.1,False,0.0,a,15,4,42,571290,24099,992378,58730,1.0,7.4,813,2,2,5,6,0,0,0,1,0,0,3,163,241.8,227.7,70.0,54.0,64,26,41,32,181,112,72,49,0.0,0.0,0.0,0.0,0.0,0.0,89,46,11,6,57,25,66,21,2,2,17,0,0.8,1.4,0.6,1.4,23.8,37.8,117.5,109.7,151.2,84.2,21.4,17.3,107.5,34.8,30.0,98.3,25.4,44.8,122.8,139.8,186.2,89.6,24.8,19.7,117.2,53.3,25.6,112.0,0,1,82.0,4.0,0.0,10.0,10.0,1.0,5.0,414.0,83.0,0.0,0.0,5.0,1.0,5.4,16.3,24.18,22.77,7.0,5.8,6.12,18.8,28.32,19.66,13.4
Bowen,CRY,5.32,LEI,4.77,5.04,3.3,2.8,465,100.0,75.0,178186,0,0,-4,4,1,3,2.8,2.1,2,Jarrod,False,0,2022-10-27T22:30:07.660785Z,81,178186.jpg,Bowen,3.6,False,0.0,a,19,21,43,733142,15872,999545,32949,0.3,5.3,1161,2,1,3,13,0,0,1,0,0,0,3,117,200.8,223.7,475.0,90.0,91,38,43,34,12,6,20,13,2.0,0.0,0.0,0.0,2.0,0.0,17,8,139,55,119,48,90,33,14,2,7,1,0.9,1.1,1.0,1.0,21.6,33.3,95.4,103.7,134.5,78.9,16.3,15.9,88.9,39.3,30.9,81.0,22.6,34.0,98.1,109.4,134.2,79.6,18.4,14.2,97.4,20.8,23.8,89.0,0,1,90.0,0.0,1.0,13.0,13.0,0.93,5.0,447.0,89.0,0.0,0.0,5.0,1.0,6.92,9.0,15.45,17.21,36.54,2.8,7.48,8.0,16.68,16.6,41.6
Welbeck,WOL,4.28,AVL,5.75,5.02,3.2,1.6,103,100.0,0.0,50175,0,0,0,0,0,4,1.6,1.1,0,Danny,False,0,0,65,50175.jpg,Welbeck,1.3,False,0.0,a,5,36,35,347405,13250,324842,11780,0.2,5.4,912,0,4,4,12,0,0,0,0,0,0,2,91,95.0,175.5,375.0,64.6,239,25,66,7,20,10,49,11,0.0,0.0,0.0,0.0,0.0,0.0,53,25,233,27,128,14,154,22,6,2,20,0,0.4,1.4,0.6,2.0,24.9,34.5,116.5,101.1,128.4,86.6,23.0,14.2,87.8,30.6,22.8,95.5,30.8,38.2,148.9,109.0,124.6,110.0,22.2,16.2,97.3,33.8,30.4,90.6,0,1,0.0,0.0,4.0,11.0,10.0,0.71,4.0,348.0,87.0,0.0,1.0,4.0,0.8,5.87,8.27,8.64,15.95,34.09,2.0,5.17,2.5,4.55,11.67,35.5
Enciso,WOL,4.48,AVL,5.56,5.02,3.0,0.6,125,100.0,0.0,474120,0,0,-3,3,0,4,0.6,0.1,3,Julio,False,0,0,47,474120.jpg,Enciso,0.3,False,0.0,a,5,36,3,23898,4263,45498,1660,0.1,0.6,25,0,1,0,0,0,0,0,1,0,0,0,5,8.0,0.3,49.0,5.7,387,50,408,53,220,43,359,50,0.0,0.0,0.0,0.0,0.0,0.0,304,56,305,42,142,17,301,48,6,2,20,0,0.4,1.4,0.6,2.0,24.9,34.5,116.5,101.1,128.4,86.6,23.0,14.2,87.8,30.6,22.8,95.5,30.8,38.2,148.9,109.0,124.6,110.0,22.2,16.2,97.3,33.8,30.4,90.6,0,1,25.0,0.0,14.0,1.0,0.0,0.0,1.0,25.0,25.0,0.0,5.0,0.0,0.0,5.7,5.0,8.0,0.3,49.0,3.0,5.7,5.0,8.0,0.3,49.0
Mahrez,FUL,4.66,BRE,5.38,5.02,2.4,2.2,303,100.0,0.0,103025,0,0,-5,5,0,3,3.2,3.2,0,Riyad,False,0,0,75,103025.jpg,Mahrez,1.4,False,0.0,a,13,43,22,92657,2504,518600,3751,0.3,2.9,368,1,1,2,6,0,0,0,1,0,0,0,83,76.4,141.0,153.0,37.1,270,118,96,70,88,56,137,85,2.0,0.0,3.0,0.0,2.0,0.0,29,15,182,74,222,86,149,52,10,2,9,1,1.6,1.6,1.8,1.4,25.4,39.2,124.5,103.3,164.3,91.7,14.1,15.4,84.7,34.6,34.8,76.0,26.4,38.5,130.9,99.7,154.4,97.8,12.8,16.0,91.4,37.0,32.0,75.0,0,1,0.0,0.0,10.0,9.0,4.0,0.29,2.0,131.0,66.0,0.0,3.0,2.0,0.4,4.12,9.22,8.49,15.67,17.0,4.5,7.5,14.0,22.6,12.35,40.0
Ederson,FUL,5.11,BRE,4.85,4.98,4.4,5.5,307,100.0,0.0,121160,0,0,-1,1,0,1,6.5,6.5,9,Ederson,False,0,0,54,121160.jpg,Santana de Moraes,13.9,False,0.0,a,13,43,53,883644,52283,1249735,22024,1.0,9.8,1080,0,1,6,11,0,0,0,0,0,19,3,251,211.0,13.0,0.0,22.5,82,17,327,2,648,69,234,17,0.0,0.0,0.0,0.0,0.0,0.0,128,3,16,3,45,7,26,4,10,2,9,1,1.6,1.6,1.8,1.4,25.4,39.2,124.5,103.3,164.3,91.7,14.1,15.4,84.7,34.6,34.8,76.0,26.4,38.5,130.9,99.7,154.4,97.8,12.8,16.0,91.4,37.0,32.0,75.0,1,0,90.0,0.0,2.0,12.0,12.0,0.86,4.0,360.0,90.0,0.0,1.0,4.0,0.8,1.88,20.92,17.58,1.08,0.0,5.5,2.5,23.75,21.7,3.25,0.0
March,WOL,4.51,AVL,5.33,4.92,3.3,2.8,107,100.0,0.0,109345,0,0,0,0,0,3,2.8,2.3,2,Solly,False,0,0,50,109345.jpg,March,0.5,False,0.0,a,5,36,40,114267,4988,83340,4376,0.6,8.0,1037,0,4,4,15,0,0,0,1,0,0,1,147,177.8,231.5,339.0,74.8,120,52,39,30,26,15,32,23,2.0,0.0,0.0,0.0,0.0,0.0,187,107,130,49,115,46,246,82,6,2,20,0,0.4,1.4,0.6,2.0,24.9,34.5,116.5,101.1,128.4,86.6,23.0,14.2,87.8,30.6,22.8,95.5,30.8,38.2,148.9,109.0,124.6,110.0,22.2,16.2,97.3,33.8,30.4,90.6,0,1,90.0,0.0,2.0,12.0,12.0,0.86,5.0,450.0,90.0,0.0,0.0,5.0,1.0,6.23,12.25,14.82,19.29,28.25,2.8,6.66,11.6,14.76,25.14,26.6
