chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
100.0,0.0,83283,0,0,0,0,0,3,1.5,0.0,0,Nathan,0.0,403,False,0,0,55,83283.jpg,2.9,Redmond,0.1,False,0.0,a,17,20,79,0,0,0,0,0.0,14.4,Redmond,1827,1,6,4,33,0,0,0,0,0,0,6,313,333.6,516.0,310.0,116.0,193,78,56,40,121,69,104,63,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,82.0,2.0,17.0,26.0,19.0,0.53,5.0,442.0,88.0,0.0,0.0,5.0,1.0,4.33,12.04,12.71,19.49,11.12,3.4,3.46,13.8,15.4,11.7,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,88900,0,0,0,0,0,2,1.3,0.0,0,Jack,0.0,404,False,0,0,45,88900.jpg,1.1,Stephens,0.1,False,0.0,a,17,20,12,0,0,0,0,0.0,2.7,Stephens,810,0,0,1,19,0,0,0,3,0,0,0,135,192.8,48.2,6.0,24.8,261,106,283,108,326,131,308,116,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,90.0,11.0,19.0,11.0,8.0,0.3,2.0,180.0,90.0,0.0,3.0,2.0,0.4,2.1,12.27,16.0,4.34,0.55,0.0,1.4,13.5,13.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,91047,0,0,0,0,0,3,1.0,0.0,0,Stuart,0.0,405,False,0,0,50,91047.jpg,2.3,Armstrong,0.1,False,0.0,a,17,20,57,0,0,0,0,0.0,11.4,S.Armstrong,1465,2,1,3,30,0,0,0,1,0,0,3,239,266.2,384.0,377.0,102.7,225,96,93,67,102,60,133,76,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,90.0,11.0,14.0,25.0,13.0,0.48,5.0,240.0,48.0,0.0,3.0,2.0,0.4,3.93,9.56,9.98,14.55,14.76,2.0,2.52,9.2,6.64,13.12,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,96787,0,0,0,0,0,3,1.5,0.0,0,Mohamed,0.0,406,False,0,0,55,96787.jpg,3.0,Elyounoussi,0.1,False,0.0,a,17,20,90,0,0,0,0,0.0,16.4,Elyounoussi,2039,4,3,8,35,0,0,0,4,0,0,6,243,393.4,373.0,719.0,148.4,164,63,98,69,43,24,62,41,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,71.0,1.0,15.0,30.0,22.0,0.59,4.0,197.0,49.0,0.0,3.0,2.0,0.4,4.76,8.1,12.66,11.04,23.97,1.5,0.62,4.75,3.8,0.9,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,101178,0,0,0,0,0,3,1.8,0.0,0,James,0.0,407,False,0,0,65,101178.jpg,4.4,Ward-Prowse,10.2,False,0.0,a,17,20,159,0,0,0,0,0.0,24.5,Ward-Prowse,3215,10,5,7,65,0,0,0,3,1,0,21,769,970.0,1170.6,413.0,255.5,7,4,4,3,92,54,15,10,1.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,1.0,90.0,1.0,3.0,36.0,34.0,0.92,5.0,450.0,90.0,0.0,0.0,5.0,1.0,6.91,21.36,25.93,32.21,10.94,6.2,6.28,27.0,27.52,20.94,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,155511,0,0,0,0,0,4,1.0,0.0,0,Adam,0.0,408,False,0,0,55,155511.jpg,2.5,Armstrong,0.8,False,0.0,a,17,20,57,0,0,0,0,0.0,10.4,A.Armstrong,1409,2,3,4,31,0,0,0,1,0,0,3,150,179.2,180.2,575.0,92.7,270,29,178,21,55,21,158,24,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,62.0,3.0,20.0,23.0,15.0,0.43,2.0,152.0,76.0,0.0,3.0,2.0,0.4,3.97,6.52,7.79,7.56,24.65,2.0,0.9,3.5,0.0,0.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,158534,0,0,0,0,0,2,1.3,0.0,0,Kyle,0.0,409,False,0,0,45,158534.jpg,2.6,Walker-Peters,1.3,False,0.0,a,17,20,82,0,0,0,0,0.0,18.2,Walker-Peters,2630,1,3,6,49,0,0,0,5,0,0,7,481,481.8,376.9,425.0,128.0,115,43,96,19,91,11,86,18,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,90.0,0.0,10.0,32.0,28.0,0.74,5.0,450.0,90.0,0.0,0.0,5.0,1.0,3.9,15.03,14.54,11.38,13.22,0.8,2.36,11.0,9.64,2.84,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,171771,0,0,0,0,0,2,1.3,0.0,0,Jan,0.0,410,False,0,0,45,171771.jpg,3.0,Bednarek,0.5,False,0.0,a,17,20,94,0,0,0,0,0.0,20.9,Bednarek,2629,4,0,7,52,1,0,0,10,0,0,15,499,699.6,88.1,321.0,111.2,49,16,246,81,118,19,112,25,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,11.0,31.0,26.0,0.7,3.0,270.0,90.0,0.0,2.0,3.0,0.6,3.59,16.1,22.57,2.84,10.35,0.67,2.37,10.67,19.67,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,200439,0,0,0,0,0,4,1.5,0.0,0,Che,0.0,411,False,0,0,65,200439.jpg,3.4,Adams,0.8,False,0.0,a,17,20,103,0,0,0,0,0.0,15.8,Adams,2034,7,4,5,40,0,0,0,0,0,0,11,333,425.8,337.7,804.0,156.8,145,14,106,12,30,11,56,13,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,27.0,5.0,12.0,30.0,21.0,0.64,4.0,189.0,47.0,0.0,3.0,2.0,0.4,5.21,11.1,14.19,11.23,26.67,1.5,2.93,4.5,5.05,13.85,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,203389,0,0,0,0,0,3,1.0,0.0,0,Nathan,0.0,412,False,0,0,50,203389.jpg,2.1,Tella,0.0,False,0.0,a,17,20,29,0,0,0,0,0.0,5.8,Tella,802,0,2,1,18,0,0,0,2,0,0,0,81,79.4,102.2,138.0,31.7,322,140,236,131,213,111,291,134,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,7.0,21.0,14.0,10.0,0.32,3.0,214.0,71.0,0.0,2.0,3.0,0.6,2.26,5.79,5.67,7.3,9.86,3.67,3.1,10.67,12.27,7.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
