web_name,opponent_28,predicted_points_28,opponent_29,predicted_points_29,opponent_30,predicted_points_30,opponent_31,predicted_points_31,opponent_32,predicted_points_32,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
Jesus,CRY,7.4,LEE,8.41,LIV,6.37,WHU,9.48,SOU,9.57,8.25,4.7,0.2,28,100.0,50.0,205651,0,0,-1,1,1,4,0.7,0.3,1,Gabriel,False,0,2022-12-04T08:30:06.137006Z,79,205651.jpg,Fernando de Jesus,25.2,False,0.0,a,1,3,70,2860812,31352,7824632,9522,0.0,8.9,1233,5,6,7,11,0,0,0,4,0,0,7,222,384.4,282.2,901.0,156.9,14,8.03,1.75,9.77,11.57,103,9,87,9,9,6,25,7,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.13,0.71,0.84,0.8,21,12,394,52,24,4,12,4,1.02,0.51,9,0,1,13.0,10.0,3.0,15.0,14.0,0.82,1.0,13.0,13.0,4.0,1.0,0.0,0.0,10.46,14.8,25.63,18.81,60.07,1.0,2.5,3.0,6.4,1.1,17.0,2,9,0,1.4,1.4,1.2,1.4,26.4,39.2,124.5,115.5,153.1,97.1,17.4,16.7,98.1,37.4,31.8,92.1,29.4,38.1,127.8,129.2,124.2,105.4,20.4,18.1,108.8,36.1,35.8,110.6
Martinelli,CRY,8.87,LEE,5.93,LIV,7.46,WHU,8.14,SOU,7.06,7.49,5.6,7.3,19,100.0,0.0,444145,1,-1,6,-6,3,3,7.8,7.8,8,Gabriel,True,0,0,66,444145.jpg,Martinelli Silva,38.8,False,0.0,a,1,3,150,6543512,218049,4946809,33927,1.1,22.7,2171,12,5,13,20,0,0,0,3,0,0,13,472,611.8,604.4,1062.0,227.7,26,7.8,4.87,12.6,24.2,21,9,17,14,5,2,7,5,1.0,0.0,2.0,0.0,2.0,0.0,0.32,0.0,0.2,0.52,1.0,0.83,54,27,3,2,12,5,7,3,1.08,0.54,9,0,1,76.0,0.0,3.0,27.0,24.0,0.89,7.0,504.0,72.0,0.0,1.0,4.0,0.8,8.43,17.48,22.66,22.39,39.33,6.71,7.87,20.14,26.11,14.74,38.0,2,9,0,1.4,1.4,1.2,1.4,26.4,39.2,124.5,115.5,153.1,97.1,17.4,16.7,98.1,37.4,31.8,92.1,29.4,38.1,127.8,129.2,124.2,105.4,20.4,18.1,108.8,36.1,35.8,110.6
Álex Moreno,BOU,9.0,LEI,12.47,NFO,4.75,NEW,4.44,BRE,5.78,7.29,3.4,4.5,694,100.0,0.0,106468,0,0,-1,1,0,2,5.0,4.5,8,Alexandre,False,0,0,44,106468.jpg,Moreno Lopera,0.3,False,0.0,a,2,7,27,45165,15727,16288,1265,1.0,6.1,483,0,2,2,5,0,0,0,2,0,0,3,95,102.8,134.5,67.0,29.9,4,0.27,0.6,0.86,8.47,321,128,184,44,283,83,296,99,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.11,0.16,1.58,0.93,475,99,44,18,114,31,303,110,0.75,0.37,19,1,0,63.0,0.0,3.0,8.0,5.0,0.62,5.0,268.0,54.0,0.0,2.0,3.0,0.6,3.74,11.88,12.85,16.81,8.38,3.8,3.86,14.6,16.16,17.78,4.8,3,19,0,0.9,1.3,1.5,2.0,25.0,33.6,111.8,106.1,118.1,97.0,22.4,17.8,109.9,39.1,28.8,103.3,34.5,46.4,164.8,149.2,149.5,137.8,30.0,24.0,142.2,57.1,40.8,143.8
Barnes,BRE,3.55,CRY,11.82,BOU,6.91,MCI,5.89,WOL,7.44,7.12,4.0,1.2,264,100.0,75.0,201666,0,0,-3,3,0,3,1.2,0.9,1,Harvey,False,0,2023-03-04T21:30:08.566162Z,67,201666.jpg,Barnes,1.7,False,0.0,a,10,13,95,492453,22899,535494,7101,0.2,14.2,1945,8,2,6,34,0,0,0,2,0,0,0,241,400.6,236.7,694.0,133.1,23,6.89,1.81,8.68,35.53,90,37,109,78,18,11,39,27,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.08,0.4,1.64,1.57,48,24,260,120,60,23,141,51,1.06,0.28,6,0,1,24.0,3.0,3.0,24.0,21.0,0.88,5.0,339.0,68.0,1.0,1.0,3.0,0.75,5.55,10.04,16.69,9.86,28.92,2.2,4.36,7.6,13.4,13.56,16.6,3,6,1,1.0,1.0,1.2,1.2,23.0,32.2,107.8,99.0,115.5,79.2,20.9,16.9,107.8,33.5,27.4,97.1,25.2,33.8,129.8,110.3,98.2,96.5,27.0,21.1,133.7,39.5,37.8,127.8
Ødegaard,CRY,7.6,LEE,6.7,LIV,6.32,WHU,7.29,SOU,7.61,7.1,5.8,5.0,7,100.0,75.0,184029,0,0,4,-4,4,3,5.5,4.1,7,Martin,True,0,2023-03-09T22:30:08.763464Z,69,184029.jpg,Ødegaard,33.8,False,0.0,a,1,3,151,5603295,124172,3559255,77091,0.7,21.9,2221,10,7,11,24,0,0,0,4,0,0,21,583,690.0,897.1,713.0,230.2,26,7.58,6.12,13.74,25.45,10,2,4,3,16,9,6,4,3.0,0.0,1.0,0.0,0.0,0.0,0.31,0.0,0.25,0.56,1.03,0.97,42,21,34,15,10,4,8,4,1.05,0.45,9,0,1,90.0,0.0,3.0,26.0,24.0,0.89,7.0,623.0,89.0,0.0,0.0,5.0,1.0,8.85,22.42,26.54,34.5,27.42,4.57,9.03,20.14,25.34,43.0,22.0,2,9,0,1.4,1.4,1.2,1.4,26.4,39.2,124.5,115.5,153.1,97.1,17.4,16.7,98.1,37.4,31.8,92.1,29.4,38.1,127.8,129.2,124.2,105.4,20.4,18.1,108.8,36.1,35.8,110.6
Almirón,NFO,4.48,WHU,11.75,BRE,4.94,AVL,7.48,TOT,6.65,7.06,5.4,4.0,369,100.0,100.0,179018,1,-1,5,-5,3,3,4.5,4.5,9,Miguel,False,0,2023-02-11T22:00:09.655794Z,55,179018.jpg,Almirón Rejala,26.2,False,0.0,a,15,4,136,6191741,424197,3671856,33147,0.7,24.7,1977,11,2,13,16,0,0,0,2,0,0,15,437,547.4,298.2,724.0,157.2,24,6.14,2.14,8.28,22.22,34,16,77,61,15,8,24,17,3.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.1,0.38,1.01,0.73,109,57,67,23,14,7,10,5,1.09,0.59,20,0,1,22.0,0.0,3.0,25.0,24.0,0.89,4.0,241.0,60.0,0.0,2.0,3.0,0.6,6.29,17.48,21.9,11.93,28.96,5.5,4.15,16.75,19.9,5.67,16.0,2,20,1,0.7,1.4,1.0,1.4,26.3,37.2,119.5,115.1,137.8,93.1,23.9,16.8,95.1,41.2,31.2,102.9,29.6,40.9,128.3,144.8,135.6,104.2,33.2,24.6,126.2,61.0,58.4,137.0
Harrison,WOL,5.29,NFO,11.73,CRY,6.24,LIV,5.1,FUL,6.48,6.97,3.5,5.2,233,100.0,100.0,221399,0,0,-3,3,2,3,5.2,5.2,11,Jack,False,0,2022-12-22T16:00:08.108670Z,57,221399.jpg,Harrison,2.2,False,0.0,a,11,2,85,962281,54481,936900,6162,0.9,14.9,1743,2,7,6,24,1,0,0,2,0,0,8,236,369.2,590.8,335.0,129.3,22,3.66,3.35,7.02,26.07,111,44,19,16,72,47,43,31,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.17,0.36,1.35,1.24,89,46,27,11,108,44,121,42,1.14,0.31,5,0,1,90.0,1.0,7.0,24.0,19.0,0.73,5.0,416.0,83.0,0.0,0.0,5.0,1.0,5.39,9.83,15.38,24.62,13.96,4.8,6.12,13.0,22.2,28.98,10.2,3,5,1,1.8,1.2,2.7,1.3,22.3,27.0,99.4,75.6,95.5,79.5,12.0,13.4,90.4,23.4,20.5,72.6,27.7,27.3,116.1,85.3,72.3,88.3,19.3,19.6,155.2,14.9,25.3,108.7
Trossard,CRY,7.8,LEE,5.31,LIV,6.06,WHU,7.57,SOU,7.28,6.8,4.9,5.2,111,100.0,50.0,116216,0,0,1,-1,3,3,5.7,2.9,15,Leandro,False,0,2023-03-04T18:30:07.114103Z,66,116216.jpg,Trossard,8.5,False,0.0,a,1,3,122,4747793,142230,4231118,12756,0.8,18.5,1701,8,8,7,29,0,0,0,1,0,0,8,381,536.2,488.7,794.0,181.8,21,5.88,3.21,9.07,23.95,38,18,34,27,13,6,13,9,4.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.17,0.48,1.27,1.53,50,26,29,12,18,11,47,14,1.11,0.37,9,0,1,76.0,2.0,6.0,24.0,19.0,0.76,6.0,346.0,58.0,1.0,1.0,3.0,0.75,7.58,15.88,22.34,20.36,33.08,6.17,6.12,19.83,23.8,21.82,15.67,2,9,0,1.4,1.4,1.2,1.4,26.4,39.2,124.5,115.5,153.1,97.1,17.4,16.7,98.1,37.4,31.8,92.1,29.4,38.1,127.8,129.2,124.2,105.4,20.4,18.1,108.8,36.1,35.8,110.6
Rodrigo,WOL,5.99,NFO,9.91,CRY,6.48,LIV,6.12,FUL,5.01,6.7,4.9,0.2,225,100.0,50.0,80954,0,0,3,-3,3,3,0.2,0.1,1,Rodrigo,False,0,2023-02-02T15:30:08.709753Z,63,80954.jpg,Moreno,4.0,False,0.0,a,11,2,93,4521556,30807,4615020,4412,0.0,14.8,1320,10,1,4,24,0,0,0,3,0,0,6,265,426.4,205.1,710.0,133.6,17,6.47,0.72,7.2,22.46,74,28,121,83,17,10,38,26,0.0,0.0,2.0,0.0,4.0,0.0,0.44,0.0,0.05,0.49,1.53,1.64,60,30,392,182,17,10,81,24,1.16,0.27,5,0,1,24.0,9.0,3.0,19.0,15.0,0.83,1.0,24.0,24.0,4.0,1.0,0.0,0.0,7.03,13.95,22.44,10.79,37.37,1.0,0.5,0.0,0.4,0.5,4.0,3,5,1,1.8,1.2,2.7,1.3,22.3,27.0,99.4,75.6,95.5,79.5,12.0,13.4,90.4,23.4,20.5,72.6,27.7,27.3,116.1,85.3,72.3,88.3,19.3,19.6,155.2,14.9,25.3,108.7
Saint-Maximin,NFO,4.74,MUN,11.24,BRE,5.37,AVL,6.89,TOT,5.28,6.7,2.8,2.0,368,100.0,100.0,170137,0,0,-4,4,1,3,2.5,2.5,3,Allan,False,0,2023-02-11T22:00:09.645218Z,61,170137.jpg,Saint-Maximin,3.4,False,0.0,a,15,4,48,1001832,22637,1509586,3608,0.3,7.9,814,1,4,3,10,0,0,0,1,0,0,4,154,182.2,240.2,277.0,70.1,8,1.32,1.51,2.8,11.24,248,107,107,77,91,58,144,87,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.17,0.31,1.24,1.11,67,35,187,80,200,82,92,29,0.88,0.33,20,0,1,67.0,8.0,11.0,17.0,8.0,0.42,4.0,268.0,67.0,0.0,2.0,3.0,0.6,4.12,9.06,10.72,14.13,16.29,2.0,5.97,10.5,9.65,29.35,20.75,2,20,1,0.7,1.4,1.0,1.4,26.3,37.2,119.5,115.1,137.8,93.1,23.9,16.8,95.1,41.2,31.2,102.9,29.6,40.9,128.3,144.8,135.6,104.2,33.2,24.6,126.2,61.0,58.4,137.0
