web_name,opponent_21,predicted_points_21,opponent_22,predicted_points_22,opponent_23,predicted_points_23,opponent_24,predicted_points_24,opponent_25,predicted_points_25,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
Ødegaard,MUN,7.13,EVE,8.65,BRE,12.51,AVL,7.85,LEI,8.08,8.84,6.6,8.8,7,100.0,100.0,184029,1,-1,3,-3,4,3,9.3,8.8,9,Martin,True,,2022-09-18T20:00:06.315087Z,68,184029.jpg,Ødegaard,28.3,False,0,a,1,3,112,3832243,394727,2387684,15818,1.3,16.5,1432,8,5,8,13,0,0,0,3,0,0,18,410,500.4,554.9,521.0,157.8,17,4.9513,4.30627,9.25757,15.3614,10,2,8,6,21,12,8,5,4.0,0.0,1.0,0.0,0.0,0.0,0.31119,0.0,0.27065,0.58183,0.96545,0.82,47,24,3,2,7,2,13,6,1.06844,0.50279,18,0,1,90.0,0.0,3.0,17.0,17.0,0.85,5.0,446.0,89.0,0.0,0.0,5.0,1.0,9.28,24.12,29.44,32.64,30.65,10.2,11.6,33.6,43.52,39.2,33.2,3,14,1,1.5,1.1,2.4,0.6,19.9,30.1,90.7,86.5,123.4,75.2,11.4,13.0,82.1,26.4,21.2,66.8,12.6,22.8,60.8,59.0,108.4,51.0,8.6,13.1,87.6,27.8,15.2,59.4
Trippier,CRY,10.58,WHU,8.75,BOU,8.23,LIV,7.29,BHA,7.45,8.46,7.0,9.2,357,100.0,100.0,77794,0,0,10,-10,4,2,9.2,9.2,9,Kieran,True,,2022-08-30T14:30:06.751009Z,60,77794.jpg,Trippier,68.2,False,0,a,15,4,133,6312586,59017,1325778,5009,1.5,22.2,1684,1,5,13,9,0,0,0,4,0,0,28,554,482.8,887.6,77.0,144.9,19,0.4859,5.55242,6.03832,16.8682,11,2,2,1,221,50,12,1,1.0,0.0,1.0,0.0,0.0,0.0,0.02597,0.0,0.29674,0.32271,0.90151,0.48,68,5,2,1,5,2,2,1,1.01544,0.69477,9,1,0,90.0,0.0,1.0,19.0,19.0,0.95,5.0,450.0,90.0,0.0,0.0,5.0,1.0,7.63,29.16,25.41,46.72,4.05,8.8,8.56,33.0,22.52,60.1,2.8,3,7,0,0.9,1.4,0.6,2.0,26.8,37.6,117.6,114.8,144.0,94.3,20.9,17.3,103.6,39.2,30.4,97.7,42.0,53.6,182.5,158.4,195.2,140.6,37.0,22.4,149.3,43.1,30.8,150.2
De Bruyne,WOL,5.11,TOT,5.99,AVL,13.32,NFO,6.58,BOU,8.47,7.89,5.6,2.2,301,100.0,0.0,61366,0,0,5,-5,2,3,3.2,5.9,5,Kevin,True,,0,125,61366.jpg,De Bruyne,38.6,False,0,a,13,43,101,5536621,86468,3515299,105143,0.2,8.1,1490,3,11,6,16,0,0,0,1,0,0,13,414,527.8,909.9,450.0,188.9,17,3.0746,9.2386,12.3132,12.1643,9,1,1,1,30,18,3,1,1.0,0.0,1.0,0.0,3.0,0.0,0.18571,0.0,0.55804,0.74375,0.73476,0.97,2,2,152,65,15,7,7,4,1.02685,0.36242,18,0,1,90.0,0.0,3.0,18.0,17.0,0.85,5.0,450.0,90.0,0.0,0.0,5.0,1.0,10.49,23.0,29.32,50.55,25.0,2.6,9.72,16.2,19.84,51.34,25.8,2,20,1,0.6,1.4,0.8,1.0,25.2,36.0,117.3,106.0,137.1,87.8,22.3,14.9,89.3,33.4,25.6,95.2,22.2,35.8,100.9,109.5,147.8,74.8,23.6,17.0,97.4,40.8,31.2,102.8
Saka,MUN,6.58,EVE,8.34,MCI,10.58,AVL,7.4,LEI,6.48,7.88,5.6,6.0,13,100.0,75.0,223340,0,0,1,-1,2,3,6.5,4.5,6,Bukayo,False,,2023-01-13T15:00:07.612275Z,81,223340.jpg,Saka,20.8,False,0,a,1,3,100,2911278,124004,2903629,67874,0.7,12.3,1534,6,8,8,14,0,0,0,4,0,0,7,339,468.8,567.8,517.0,155.4,18,5.8073,2.62779,8.43509,15.9953,15,4,7,5,22,13,10,6,2.0,0.0,0.0,0.0,1.0,0.0,0.34072,0.0,0.15417,0.49489,0.93845,0.82,15,7,17,8,14,6,18,8,1.05606,0.46936,18,0,1,90.0,1.0,2.0,18.0,17.0,0.89,5.0,450.0,90.0,0.0,0.0,5.0,1.0,8.63,18.83,26.04,31.54,28.72,5.4,8.18,18.2,26.8,35.94,18.8,3,14,1,1.5,1.1,2.4,0.6,19.9,30.1,90.7,86.5,123.4,75.2,11.4,13.0,82.1,26.4,21.2,66.8,12.6,22.8,60.8,59.0,108.4,51.0,8.6,13.1,87.6,27.8,15.2,59.4
Haaland,WOL,6.9,TOT,5.8,ARS,10.11,NFO,7.52,BOU,9.04,7.87,8.4,5.8,318,100.0,100.0,223094,0,0,7,-7,6,4,6.8,13.1,8,Erling,True,,2022-10-25T22:30:07.174496Z,122,223094.jpg,Haaland,85.1,False,0,a,13,43,152,5473801,18317,1707733,21901,0.5,12.5,1485,22,3,6,19,0,0,0,3,0,0,23,618,821.4,204.1,1158.0,218.4,17,15.761,2.30424,18.06524,12.9296,1,1,89,9,1,1,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.95521,0.0,0.13965,1.09486,0.78361,1.15,3,1,21,3,3,1,1,1,1.0303,0.36364,18,0,1,179.0,1.0,3.0,18.0,16.0,0.84,6.0,539.0,90.0,0.0,0.0,5.0,1.0,12.13,34.33,45.63,11.34,64.33,5.0,7.77,18.0,25.07,10.23,42.5,2,20,1,0.6,1.4,0.8,1.0,25.2,36.0,117.3,106.0,137.1,87.8,22.3,14.9,89.3,33.4,25.6,95.2,22.2,35.8,100.9,109.5,147.8,74.8,23.6,17.0,97.4,40.8,31.2,102.8
Mahrez,WOL,5.18,TOT,7.22,ARS,11.01,NFO,7.24,BOU,7.7,7.67,4.4,7.8,303,100.0,0.0,103025,0,0,-5,5,1,3,8.8,17.1,19,Riyad,False,,0,75,103025.jpg,Mahrez,5.0,False,0,a,13,43,61,542874,147533,587627,22913,1.0,8.1,755,4,4,2,12,0,0,0,2,0,0,7,234,258.0,344.9,307.0,91.1,8,2.9872,2.67874,5.66594,5.8243,131,57,36,30,55,35,52,38,2.0,0.0,3.0,0.0,2.0,0.0,0.35609,0.0,0.31932,0.67541,0.69429,1.43,27,13,5,4,43,17,65,19,0.95364,0.23841,18,0,1,180.0,0.0,13.0,14.0,7.0,0.35,5.0,387.0,77.0,0.0,2.0,3.0,0.6,6.51,16.71,18.43,24.64,21.93,7.8,10.8,30.2,36.32,40.78,30.8,2,20,1,0.6,1.4,0.8,1.0,25.2,36.0,117.3,106.0,137.1,87.8,22.3,14.9,89.3,33.4,25.6,95.2,22.2,35.8,100.9,109.5,147.8,74.8,23.6,17.0,97.4,40.8,31.2,102.8
Martinelli,MUN,7.16,EVE,5.46,MCI,10.45,AVL,6.16,LEI,7.42,7.33,5.6,5.8,19,100.0,0.0,444145,0,0,8,-8,2,3,6.3,5.8,2,Gabriel,False,,0,68,444145.jpg,Martinelli Silva,46.4,False,0,a,1,3,100,5572810,45111,3109484,186593,0.9,14.7,1528,7,5,9,14,0,0,0,2,0,0,7,315,421.2,424.0,748.0,159.3,18,3.9921,3.85744,7.84954,16.1383,29,13,22,16,8,3,5,3,1.0,0.0,2.0,0.0,2.0,0.0,0.23514,0.0,0.22721,0.46234,0.95055,0.82,49,26,20,11,13,5,3,1,1.06021,0.5301,18,0,1,78.0,0.0,2.0,18.0,18.0,0.9,5.0,435.0,87.0,0.0,0.0,5.0,1.0,8.85,17.5,23.4,23.56,41.56,5.8,9.12,16.8,22.36,20.92,47.8,3,14,1,1.5,1.1,2.4,0.6,19.9,30.1,90.7,86.5,123.4,75.2,11.4,13.0,82.1,26.4,21.2,66.8,12.6,22.8,60.8,59.0,108.4,51.0,8.6,13.1,87.6,27.8,15.2,59.4
March,LEI,6.82,BOU,7.16,CRY,7.33,FUL,7.44,NEW,5.83,6.92,4.9,11.0,107,100.0,0.0,109345,1,-1,1,-1,3,3,11.0,10.0,19,Solly,False,,0,51,109345.jpg,March,4.3,False,0,a,5,36,88,578199,358439,144764,11668,2.2,17.3,1542,4,6,6,24,0,0,0,2,0,0,10,295,415.8,400.0,544.0,136.0,18,3.8651,2.53406,6.39916,21.6729,33,14,26,20,20,11,16,10,2.0,0.0,0.0,0.0,0.0,0.0,0.22559,0.0,0.1479,0.37349,1.26496,1.4,182,105,1,1,27,12,74,22,1.05058,0.35019,12,0,1,90.0,0.0,2.0,18.0,18.0,0.9,5.0,415.0,83.0,0.0,0.0,5.0,1.0,7.56,16.39,23.1,22.22,30.22,9.2,9.96,26.4,43.92,25.9,29.6,3,10,0,1.3,1.6,0.6,1.6,25.1,34.5,113.2,102.3,129.7,92.4,14.4,14.0,80.5,37.2,22.0,79.4,21.0,29.4,95.9,80.6,118.6,77.8,20.4,13.9,72.9,52.7,13.4,89.0
Kane,FUL,8.31,MCI,5.36,LEI,7.38,WHU,6.44,CHE,6.37,6.77,6.7,6.4,427,100.0,100.0,78830,1,-1,2,-2,2,4,6.9,12.3,7,Harry,True,,2022-10-08T20:30:07.678681Z,117,78830.jpg,Kane,35.3,False,0,a,18,6,134,4703420,128762,3595309,43221,0.5,11.5,1786,15,5,6,30,0,0,1,4,0,0,25,503,696.2,443.1,1130.0,227.0,20,11.0142,1.81838,12.83258,24.4357,2,2,16,1,2,2,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.55503,0.0,0.09163,0.64666,1.23136,1.51,4,2,13,2,6,2,8,2,1.00784,0.30235,1,0,1,180.0,0.0,1.0,20.0,19.0,0.95,6.0,540.0,90.0,0.0,0.0,5.0,1.0,11.35,25.15,34.81,22.16,56.5,7.17,9.57,26.5,31.07,20.7,43.83,2,9,0,1.6,1.4,1.8,1.0,26.5,41.2,128.1,115.9,168.5,98.8,14.7,16.2,93.6,37.4,31.4,82.5,28.4,44.6,129.4,139.7,177.8,110.0,18.0,19.4,128.4,46.2,18.6,107.4
Grealish,WOL,5.0,TOT,4.81,ARS,10.05,NFO,6.79,BOU,6.49,6.63,3.8,4.6,305,100.0,100.0,114283,0,0,-2,2,0,3,5.6,10.7,8,Jack,False,,2022-08-22T07:00:05.758441Z,68,114283.jpg,Grealish,1.4,False,0,a,13,43,50,178857,11497,423353,6070,0.7,7.4,857,2,4,4,8,0,0,0,0,0,0,2,193,191.8,310.4,307.0,80.5,9,2.1613,2.50246,4.66376,5.5785,195,82,43,37,54,34,70,49,0.0,0.0,0.0,0.0,0.0,0.0,0.22697,0.0,0.2628,0.48978,0.58584,0.84,44,22,44,22,79,38,151,50,0.94516,0.42007,18,0,1,123.0,3.0,8.0,13.0,9.0,0.53,5.0,311.0,62.0,0.0,2.0,3.0,0.6,6.19,14.85,14.75,23.88,23.62,4.6,7.22,16.8,20.2,20.84,31.2,2,20,1,0.6,1.4,0.8,1.0,25.2,36.0,117.3,106.0,137.1,87.8,22.3,14.9,89.3,33.4,25.6,95.2,22.2,35.8,100.9,109.5,147.8,74.8,23.6,17.0,97.4,40.8,31.2,102.8
