web_name,opponent,element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5
Cédric,6,2,1,0,1.0,0.4,2.4,1.6,0.0,2.0,0.2,0.2,1.0,0.4,2.0,2.4,1.6,0.0,4,0,1.2,1.1,1.4,1.0,19.1,12.1,19.2,16.2,28.0,13.6,34.7,15.6,93.5,83.2,88.9,96.0,78.7,31.9,104.9,46.8,108.3,20.9,154.4,13.2,67.9,66.8,63.8,84.4
Xhaka,6,3,0,1,4.8,6.26,22.62,22.81,17.17,19.5,4.5,4.5,4.5,5.62,17.0,19.25,19.47,17.5,4,0,1.2,1.1,1.4,1.0,19.1,12.1,19.2,16.2,28.0,13.6,34.7,15.6,93.5,83.2,88.9,96.0,78.7,31.9,104.9,46.8,108.3,20.9,154.4,13.2,67.9,66.8,63.8,84.4
Elneny,6,3,0,1,2.0,0.8,4.2,3.8,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1.2,1.1,1.4,1.0,19.1,12.1,19.2,16.2,28.0,13.6,34.7,15.6,93.5,83.2,88.9,96.0,78.7,31.9,104.9,46.8,108.3,20.9,154.4,13.2,67.9,66.8,63.8,84.4
Holding,6,2,1,0,1.0,0.07,0.8,0.03,0.0,3.67,0.2,0.2,1.0,0.0,3.0,0.2,0.1,0.0,4,0,1.2,1.1,1.4,1.0,19.1,12.1,19.2,16.2,28.0,13.6,34.7,15.6,93.5,83.2,88.9,96.0,78.7,31.9,104.9,46.8,108.3,20.9,154.4,13.2,67.9,66.8,63.8,84.4
Partey,6,3,0,1,4.1,4.69,21.82,13.94,11.11,18.67,4.0,4.0,4.0,4.45,19.25,22.85,12.68,9.0,4,0,1.2,1.1,1.4,1.0,19.1,12.1,19.2,16.2,28.0,13.6,34.7,15.6,93.5,83.2,88.9,96.0,78.7,31.9,104.9,46.8,108.3,20.9,154.4,13.2,67.9,66.8,63.8,84.4
Ødegaard,6,3,0,1,5.3,8.68,24.82,30.15,31.73,21.45,5.5,5.5,5.5,10.48,23.5,27.3,38.1,39.25,4,0,1.2,1.1,1.4,1.0,19.1,12.1,19.2,16.2,28.0,13.6,34.7,15.6,93.5,83.2,88.9,96.0,78.7,31.9,104.9,46.8,108.3,20.9,154.4,13.2,67.9,66.8,63.8,84.4
Tierney,6,2,1,0,1.6,1.25,5.18,3.64,3.73,6.36,1.0,1.0,1.0,0.33,3.0,1.85,0.68,0.5,4,0,1.2,1.1,1.4,1.0,19.1,12.1,19.2,16.2,28.0,13.6,34.7,15.6,93.5,83.2,88.9,96.0,78.7,31.9,104.9,46.8,108.3,20.9,154.4,13.2,67.9,66.8,63.8,84.4
Pépé,6,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1.2,1.1,1.4,1.0,19.1,12.1,19.2,16.2,28.0,13.6,34.7,15.6,93.5,83.2,88.9,96.0,78.7,31.9,104.9,46.8,108.3,20.9,154.4,13.2,67.9,66.8,63.8,84.4
White,6,2,1,0,4.4,3.2,18.07,11.75,2.25,20.58,4.8,4.8,4.75,3.5,21.0,21.9,9.68,3.5,4,0,1.2,1.1,1.4,1.0,19.1,12.1,19.2,16.2,28.0,13.6,34.7,15.6,93.5,83.2,88.9,96.0,78.7,31.9,104.9,46.8,108.3,20.9,154.4,13.2,67.9,66.8,63.8,84.4
Nketiah,6,4,0,1,1.0,1.62,1.9,3.16,11.42,1.92,1.0,1.0,1.0,1.15,1.25,0.9,3.45,7.75,4,0,1.2,1.1,1.4,1.0,19.1,12.1,19.2,16.2,28.0,13.6,34.7,15.6,93.5,83.2,88.9,96.0,78.7,31.9,104.9,46.8,108.3,20.9,154.4,13.2,67.9,66.8,63.8,84.4
