web_name,predicted_points_4,predicted_points_5,predicted_points_6,predicted_points_7,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Salah,8.05,8.93,7.47,7.98,8.11,7.3,7.3,283,100.0,0.0,118748,0,0,0,0,1,3,8.8,7.8,8,Mohamed,False,0,0,130,118748.jpg,Salah,59.8,False,0.0,a,12,14,22,403179,92165,390952,128987,0.6,1.7,270,2,1,0,5,0,0,0,0,0,0,3,62,102.2,154.8,130.0,38.7,14,7,2,2,10,5,4,3,0.0,0.0,0.0,0.0,2.0,0.0,14,2,3,1,0.7,2.3,0.7,2.3,33.3,46.6,142.5,168.2,154.7,117.7,28.0,14.9,76.9,34.0,38.7,117.0,33.3,46.6,142.5,168.2,154.7,117.7,28.0,14.9,76.9,34.0,38.7,117.0,0,1,90.0,0.0,0.0,3.0,3.0,1.0,3.0,270.0,90.0,0.0,0.0,3.0,1.0,12.9,20.67,34.07,51.6,43.33,7.33,12.9,20.67,34.07,51.6,43.33
De Bruyne,7.62,6.67,7.27,9.04,7.65,8.3,8.3,301,100.0,0.0,61366,1,-1,2,-2,1,3,9.3,9.3,5,Kevin,True,0,0,122,61366.jpg,De Bruyne,25.4,False,0.0,a,13,43,25,896955,283277,196894,55338,0.7,2.0,267,1,3,2,3,0,0,0,0,0,0,3,95,131.2,191.9,92.0,41.5,7,4,1,1,28,20,1,1,1.0,0.0,2.0,0.0,3.0,0.0,15,2,7,1,1.3,1.3,1.3,1.3,23.0,37.4,114.6,116.9,145.7,88.7,21.7,23.4,122.6,63.3,48.0,109.3,23.0,37.4,114.6,116.9,145.7,88.7,21.7,23.4,122.6,63.3,48.0,109.3,0,1,90.0,0.0,0.0,3.0,3.0,1.0,3.0,267.0,89.0,0.0,0.0,3.0,1.0,13.83,31.67,43.73,63.97,30.67,8.33,13.83,31.67,43.73,63.97,30.67
Rodrigo,7.26,6.59,7.04,5.73,6.66,11.7,11.7,225,100.0,0.0,80954,1,-1,3,-3,2,3,11.2,10.7,13,Rodrigo,True,0,0,63,80954.jpg,Moreno,23.5,False,0.0,a,11,2,35,2029370,1016352,151744,36330,1.9,5.6,236,4,1,1,3,0,0,0,0,0,0,5,99,158.4,44.8,208.0,41.1,1,1,76,54,2,1,2,2,0.0,0.0,0.0,0.0,4.0,0.0,6,2,5,0,1.3,0.3,1.3,0.3,15.3,25.5,60.3,88.5,106.3,56.3,14.3,18.2,80.7,49.0,51.7,77.0,15.3,25.5,60.3,88.5,106.3,56.3,14.3,18.2,80.7,49.0,51.7,77.0,0,1,82.0,0.0,0.0,3.0,3.0,1.0,3.0,236.0,79.0,0.0,0.0,3.0,1.0,13.7,33.0,52.8,14.93,69.33,11.67,13.7,33.0,52.8,14.93,69.33
Jesus,6.1,6.5,6.34,6.54,6.37,8.3,8.3,28,100.0,0.0,205651,1,-1,2,-2,1,4,9.3,9.3,4,Gabriel,True,0,0,82,205651.jpg,Fernando de Jesus,81.8,False,0.0,a,1,3,25,1188439,200126,422766,22093,1.0,3.0,255,2,3,2,2,0,0,0,1,0,0,3,87,131.6,60.0,197.0,38.9,6,2,47,5,3,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,3,2,9,1,1.7,1.3,1.7,1.3,26.0,34.4,106.8,94.2,144.7,86.0,17.7,13.7,93.2,22.1,21.7,85.3,26.0,34.4,106.8,94.2,144.7,86.0,17.7,13.7,93.2,22.1,21.7,85.3,0,1,90.0,0.0,0.0,3.0,3.0,1.0,3.0,255.0,85.0,0.0,0.0,3.0,1.0,12.97,29.0,43.87,20.0,65.67,8.33,12.97,29.0,43.87,20.0,65.67
Sterling,6.36,5.57,7.78,5.43,6.28,3.0,3.0,304,100.0,0.0,103955,-1,1,-1,1,0,3,3.5,4.0,1,Raheem,False,0,0,99,103955.jpg,Sterling,5.1,False,0.0,a,6,8,9,95697,17486,226859,83092,0.3,0.9,259,0,1,1,4,0,0,0,1,0,0,0,9,26.6,68.8,100.0,19.5,204,83,36,25,22,16,36,24,0.0,0.0,0.0,0.0,0.0,0.0,11,3,10,1,1.7,2.7,1.7,2.7,33.3,41.5,170.0,118.9,126.3,141.3,8.3,9.7,59.1,25.5,13.0,58.0,33.3,41.5,170.0,118.9,126.3,141.3,8.3,9.7,59.1,25.5,13.0,58.0,0,1,86.0,0.0,0.0,3.0,3.0,1.0,3.0,259.0,86.0,0.0,0.0,3.0,1.0,6.5,3.0,8.87,22.93,33.33,3.0,6.5,3.0,8.87,22.93,33.33
H.Davies,6.12,7.17,5.18,5.91,6.1,0.0,0.0,592,100.0,0.0,464353,0,0,0,0,0,1,2.5,1.5,0,Harvey,False,0,0,40,464353.jpg,Davies,0.0,False,0.0,a,12,14,0,71,71,19,19,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,395,50,380,31,321,30,401,50,0.0,0.0,0.0,0.0,0.0,0.0,14,2,3,1,0.7,2.3,0.7,2.3,33.3,46.6,142.5,168.2,154.7,117.7,28.0,14.9,76.9,34.0,38.7,117.0,33.3,46.6,142.5,168.2,154.7,117.7,28.0,14.9,76.9,34.0,38.7,117.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Groß,7.32,5.73,6.18,5.08,6.08,8.0,8.0,104,100.0,0.0,60307,0,0,2,-2,1,3,8.5,8.0,6,Pascal,True,0,0,57,60307.jpg,Groß,9.2,False,0.0,a,5,36,24,832728,193643,185224,64659,1.4,4.2,270,2,1,2,1,0,0,0,0,0,0,3,75,117.8,98.3,97.0,31.3,9,5,11,9,24,18,11,7,1.0,0.0,0.0,0.0,2.0,0.0,19,2,11,1,2.3,1.0,2.3,1.0,21.7,38.6,119.9,131.3,134.7,90.7,7.0,16.9,101.8,32.8,34.3,64.7,21.7,38.6,119.9,131.3,134.7,90.7,7.0,16.9,101.8,32.8,34.3,64.7,0,1,90.0,0.0,0.0,3.0,3.0,1.0,3.0,270.0,90.0,0.0,0.0,3.0,1.0,10.43,25.0,39.27,32.77,32.33,8.0,10.43,25.0,39.27,32.77,32.33
Gündogan,5.83,4.89,5.94,7.16,5.96,7.0,7.0,300,100.0,0.0,59859,1,-1,1,-1,0,3,8.0,8.0,8,Ilkay,False,0,0,76,59859.jpg,Gündogan,4.4,False,0.0,a,13,43,21,315157,143959,69756,28590,0.9,2.8,231,2,0,2,3,0,0,0,0,0,0,3,82,95.8,111.0,116.0,32.3,18,10,7,5,15,9,9,6,5.0,0.0,1.0,0.0,5.0,0.0,15,2,7,1,1.3,1.3,1.3,1.3,23.0,37.4,114.6,116.9,145.7,88.7,21.7,23.4,122.6,63.3,48.0,109.3,23.0,37.4,114.6,116.9,145.7,88.7,21.7,23.4,122.6,63.3,48.0,109.3,0,1,90.0,0.0,0.0,3.0,3.0,1.0,3.0,231.0,77.0,0.0,0.0,3.0,1.0,10.77,27.33,31.93,37.0,38.67,7.0,10.77,27.33,31.93,37.0,38.67
Trossard,6.45,5.05,6.66,5.26,5.86,4.0,4.0,111,100.0,0.0,116216,0,0,0,0,0,3,4.5,4.0,8,Leandro,False,0,0,65,116216.jpg,Trossard,2.3,False,0.0,a,5,36,12,87082,33559,77595,16351,0.6,1.8,238,1,0,2,1,0,0,0,1,0,0,0,36,45.4,70.4,132.0,24.8,120,51,34,24,9,4,17,11,0.0,0.0,3.0,0.0,4.0,0.0,19,2,11,1,2.3,1.0,2.3,1.0,21.7,38.6,119.9,131.3,134.7,90.7,7.0,16.9,101.8,32.8,34.3,64.7,21.7,38.6,119.9,131.3,134.7,90.7,7.0,16.9,101.8,32.8,34.3,64.7,0,1,90.0,0.0,0.0,3.0,3.0,1.0,3.0,238.0,79.0,0.0,0.0,3.0,1.0,8.27,12.0,15.13,23.47,44.0,4.0,8.27,12.0,15.13,23.47,44.0
Harrison,6.85,5.85,5.5,5.17,5.84,8.0,8.0,233,100.0,0.0,221399,0,0,0,0,1,3,7.5,7.0,14,Jack,True,0,0,60,221399.jpg,Harrison,3.1,False,0.0,a,11,2,24,220170,157575,62076,23330,1.3,4.0,255,1,3,1,3,0,0,0,2,0,0,5,86,136.4,146.8,66.0,34.9,3,2,3,3,49,33,6,4,1.0,0.0,0.0,0.0,0.0,0.0,6,2,5,0,1.3,0.3,1.3,0.3,15.3,25.5,60.3,88.5,106.3,56.3,14.3,18.2,80.7,49.0,51.7,77.0,15.3,25.5,60.3,88.5,106.3,56.3,14.3,18.2,80.7,49.0,51.7,77.0,0,1,82.0,0.0,0.0,3.0,3.0,1.0,3.0,255.0,85.0,0.0,0.0,3.0,1.0,11.63,28.67,45.47,48.93,22.0,8.0,11.63,28.67,45.47,48.93,22.0
