web_name,opponent_7,predicted_points_7,opponent_8,predicted_points_8,opponent_9,predicted_points_9,opponent_10,predicted_points_10,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Gayle,0,0.0,BOU,2.45,FUL,2.15,BRE,3.03,1.91,0.0,0.0,361,0.0,0.0,104547,0,0,0,0,0,4,0.0,0.0,0,Dwight,False,Transferred to Stoke City,2022-07-22T22:30:04.833252Z,45,104547.jpg,Gayle,0.1,False,0.0,u,15,4,0,0,0,10056,823,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,521,49,511,51,487,52,525,52,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rothwell,0,0.0,NEW,2.94,BRE,2.49,LEI,2.21,1.91,0.0,0.0,505,0.0,0.0,156685,0,0,-1,1,0,3,0.0,0.0,0,Joe,False,Thigh injury - Expected back 01 Oct,2022-07-31T23:30:04.384595Z,49,156685.jpg,Rothwell,0.0,False,0.0,i,3,91,0,235,29,618,56,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,584,249,579,250,569,241,586,249,4.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lanzini,0,0.0,EVE,2.78,WOL,2.04,FUL,2.83,1.91,1.0,0.4,460,100.0,0.0,86934,0,0,-2,2,0,3,0.4,-0.1,0,Manuel,False,0,0,53,86934.jpg,Lanzini,0.2,False,0.0,a,19,21,3,9898,405,25291,1882,0.1,0.6,92,0,0,0,1,0,0,0,0,0,0,0,7,2.6,3.7,16.0,2.1,367,165,298,150,239,129,333,153,0.0,0.0,0.0,0.0,1.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,5.0,3.0,1.0,0.17,2.0,36.0,18.0,0.0,5.0,0.0,0.0,0.7,2.33,0.87,1.23,5.33,1.0,0.65,2.5,1.3,1.3,4.0
Toti,0,0.0,MCI,2.69,WHU,2.48,CHE,2.47,1.91,0.0,0.0,489,100.0,0.0,510362,0,0,0,0,0,2,-1.0,0.0,0,Toti António,False,0,0,40,510362.jpg,Gomes,0.7,False,0.0,a,20,39,0,23002,968,42127,4305,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,453,177,432,169,385,147,456,176,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vinagre,0,0.0,WHU,2.74,SOU,1.6,MUN,3.3,1.91,1.0,0.2,531,100.0,0.0,216054,0,0,-1,1,0,2,-0.3,-0.8,0,Rúben,False,0,0,44,216054.jpg,Nascimento Vinagre,0.1,False,0.0,a,8,11,2,744,81,3463,326,0.0,0.5,24,0,0,0,0,0,0,0,0,0,0,0,9,7.6,1.4,0.0,0.9,331,124,332,118,447,185,355,129,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,5.0,0.0,0.0,0.9,9.0,7.6,1.4,0.0,1.0,0.3,6.0,3.0,0.3,0.0
Mosquera,0,0.0,MCI,2.69,WHU,2.48,CHE,2.47,1.91,0.0,0.0,494,100.0,0.0,501837,0,0,-1,1,0,2,-1.0,0.0,0,Yerson,False,0,0,39,501837.jpg,Mosquera Valdelamar,1.0,False,0.0,a,20,39,0,33248,20778,35920,5784,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,404,155,381,146,331,121,406,153,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook,0,0.0,NEW,2.53,BRE,2.74,LEI,2.36,1.91,2.5,2.8,67,100.0,0.0,155408,0,0,-1,1,0,3,2.3,2.8,6,Lewis,False,0,0,49,155408.jpg,Cook,0.1,False,0.0,a,3,91,15,2994,1171,3914,467,0.6,3.1,382,0,1,1,13,0,0,0,0,0,0,1,63,73.2,26.7,8.0,10.9,167,70,197,116,267,139,234,111,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,90.0,0.0,2.0,6.0,4.0,0.67,5.0,364.0,73.0,0.0,1.0,4.0,0.8,1.82,10.5,12.2,4.45,1.33,2.8,2.02,11.8,13.2,5.28,1.6
Young,0,0.0,SOU,2.16,LEE,3.17,NFO,2.3,1.91,1.0,0.4,538,100.0,0.0,18892,0,0,-1,1,0,2,0.4,-0.6,2,Ashley,False,0,0,44,18892.jpg,Young,0.1,False,0.0,a,2,7,2,4697,936,9555,739,0.1,0.5,64,0,0,0,1,0,0,0,1,0,0,0,12,15.4,0.5,0.0,1.6,303,113,343,124,414,172,342,121,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,63.0,0.0,4.0,2.0,1.0,0.2,2.0,64.0,32.0,0.0,4.0,1.0,0.2,0.8,6.0,7.7,0.25,0.0,1.0,0.8,6.0,7.7,0.25,0.0
Fredericks,0,0.0,NEW,2.7,BRE,2.04,LEI,2.91,1.91,1.0,0.4,59,100.0,100.0,81012,0,0,-1,1,0,2,-0.1,0.4,1,Ryan,False,0,2022-07-31T23:30:04.244175Z,44,81012.jpg,Fredericks,0.0,False,0.0,a,3,91,2,413,115,2575,108,0.1,0.5,66,0,0,0,0,0,0,0,0,0,0,0,6,9.0,1.5,0.0,1.1,323,121,328,115,423,176,350,125,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,45.0,4.0,2.0,2.0,0.0,0.0,2.0,66.0,33.0,3.0,2.0,0.0,0.0,0.55,3.0,4.5,0.75,0.0,1.0,0.55,3.0,4.5,0.75,0.0
Bueno,0,0.0,MCI,2.69,WHU,2.48,CHE,2.47,1.91,0.0,0.0,558,100.0,0.0,490721,0,0,0,0,0,2,-1.0,0.0,0,Hugo,False,0,0,40,490721.jpg,Bueno López,0.7,False,0.0,a,20,39,0,36620,928,40034,4259,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,451,175,430,167,383,145,454,174,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
