web_name,opponent_9,predicted_points_9,opponent_10,predicted_points_10,opponent_11,predicted_points_11,opponent_12,predicted_points_12,opponent_13,predicted_points_13,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Salah,BHA,6.64,ARS,8.22,MCI,8.24,WHU,8.53,NFO,7.74,7.87,6.3,6.5,283,100.0,0.0,118748,0,0,-1,1,1,3,7.5,0.0,0,Mohamed,False,,0,129,118748.jpg,Salah,35.2,False,0,a,12,14,38,834509,101489,3121747,226174,0.5,2.9,540,2,3,2,6,0,0,0,0,0,0,5,93,163.2,284.5,262.0,71.0,34,14,2,2,11,6,7,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3,5,1,1.4,0.6,1.4,0.8,14.6,20.2,65.9,60.2,76.0,54.6,7.8,11.3,63.0,27.2,22.6,51.5,14.2,17.0,69.3,43.1,57.8,53.6,3.8,7.2,52.4,14.1,5.2,36.2,0,1,0.0,0.0,2.0,6.0,6.0,0.75,3.0,270.0,90.0,0.0,2.0,3.0,0.6,11.83,15.5,27.2,47.42,43.67,5.33,10.77,10.33,20.33,43.23,44.0
Maddison,NFO,6.33,BOU,6.26,CRY,5.69,LEE,6.04,WOL,6.74,6.21,4.8,3.3,261,100.0,100.0,172780,1,-1,0,0,0,3,3.8,2.8,7,James,False,,2022-08-25T13:00:06.073033Z,80,172780.jpg,Maddison,7.6,False,0,a,10,13,29,868556,325663,607867,19659,0.4,3.6,540,3,1,0,20,0,0,0,2,0,0,1,114,182.4,174.5,217.0,57.5,22,6,18,14,16,10,12,7,1.0,0.0,1.0,0.0,0.0,0.0,18.0,2,16,1,0.8,2.1,0.8,2.8,26.0,42.9,137.0,132.2,159.0,103.6,21.5,15.8,91.8,38.4,28.1,92.8,30.8,41.4,156.3,121.8,134.8,124.6,20.2,12.3,82.1,16.2,24.0,89.0,0,1,90.0,1.0,1.0,6.0,6.0,0.86,3.0,270.0,90.0,1.0,1.0,3.0,0.75,9.58,19.0,30.4,29.08,36.17,3.33,8.8,15.0,27.0,26.33,34.33
De Bruyne,MUN,6.16,SOU,10.55,LIV,7.97,0,0.0,BHA,6.04,6.14,6.4,6.0,301,100.0,0.0,61366,1,-1,3,-3,1,3,7.0,7.0,10,Kevin,True,,0,123,61366.jpg,De Bruyne,32.6,False,0,a,13,43,45,2456404,184500,1065636,98667,0.5,3.7,537,1,6,3,6,0,0,0,0,0,0,6,166,227.6,365.8,170.0,76.3,7,1,1,1,31,22,4,1,1.0,0.0,1.0,0.0,3.0,0.0,20.0,3,14,1,1.0,1.0,1.0,0.2,18.8,32.2,88.0,106.8,126.9,75.6,10.9,10.2,63.7,16.5,22.1,56.1,10.0,23.2,53.5,92.9,86.6,49.8,5.0,6.3,41.4,8.9,12.6,33.4,0,1,71.0,0.0,2.0,7.0,6.0,0.75,4.0,270.0,68.0,0.0,2.0,3.0,0.6,10.9,23.71,32.51,52.26,24.29,5.0,8.7,17.75,24.1,43.48,19.5
Darwin,BHA,5.23,ARS,4.73,MCI,5.03,WHU,5.86,NFO,6.85,5.54,3.0,1.0,297,100.0,100.0,447203,0,0,-1,1,0,4,2.0,0.0,0,Darwin,False,,2022-08-16T00:30:06.350476Z,89,447203.jpg,Núñez Ribeiro,6.3,False,0,a,12,14,9,666988,18007,2064718,36048,0.1,1.0,174,1,1,1,2,0,0,0,0,1,0,1,18,57.4,43.0,227.0,31.8,222,23,158,21,15,6,63,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,1,1.4,0.6,1.4,0.8,14.6,20.2,65.9,60.2,76.0,54.6,7.8,11.3,63.0,27.2,22.6,51.5,14.2,17.0,69.3,43.1,57.8,53.6,3.8,7.2,52.4,14.1,5.2,36.2,0,1,0.0,2.0,4.0,3.0,2.0,0.33,1.0,79.0,79.0,1.0,3.0,1.0,0.25,10.6,6.0,19.13,14.33,75.67,2.0,9.7,2.0,4.2,21.3,71.0
Begović,SOU,6.0,MUN,4.58,TOT,5.31,NEW,5.76,CRY,6.02,5.53,9.0,4.5,176,100.0,100.0,40349,0,0,0,0,1,1,4.5,4.5,9,Asmir,False,,2022-07-30T13:30:04.308081Z,40,40349.jpg,Begović,0.9,False,0,a,8,11,9,49980,23276,24452,4699,1.1,2.2,90,0,0,1,0,0,0,0,0,0,4,2,30,36.0,0.0,0.0,3.6,259,22,400,16,346,11,319,22,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2,17,0,0.9,1.4,0.4,0.8,22.1,32.9,111.0,90.4,128.6,79.0,19.9,14.9,93.8,23.9,30.9,91.4,20.2,28.9,94.8,72.6,122.6,64.2,22.4,11.7,81.5,22.3,13.4,92.8,1,0,90.0,0.0,7.0,1.0,1.0,0.12,1.0,90.0,90.0,0.0,4.0,1.0,0.2,3.6,30.0,36.0,0.0,0.0,9.0,3.6,30.0,36.0,0.0,0.0
Son,ARS,5.52,BHA,5.16,EVE,4.71,MUN,5.55,NEW,5.48,5.28,5.1,7.7,428,100.0,0.0,85971,0,0,-3,3,1,3,7.7,8.2,19,Son,False,,0,117,85971.jpg,Heung-min,11.0,False,0,a,18,6,36,597309,182574,1700214,62784,0.7,3.1,520,3,1,2,5,0,0,0,0,0,0,3,93,174.2,169.2,279.0,62.0,26,9,21,17,8,3,8,4,1.0,0.0,3.0,0.0,3.0,0.0,10.0,4,1,0,2.1,0.9,1.6,1.0,17.5,22.9,80.0,69.6,79.2,61.0,5.2,12.3,92.8,21.6,8.0,57.0,18.4,23.3,89.2,68.3,75.2,61.6,6.4,11.0,90.0,16.1,4.0,53.4,0,1,31.0,0.0,2.0,7.0,6.0,0.75,4.0,277.0,69.0,0.0,2.0,3.0,0.6,8.86,13.29,24.89,24.17,39.86,6.5,9.45,17.25,31.85,24.02,38.75
Kane,ARS,4.71,BHA,5.43,EVE,5.6,MUN,4.59,NEW,5.64,5.19,7.1,8.0,427,100.0,0.0,78830,0,0,-1,1,1,4,8.0,8.5,10,Harry,True,,0,114,78830.jpg,Kane,19.2,False,0,a,18,6,50,1170995,108172,1829580,74903,0.7,4.4,617,6,2,3,6,0,0,1,2,0,0,10,200,295.2,193.5,428.0,91.7,2,2,13,1,3,3,1,1,0.0,0.0,1.0,0.0,1.0,0.0,10.0,4,1,0,2.1,0.9,1.6,1.0,17.5,22.9,80.0,69.6,79.2,61.0,5.2,12.3,92.8,21.6,8.0,57.0,18.4,23.3,89.2,68.3,75.2,61.6,6.4,11.0,90.0,16.1,4.0,53.4,0,1,90.0,0.0,1.0,7.0,7.0,0.88,4.0,347.0,87.0,0.0,1.0,4.0,0.8,13.1,28.57,42.17,27.64,61.14,8.5,14.55,33.5,50.1,28.0,67.5
Zaha,CHE,4.47,LEE,5.57,LEI,6.31,WOL,5.16,EVE,4.31,5.16,6.2,3.0,160,100.0,100.0,82403,0,0,2,-2,0,3,2.5,0.0,0,Wilfried,False,,2022-08-26T23:30:05.969506Z,72,82403.jpg,Zaha,16.0,False,0,a,7,31,31,1859394,245730,1103941,60854,0.4,4.3,441,4,0,1,5,0,0,1,1,0,0,3,90,181.4,91.0,227.0,50.0,23,7,71,50,14,9,19,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,6,1,1.0,1.1,1.0,0.8,18.9,23.9,94.6,60.1,84.6,67.1,10.4,13.3,78.2,26.4,27.9,57.5,13.2,19.6,73.7,54.6,68.2,53.2,5.2,9.0,50.4,22.2,17.6,38.8,0,1,0.0,1.0,2.0,5.0,5.0,0.71,2.0,180.0,90.0,1.0,2.0,2.0,0.5,10.0,18.0,36.28,18.2,45.4,5.0,8.05,11.0,23.3,7.0,50.0
Rodrigo,AVL,4.68,CRY,4.19,ARS,4.97,LEI,6.38,FUL,4.84,5.01,7.6,0.0,225,50.0,0.0,80954,0,0,3,-3,2,3,0.0,0.0,0,Rodrigo,False,Shoulder injury - 50% chance of playing,2022-08-30T22:30:06.483051Z,63,80954.jpg,Moreno,5.3,False,0,d,11,2,38,3084914,7572,3019569,66412,0.0,6.0,357,4,1,1,5,0,0,0,0,0,0,5,105,163.6,48.4,267.0,47.5,32,13,142,92,9,4,23,17,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2,2,1,0.8,1.2,0.6,0.8,21.0,29.4,92.9,78.2,122.2,73.2,16.8,14.9,86.7,30.5,32.0,82.6,19.0,28.0,83.0,84.3,113.0,67.8,15.0,12.1,70.8,19.5,30.4,73.2,0,1,0.0,4.0,0.0,5.0,4.0,1.0,2.0,121.0,60.0,4.0,0.0,1.0,1.0,9.5,21.0,32.72,9.68,53.4,1.5,3.2,3.0,2.6,1.8,29.5
Trossard,LIV,5.38,TOT,3.5,BRE,4.34,NFO,5.53,MCI,5.79,4.91,5.3,12.0,111,100.0,0.0,116216,1,-1,1,-1,1,3,11.0,0.0,0,Leandro,False,,0,66,116216.jpg,Trossard,3.5,False,0,a,5,36,32,391647,29406,276431,28387,1.8,4.8,494,2,2,3,5,0,0,0,1,0,0,2,102,128.4,162.3,216.0,50.7,76,34,26,21,17,11,17,11,0.0,0.0,2.0,0.0,4.0,0.0,0.0,5,12,0,1.9,0.8,2.2,0.2,17.2,21.1,81.8,56.7,72.9,64.1,6.9,11.7,94.9,14.8,7.0,56.0,11.4,13.8,48.5,44.2,45.8,41.8,5.2,8.9,74.0,8.7,5.8,46.8,0,1,0.0,0.0,2.0,6.0,6.0,0.75,3.0,256.0,85.0,0.0,2.0,3.0,0.6,8.45,17.0,21.4,27.05,36.0,6.67,8.63,22.0,27.67,30.63,28.0
